1/160 fold1_g03 7.2s
2/160 fold1_g00 7.3s
3/160 fold1_g01 7.3s
4/160 fold1_g02 7.3s
5/160 fold1_g06 9.9s
6/160 fold1_g05 10.0s
7/160 fold1_g04 10.1s
8/160 fold1_g07 10.3s
9/160 fold1_g09 7.3s
10/160 fold1_g08 7.5s
11/160 fold1_g10 7.4s
12/160 fold1_g11 7.3s
13/160 fold1_g12 14.4s
14/160 fold1_g13 14.3s
15/160 fold1_g14 14.4s
16/160 fold1_g15 14.4s
17/160 fold1_g16 13.2s
18/160 fold1_g17 13.2s
19/160 fold1_g18 13.2s
20/160 fold1_g19 13.8s
21/160 fold1_g20 24.7s
22/160 fold1_g21 24.8s
23/160 fold1_g22 24.9s
24/160 fold1_g23 24.8s
25/160 fold1_g24 15.6s
26/160 fold1_g25 16.0s
27/160 fold1_g26 16.1s
28/160 fold1_g27 16.1s
29/160 fold1_g28 30.6s
30/160 fold1_g29 31.0s
31/160 fold1_g30 30.9s
32/160 fold1_g31 31.0s
33/160 fold2_g00 5.9s
34/160 fold2_g01 5.6s
35/160 fold2_g02 5.8s
36/160 fold2_g03 5.6s
37/160 fold2_g04 9.9s
38/160 fold2_g05 9.6s
39/160 fold2_g06 9.9s
40/160 fold2_g07 10.1s
41/160 fold2_g08 6.8s
42/160 fold2_g09 6.8s
43/160 fold2_g10 7.0s
44/160 fold2_g11 6.9s
45/160 fold2_g12 12.7s
46/160 fold2_g13 12.7s
47/160 fold2_g14 12.8s
48/160 fold2_g15 12.7s
49/160 fold2_g16 13.5s
50/160 fold2_g17 13.4s
51/160 fold2_g18 13.4s
52/160 fold2_g19 13.6s
53/160 fold2_g21 25.0s
54/160 fold2_g20 25.4s
55/160 fold2_g22 24.9s
56/160 fold2_g23 24.8s
57/160 fold2_g25 15.9s
58/160 fold2_g24 16.1s
59/160 fold2_g26 16.2s
60/160 fold2_g27 16.2s
61/160 fold2_g28 30.8s
62/160 fold2_g29 31.2s
63/160 fold2_g30 30.6s
64/160 fold2_g31 31.2s
65/160 fold3_g00 5.6s
66/160 fold3_g01 5.8s
67/160 fold3_g02 5.6s
68/160 fold3_g03 5.6s
69/160 fold3_g04 9.9s
70/160 fold3_g06 10.0s
71/160 fold3_g05 10.1s
72/160 fold3_g07 10.2s
73/160 fold3_g08 6.8s
74/160 fold3_g09 6.9s
75/160 fold3_g10 7.0s
76/160 fold3_g11 6.9s
77/160 fold3_g12 12.8s
78/160 fold3_g13 12.7s
79/160 fold3_g14 13.1s
80/160 fold3_g15 12.5s
81/160 fold3_g16 13.6s
82/160 fold3_g17 13.3s
83/160 fold3_g18 13.3s
84/160 fold3_g19 13.6s
85/160 fold3_g20 25.3s
86/160 fold3_g21 25.2s
87/160 fold3_g22 25.0s
88/160 fold3_g23 25.8s
