1/160 fold1_g03 5.0s
2/160 fold1_g01 5.1s
3/160 fold1_g02 5.1s
4/160 fold1_g00 5.4s
5/160 fold1_g06 5.5s
6/160 fold1_g04 5.7s
7/160 fold1_g05 5.9s
8/160 fold1_g07 5.6s
9/160 fold1_g08 4.3s
10/160 fold1_g09 4.3s
11/160 fold1_g11 4.3s
12/160 fold1_g10 4.3s
13/160 fold1_g13 7.0s
14/160 fold1_g12 7.2s
15/160 fold1_g15 7.2s
16/160 fold1_g14 7.2s
17/160 fold1_g16 7.7s
18/160 fold1_g17 7.7s
19/160 fold1_g19 7.5s
20/160 fold1_g18 7.6s
21/160 fold1_g20 14.4s
22/160 fold1_g21 14.8s
23/160 fold1_g22 14.8s
24/160 fold1_g23 14.8s
25/160 fold1_g24 8.5s
26/160 fold1_g25 8.8s
27/160 fold1_g27 8.9s
28/160 fold1_g26 9.1s
29/160 fold1_g28 16.7s
30/160 fold1_g29 16.6s
31/160 fold1_g30 17.0s
32/160 fold1_g31 17.0s
33/160 fold2_g00 3.8s
34/160 fold2_g01 3.7s
35/160 fold2_g02 3.8s
36/160 fold2_g03 3.8s
37/160 fold2_g04 5.8s
38/160 fold2_g05 5.9s
39/160 fold2_g07 5.7s
40/160 fold2_g06 5.8s
41/160 fold2_g08 4.3s
42/160 fold2_g09 4.4s
43/160 fold2_g10 4.4s
44/160 fold2_g11 4.6s
45/160 fold2_g12 7.4s
46/160 fold2_g13 7.1s
47/160 fold2_g14 7.1s
48/160 fold2_g15 7.3s
49/160 fold2_g16 7.8s
50/160 fold2_g17 7.7s
51/160 fold2_g18 8.0s
52/160 fold2_g19 7.9s
53/160 fold2_g20 13.7s
54/160 fold2_g21 13.5s
55/160 fold2_g22 13.3s
56/160 fold2_g23 13.4s
57/160 fold2_g25 9.0s
58/160 fold2_g24 9.4s
59/160 fold2_g26 9.2s
60/160 fold2_g27 9.6s
61/160 fold2_g29 16.4s
62/160 fold2_g28 16.7s
63/160 fold2_g30 16.5s
64/160 fold2_g31 16.4s
65/160 fold3_g00 3.8s
66/160 fold3_g01 3.8s
67/160 fold3_g02 3.6s
68/160 fold3_g03 3.7s
69/160 fold3_g04 5.8s
70/160 fold3_g05 5.8s
71/160 fold3_g06 5.9s
72/160 fold3_g07 5.8s
73/160 fold3_g08 4.1s
74/160 fold3_g09 4.3s
75/160 fold3_g10 4.3s
76/160 fold3_g11 4.2s
77/160 fold3_g12 7.3s
78/160 fold3_g13 7.1s
79/160 fold3_g14 6.8s
80/160 fold3_g15 7.1s
