family,scope,seed,ba_macro
BiLSTM,BiLSTM,20260913,0.3326906355302671
BiLSTM,BiLSTM,20260914,0.34931588939634656
BiLSTM,repeat_current,20260913,0.34132700656450743
BiLSTM,repeat_current,20260914,0.3540485420011196
LSTM,LSTM,20260913,0.3367847620554638
LSTM,LSTM,20260914,0.3297496667648294
LSTM,repeat_current,20260913,0.3505128447909817
LSTM,repeat_current,20260914,0.3504969253810282
TCN,TCN,20260913,0.34913236827497107
TCN,TCN,20260914,0.3566720421330815
TCN,repeat_current,20260913,0.3423328571795357
TCN,repeat_current,20260914,0.34920368738928614
