id,context,hidden,layers,lr,dropout,family,decay,batch,fold,epoch,smoothing,score,parameters
g21,32,16,2,0.0003,0.4,BiLSTM,0.01,256,1,2,32,0.3903588335919163,12387
g17,32,16,1,0.0003,0.4,BiLSTM,0.01,256,2,8,8,0.38922870239346524,7011
g10,8,32,1,0.001,0.1,BiLSTM,0.01,256,3,8,1,0.392599994590174,18115
g31,32,32,2,0.001,0.4,BiLSTM,0.01,256,4,16,8,0.385518425921472,43203
g07,8,16,2,0.001,0.4,BiLSTM,0.01,256,5,2,32,0.40089099675041984,13411
g05,8,16,2,0.0003,0.4,LSTM,0.01,256,1,2,1,0.3961593644087923,5171
g12,8,32,2,0.0003,0.1,LSTM,0.01,256,2,2,32,0.3977250683618423,17507
g27,32,32,1,0.001,0.4,LSTM,0.01,256,3,16,8,0.3992062420941531,9059
g30,32,32,2,0.001,0.1,LSTM,0.01,256,4,16,32,0.3767745990344576,17507
g20,32,16,2,0.0003,0.1,LSTM,0.01,256,5,8,32,0.3995797626960642,5683
g11,8,32,1,0.001,0.4,TCN,0.01,256,1,2,1,0.4053341745683069,13059
g07,8,16,2,0.001,0.4,TCN,0.01,256,2,2,32,0.39388900179332503,7875
g26,32,32,1,0.001,0.1,TCN,0.01,256,3,16,1,0.3843499216337152,14083
g25,32,32,1,0.0003,0.4,TCN,0.01,256,4,2,1,0.3556612241056096,14083
g13,8,32,2,0.0003,0.4,TCN,0.01,256,5,2,32,0.4013375233115569,26499
