scope,reference,mean_delta,ci_low,ci_high,positive_participants
all,previous_late_geometric,-0.010304225638908579,-0.02948526481974519,0.006324680115256072,11
all,previous_fixed_logistic,-0.003771143014257792,-0.025839284339593104,0.016698531764736544,14
svm_rbf,previous_late_geometric,-0.014950944035551613,-0.03218933643299473,0.0010961789990585875,11
svm_rbf,previous_fixed_logistic,-0.008417861410900824,-0.018991176660597672,0.002894433171284362,9
hgb,previous_late_geometric,-0.014133131702704806,-0.037256096273489824,0.0056031181939439414,10
hgb,previous_fixed_logistic,-0.007600049078054018,-0.028939234236095717,0.011281945358113069,13
qda,previous_late_geometric,-0.010709568546528579,-0.04005454632852154,0.024950485279577092,9
qda,previous_fixed_logistic,-0.004176485921877793,-0.029342115533763778,0.026455254213504923,8
fusion_logistic,previous_late_geometric,-0.004544828663741405,-0.01899709949898646,0.009010001007173784,12
fusion_logistic,previous_fixed_logistic,0.001988253960909383,-0.011658574044264349,0.016909772904194015,14
fusion_lda,previous_late_geometric,-0.005820814276375718,-0.01985234791237416,0.0077108366173271005,11
fusion_lda,previous_fixed_logistic,0.0007122683482750702,-0.01324101216560929,0.015399834018515777,14
fusion,previous_late_geometric,-0.0076322738713450545,-0.022537087906390533,0.006675999817354653,11
fusion,previous_fixed_logistic,-0.0010991912466942666,-0.014098429038916463,0.013967971039761377,12
