scope,reference,participant,delta
all,previous_late_geometric,P12,0.021533305404273173
all,previous_late_geometric,P13,-0.024299161039492423
all,previous_late_geometric,P18,-0.02547770700636942
all,previous_late_geometric,P19,0.03557389937106925
all,previous_late_geometric,P2,0.00459320437586036
all,previous_late_geometric,P20,-0.015916554709658137
all,previous_late_geometric,P21,-0.01981981981981984
all,previous_late_geometric,P22,-0.023457453958865393
all,previous_late_geometric,P24,-0.1348075458170901
all,previous_late_geometric,P26,-0.030476190476190324
all,previous_late_geometric,P27,-0.004049713727133142
all,previous_late_geometric,P3,-0.010351966873706042
all,previous_late_geometric,P30,0.015320711300610801
all,previous_late_geometric,P33,0.05429423231280811
all,previous_late_geometric,P34,-0.1322537710736469
all,previous_late_geometric,P35,-0.025925925925925963
all,previous_late_geometric,P36,0.008051978187724795
all,previous_late_geometric,P4,0.010893246187363814
all,previous_late_geometric,P40,-0.0041278497311217355
all,previous_late_geometric,P43,-0.037625861155272944
all,previous_late_geometric,P44,-0.054864989291218746
all,previous_late_geometric,P46,0.01913265306122458
all,previous_late_geometric,P48,0.04568527918781723
all,previous_late_geometric,P8,0.0428951165793271
all,previous_late_geometric,P9,0.027875243664717386
all,previous_fixed_logistic,P12,0.08441558441558444
all,previous_fixed_logistic,P13,0.008665848168610712
all,previous_fixed_logistic,P18,-0.046709129511677216
all,previous_fixed_logistic,P19,0.03151205450733752
all,previous_fixed_logistic,P2,0.03730348474969214
all,previous_fixed_logistic,P20,-0.03613723441309652
all,previous_fixed_logistic,P21,-0.06659885692143758
all,previous_fixed_logistic,P22,0.03823318546399612
all,previous_fixed_logistic,P24,-0.038300398799121727
all,previous_fixed_logistic,P26,0.01904761904761909
all,previous_fixed_logistic,P27,0.05636084345761766
all,previous_fixed_logistic,P3,0.035196687370600444
all,previous_fixed_logistic,P30,-0.028340354973520776
all,previous_fixed_logistic,P33,0.09490884072927414
all,previous_fixed_logistic,P34,-0.1672582076308785
all,previous_fixed_logistic,P35,-0.07222222222222219
all,previous_fixed_logistic,P36,-0.0332405151409676
all,previous_fixed_logistic,P4,-0.0501089324618737
all,previous_fixed_logistic,P40,-0.03884218233229825
all,previous_fixed_logistic,P43,0.0029826206296794666
all,previous_fixed_logistic,P44,0.0038331431774054625
all,previous_fixed_logistic,P46,0.03443877551020408
all,previous_fixed_logistic,P48,0.035532994923857864
all,previous_fixed_logistic,P8,-0.011187058555479579
all,previous_fixed_logistic,P9,0.012234835454649706
svm_rbf,previous_late_geometric,P12,-0.01963412931154862
svm_rbf,previous_late_geometric,P13,0.013136893799877314
svm_rbf,previous_late_geometric,P18,0.00849256900212314
svm_rbf,previous_late_geometric,P19,-0.029468029350104674
svm_rbf,previous_late_geometric,P2,-0.022256031297543943
svm_rbf,previous_late_geometric,P20,-0.017210280141314593
svm_rbf,previous_late_geometric,P21,0.05936258839484648
svm_rbf,previous_late_geometric,P22,-0.06581305731057041
svm_rbf,previous_late_geometric,P24,-0.11993099430927096
svm_rbf,previous_late_geometric,P26,-0.036190476190476106
svm_rbf,previous_late_geometric,P27,-0.0713308197179165
svm_rbf,previous_late_geometric,P3,-0.09937888198757772
svm_rbf,previous_late_geometric,P30,0.04864389286499837
svm_rbf,previous_late_geometric,P33,0.007671138630890917
svm_rbf,previous_late_geometric,P34,0.0010204081632653184
svm_rbf,previous_late_geometric,P35,-0.005555555555555591
svm_rbf,previous_late_geometric,P36,0.02929574196542528
svm_rbf,previous_late_geometric,P4,0.04575163398692811
svm_rbf,previous_late_geometric,P40,-0.006059228963114505
svm_rbf,previous_late_geometric,P43,-0.037605478781949364
svm_rbf,previous_late_geometric,P44,-0.06404251486218698
svm_rbf,previous_late_geometric,P46,0.0038265306122449716
