model_id,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1_all_20260911,1,all,20260911,0.34286365890418624,2886,5,0.3444213444213444,0.3444507586527614
fold1_all_20260912,1,all,20260912,0.34286365890418624,2886,5,0.3444213444213444,0.3444507586527614
fold1_svm_rbf_20260911,1,svm_rbf,20260911,0.33692996233817973,2886,5,0.3392238392238392,0.33480478470791714
fold1_svm_rbf_20260912,1,svm_rbf,20260912,0.33692996233817973,2886,5,0.3392238392238392,0.33480478470791714
fold1_hgb_20260911,1,hgb,20260911,0.34286365890418624,2886,5,0.3444213444213444,0.3444507586527614
fold1_hgb_20260912,1,hgb,20260912,0.34286365890418624,2886,5,0.3444213444213444,0.3444507586527614
fold1_qda_20260911,1,qda,20260911,0.3443278160727186,2886,5,0.341995841995842,0.2527495207691885
fold1_qda_20260912,1,qda,20260912,0.3443278160727186,2886,5,0.341995841995842,0.2527495207691885
fold1_fusion_logistic_20260911,1,fusion_logistic,20260911,0.3392833982349818,2886,5,0.34130284130284133,0.3358219557719439
fold1_fusion_logistic_20260912,1,fusion_logistic,20260912,0.3392833982349818,2886,5,0.34130284130284133,0.3358219557719439
fold1_fusion_lda_20260911,1,fusion_lda,20260911,0.3475406317322233,2886,5,0.34961884961884965,0.3447098429601283
fold1_fusion_lda_20260912,1,fusion_lda,20260912,0.3475406317322233,2886,5,0.34961884961884965,0.3447098429601283
fold1_fusion_20260911,1,fusion,20260911,0.3392833982349818,2886,5,0.34130284130284133,0.3358219557719439
fold1_fusion_20260912,1,fusion,20260912,0.3392833982349818,2886,5,0.34130284130284133,0.3358219557719439
fold2_all_20260911,2,all,20260911,0.3532602059142601,2612,5,0.354508945832894,0.35423571802156567
fold2_all_20260912,2,all,20260912,0.3532602059142601,2612,5,0.354508945832894,0.35423571802156567
fold2_svm_rbf_20260911,2,svm_rbf,20260911,0.3303362843198556,2612,5,0.3325732011670006,0.32419131849431376
fold2_svm_rbf_20260912,2,svm_rbf,20260912,0.3303362843198556,2612,5,0.3325732011670006,0.32419131849431376
fold2_hgb_20260911,2,hgb,20260911,0.3406812275411207,2612,5,0.3404293648282892,0.3360839837004678
fold2_hgb_20260912,2,hgb,20260912,0.3406812275411207,2612,5,0.3404293648282892,0.3360839837004678
fold2_qda_20260911,2,qda,20260911,0.3130999432263932,2612,5,0.31455675067664945,0.2078859405035927
fold2_qda_20260912,2,qda,20260912,0.3130999432263932,2612,5,0.31455675067664945,0.2078859405035927
fold2_fusion_logistic_20260911,2,fusion_logistic,20260911,0.3532602059142601,2612,5,0.354508945832894,0.35423571802156567
fold2_fusion_logistic_20260912,2,fusion_logistic,20260912,0.3532602059142601,2612,5,0.354508945832894,0.35423571802156567
fold2_fusion_lda_20260911,2,fusion_lda,20260911,0.3453783633911495,2612,5,0.34836549615100704,0.3486816207637748
fold2_fusion_lda_20260912,2,fusion_lda,20260912,0.3453783633911495,2612,5,0.34836549615100704,0.3486816207637748
fold2_fusion_20260911,2,fusion,20260911,0.3532602059142601,2612,5,0.354508945832894,0.35423571802156567
fold2_fusion_20260912,2,fusion,20260912,0.3532602059142601,2612,5,0.354508945832894,0.35423571802156567
fold3_all_20260911,3,all,20260911,0.3790759626072037,2659,5,0.39014163216427805,0.37969320148445185
fold3_all_20260912,3,all,20260912,0.3790759626072037,2659,5,0.39014163216427805,0.37969320148445185
fold3_svm_rbf_20260911,3,svm_rbf,20260911,0.3659944288485411,2659,5,0.37008742250250776,0.36545983928001075
fold3_svm_rbf_20260912,3,svm_rbf,20260912,0.3659944288485411,2659,5,0.37008742250250776,0.36545983928001075
fold3_hgb_20260911,3,hgb,20260911,0.37251041066136203,2659,5,0.3756106920426751,0.37196039541504583
fold3_hgb_20260912,3,hgb,20260912,0.37251041066136203,2659,5,0.3756106920426751,0.37196039541504583
fold3_qda_20260911,3,qda,20260911,0.3732903095410595,2659,5,0.3414989659090751,0.21713675174867864
fold3_qda_20260912,3,qda,20260912,0.3732903095410595,2659,5,0.3414989659090751,0.21713675174867864
fold3_fusion_logistic_20260911,3,fusion_logistic,20260911,0.3755386302487337,2659,5,0.3883564795887546,0.37935086979880017
fold3_fusion_logistic_20260912,3,fusion_logistic,20260912,0.3755386302487337,2659,5,0.3883564795887546,0.37935086979880017
fold3_fusion_lda_20260911,3,fusion_lda,20260911,0.3790759626072037,2659,5,0.39014163216427805,0.37969320148445185
fold3_fusion_lda_20260912,3,fusion_lda,20260912,0.3790759626072037,2659,5,0.39014163216427805,0.37969320148445185
fold3_fusion_20260911,3,fusion,20260911,0.3790759626072037,2659,5,0.39014163216427805,0.37969320148445185
fold3_fusion_20260912,3,fusion,20260912,0.3790759626072037,2659,5,0.39014163216427805,0.37969320148445185
fold4_all_20260911,4,all,20260911,0.36954001266112235,2660,5,0.368399666446956,0.3664212143831622
fold4_all_20260912,4,all,20260912,0.36954001266112235,2660,5,0.368399666446956,0.3664212143831622
fold4_svm_rbf_20260911,4,svm_rbf,20260911,0.341245406395842,2660,5,0.3413705874418806,0.3400267752681771
fold4_svm_rbf_20260912,4,svm_rbf,20260912,0.341245406395842,2660,5,0.3413705874418806,0.3400267752681771
fold4_hgb_20260911,4,hgb,20260911,0.36954001266112235,2660,5,0.368399666446956,0.3664212143831622
fold4_hgb_20260912,4,hgb,20260912,0.36954001266112235,2660,5,0.368399666446956,0.3664212143831622
fold4_qda_20260911,4,qda,20260911,0.3248698083264624,2660,5,0.3254419874739465,0.21579367027317897
fold4_qda_20260912,4,qda,20260912,0.3248698083264624,2660,5,0.3254419874739465,0.21579367027317897
fold4_fusion_logistic_20260911,4,fusion_logistic,20260911,0.3568154000033029,2660,5,0.3567893568415275,0.3533471843322204
fold4_fusion_logistic_20260912,4,fusion_logistic,20260912,0.3568154000033029,2660,5,0.3567893568415275,0.3533471843322204
fold4_fusion_lda_20260911,4,fusion_lda,20260911,0.33784084160681466,2660,5,0.33800366976212715,0.3333007464311044
fold4_fusion_lda_20260912,4,fusion_lda,20260912,0.33784084160681466,2660,5,0.33800366976212715,0.3333007464311044
fold4_fusion_20260911,4,fusion,20260911,0.33784084160681466,2660,5,0.33800366976212715,0.3333007464311044
fold4_fusion_20260912,4,fusion,20260912,0.33784084160681466,2660,5,0.33800366976212715,0.3333007464311044
fold5_all_20260911,5,all,20260911,0.32916663582874484,2707,5,0.3249316128662892,0.316818409400827
fold5_all_20260912,5,all,20260912,0.32916663582874484,2707,5,0.3249316128662892,0.316818409400827
fold5_svm_rbf_20260911,5,svm_rbf,20260911,0.37616680202988373,2707,5,0.35447480136276815,0.3498912671380139
fold5_svm_rbf_20260912,5,svm_rbf,20260912,0.37616680202988373,2707,5,0.35447480136276815,0.3498912671380139
fold5_hgb_20260911,5,hgb,20260911,0.32916663582874484,2707,5,0.3249316128662892,0.316818409400827
fold5_hgb_20260912,5,hgb,20260912,0.32916663582874484,2707,5,0.3249316128662892,0.316818409400827
fold5_qda_20260911,5,qda,20260911,0.41629188421078356,2707,5,0.3405706868639324,0.28785272199065304
fold5_qda_20260912,5,qda,20260912,0.41629188421078356,2707,5,0.3405706868639324,0.28785272199065304
fold5_fusion_logistic_20260911,5,fusion_logistic,20260911,0.37780582639007465,2707,5,0.36422287698682726,0.36237689738975504
fold5_fusion_logistic_20260912,5,fusion_logistic,20260912,0.37780582639007465,2707,5,0.36422287698682726,0.36237689738975504
fold5_fusion_lda_20260911,5,fusion_lda,20260911,0.3864877333907903,2707,5,0.3648159154930091,0.3620549994834212
fold5_fusion_lda_20260912,5,fusion_lda,20260912,0.3864877333907903,2707,5,0.3648159154930091,0.3620549994834212
fold5_fusion_20260911,5,fusion,20260911,0.37780582639007465,2707,5,0.36422287698682726,0.36237689738975504
fold5_fusion_20260912,5,fusion,20260912,0.37780582639007465,2707,5,0.36422287698682726,0.36237689738975504
