model_id,fold,scope,seed,participant,score
fold1_all_20260911,1,all,20260911,P22,0.3090805215754806
fold1_all_20260911,1,all,20260911,P24,0.3397410046153157
fold1_all_20260911,1,all,20260911,P30,0.28900394227027393
fold1_all_20260911,1,all,20260911,P43,0.37378555025613847
fold1_all_20260911,1,all,20260911,P48,0.40270727580372245
fold1_all_20260912,1,all,20260912,P22,0.3090805215754806
fold1_all_20260912,1,all,20260912,P24,0.3397410046153157
fold1_all_20260912,1,all,20260912,P30,0.28900394227027393
fold1_all_20260912,1,all,20260912,P43,0.37378555025613847
fold1_all_20260912,1,all,20260912,P48,0.40270727580372245
fold1_svm_rbf_20260911,1,svm_rbf,20260911,P22,0.2667249182237756
fold1_svm_rbf_20260911,1,svm_rbf,20260911,P24,0.35461755612313484
fold1_svm_rbf_20260911,1,svm_rbf,20260911,P30,0.3223271238346615
fold1_svm_rbf_20260911,1,svm_rbf,20260911,P43,0.37380593262946205
fold1_svm_rbf_20260911,1,svm_rbf,20260911,P48,0.3671742808798646
fold1_svm_rbf_20260912,1,svm_rbf,20260912,P22,0.2667249182237756
fold1_svm_rbf_20260912,1,svm_rbf,20260912,P24,0.35461755612313484
fold1_svm_rbf_20260912,1,svm_rbf,20260912,P30,0.3223271238346615
fold1_svm_rbf_20260912,1,svm_rbf,20260912,P43,0.37380593262946205
fold1_svm_rbf_20260912,1,svm_rbf,20260912,P48,0.3671742808798646
fold1_hgb_20260911,1,hgb,20260911,P22,0.3090805215754806
fold1_hgb_20260911,1,hgb,20260911,P24,0.3397410046153157
fold1_hgb_20260911,1,hgb,20260911,P30,0.28900394227027393
fold1_hgb_20260911,1,hgb,20260911,P43,0.37378555025613847
fold1_hgb_20260911,1,hgb,20260911,P48,0.40270727580372245
fold1_hgb_20260912,1,hgb,20260912,P22,0.3090805215754806
fold1_hgb_20260912,1,hgb,20260912,P24,0.3397410046153157
fold1_hgb_20260912,1,hgb,20260912,P30,0.28900394227027393
fold1_hgb_20260912,1,hgb,20260912,P43,0.37378555025613847
fold1_hgb_20260912,1,hgb,20260912,P48,0.40270727580372245
fold1_qda_20260911,1,qda,20260911,P22,0.32587265313438185
fold1_qda_20260911,1,qda,20260911,P24,0.4412443428776269
fold1_qda_20260911,1,qda,20260911,P30,0.2810940223000525
fold1_qda_20260911,1,qda,20260911,P43,0.33332653920889216
fold1_qda_20260911,1,qda,20260911,P48,0.3401015228426396
fold1_qda_20260912,1,qda,20260912,P22,0.32587265313438185
fold1_qda_20260912,1,qda,20260912,P24,0.4412443428776269
fold1_qda_20260912,1,qda,20260912,P30,0.2810940223000525
fold1_qda_20260912,1,qda,20260912,P43,0.33332653920889216
fold1_qda_20260912,1,qda,20260912,P48,0.3401015228426396
fold1_fusion_logistic_20260911,1,fusion_logistic,20260911,P22,0.25530985347492946
fold1_fusion_logistic_20260911,1,fusion_logistic,20260911,P24,0.3799345790204776
fold1_fusion_logistic_20260911,1,fusion_logistic,20260911,P30,0.31569463479011217
fold1_fusion_logistic_20260911,1,fusion_logistic,20260911,P43,0.3783036430095253
fold1_fusion_logistic_20260911,1,fusion_logistic,20260911,P48,0.3671742808798646
fold1_fusion_logistic_20260912,1,fusion_logistic,20260912,P22,0.25530985347492946
fold1_fusion_logistic_20260912,1,fusion_logistic,20260912,P24,0.3799345790204776
fold1_fusion_logistic_20260912,1,fusion_logistic,20260912,P30,0.31569463479011217
fold1_fusion_logistic_20260912,1,fusion_logistic,20260912,P43,0.3783036430095253
fold1_fusion_logistic_20260912,1,fusion_logistic,20260912,P48,0.3671742808798646
fold1_fusion_lda_20260911,1,fusion_lda,20260911,P22,0.26691535600663174
fold1_fusion_lda_20260911,1,fusion_lda,20260911,P24,0.38569252139624505
fold1_fusion_lda_20260911,1,fusion_lda,20260911,P30,0.3274283877298953
fold1_fusion_lda_20260911,1,fusion_lda,20260911,P43,0.3888005652711535
fold1_fusion_lda_20260911,1,fusion_lda,20260911,P48,0.3688663282571912
fold1_fusion_lda_20260912,1,fusion_lda,20260912,P22,0.26691535600663174
fold1_fusion_lda_20260912,1,fusion_lda,20260912,P24,0.38569252139624505
fold1_fusion_lda_20260912,1,fusion_lda,20260912,P30,0.3274283877298953
fold1_fusion_lda_20260912,1,fusion_lda,20260912,P43,0.3888005652711535
fold1_fusion_lda_20260912,1,fusion_lda,20260912,P48,0.3688663282571912
fold1_fusion_20260911,1,fusion,20260911,P22,0.25530985347492946
fold1_fusion_20260911,1,fusion,20260911,P24,0.3799345790204776
fold1_fusion_20260911,1,fusion,20260911,P30,0.31569463479011217
fold1_fusion_20260911,1,fusion,20260911,P43,0.3783036430095253
fold1_fusion_20260911,1,fusion,20260911,P48,0.3671742808798646
fold1_fusion_20260912,1,fusion,20260912,P22,0.25530985347492946
fold1_fusion_20260912,1,fusion,20260912,P24,0.3799345790204776
fold1_fusion_20260912,1,fusion,20260912,P30,0.31569463479011217
fold1_fusion_20260912,1,fusion,20260912,P43,0.3783036430095253
fold1_fusion_20260912,1,fusion,20260912,P48,0.3671742808798646
fold2_all_20260911,2,all,20260911,P12,0.39719312945119395
fold2_all_20260911,2,all,20260911,P19,0.4249082809224318
fold2_all_20260911,2,all,20260911,P2,0.41805404622183584
fold2_all_20260911,2,all,20260911,P35,0.2518518518518518
fold2_all_20260911,2,all,20260911,P40,0.274293721123987
fold2_all_20260912,2,all,20260912,P12,0.39719312945119395
fold2_all_20260912,2,all,20260912,P19,0.4249082809224318
fold2_all_20260912,2,all,20260912,P2,0.41805404622183584
fold2_all_20260912,2,all,20260912,P35,0.2518518518518518
fold2_all_20260912,2,all,20260912,P40,0.274293721123987
fold2_svm_rbf_20260911,2,svm_rbf,20260911,P12,0.35602569473537216
fold2_svm_rbf_20260911,2,svm_rbf,20260911,P19,0.3598663522012579
fold2_svm_rbf_20260911,2,svm_rbf,20260911,P2,0.39120481054843154
fold2_svm_rbf_20260911,2,svm_rbf,20260911,P35,0.2722222222222222
fold2_svm_rbf_20260911,2,svm_rbf,20260911,P40,0.2723623418919942
fold2_svm_rbf_20260912,2,svm_rbf,20260912,P12,0.35602569473537216
fold2_svm_rbf_20260912,2,svm_rbf,20260912,P19,0.3598663522012579
fold2_svm_rbf_20260912,2,svm_rbf,20260912,P2,0.39120481054843154
fold2_svm_rbf_20260912,2,svm_rbf,20260912,P35,0.2722222222222222
fold2_svm_rbf_20260912,2,svm_rbf,20260912,P40,0.2723623418919942
fold2_hgb_20260911,2,hgb,20260911,P12,0.3672950705208769
fold2_hgb_20260911,2,hgb,20260911,P19,0.34350104821802935
fold2_hgb_20260911,2,hgb,20260911,P2,0.3639498659711657
fold2_hgb_20260911,2,hgb,20260911,P35,0.27037037037037037
fold2_hgb_20260911,2,hgb,20260911,P40,0.358289782625161
fold2_hgb_20260912,2,hgb,20260912,P12,0.3672950705208769
fold2_hgb_20260912,2,hgb,20260912,P19,0.34350104821802935
fold2_hgb_20260912,2,hgb,20260912,P2,0.3639498659711657
fold2_hgb_20260912,2,hgb,20260912,P35,0.27037037037037037
fold2_hgb_20260912,2,hgb,20260912,P40,0.358289782625161
fold2_qda_20260911,2,qda,20260911,P12,0.3008658008658009
fold2_qda_20260911,2,qda,20260911,P19,0.3186320754716981
fold2_qda_20260911,2,qda,20260911,P2,0.344229515322756
fold2_qda_20260911,2,qda,20260911,P35,0.2888888888888889
fold2_qda_20260911,2,qda,20260911,P40,0.3128834355828221
fold2_qda_20260912,2,qda,20260912,P12,0.3008658008658009
fold2_qda_20260912,2,qda,20260912,P19,0.3186320754716981
fold2_qda_20260912,2,qda,20260912,P2,0.344229515322756
fold2_qda_20260912,2,qda,20260912,P35,0.2888888888888889
fold2_qda_20260912,2,qda,20260912,P40,0.3128834355828221
fold2_fusion_logistic_20260911,2,fusion_logistic,20260911,P12,0.39719312945119395
fold2_fusion_logistic_20260911,2,fusion_logistic,20260911,P19,0.4249082809224318
fold2_fusion_logistic_20260911,2,fusion_logistic,20260911,P2,0.41805404622183584
fold2_fusion_logistic_20260911,2,fusion_logistic,20260911,P35,0.2518518518518518
fold2_fusion_logistic_20260911,2,fusion_logistic,20260911,P40,0.274293721123987
fold2_fusion_logistic_20260912,2,fusion_logistic,20260912,P12,0.39719312945119395
fold2_fusion_logistic_20260912,2,fusion_logistic,20260912,P19,0.4249082809224318
fold2_fusion_logistic_20260912,2,fusion_logistic,20260912,P2,0.41805404622183584
fold2_fusion_logistic_20260912,2,fusion_logistic,20260912,P35,0.2518518518518518
fold2_fusion_logistic_20260912,2,fusion_logistic,20260912,P40,0.274293721123987
fold2_fusion_lda_20260911,2,fusion_lda,20260911,P12,0.37779639715123586
fold2_fusion_lda_20260911,2,fusion_lda,20260911,P19,0.3955974842767296
fold2_fusion_lda_20260911,2,fusion_lda,20260911,P2,0.4381945953778164
fold2_fusion_lda_20260911,2,fusion_lda,20260911,P35,0.2388888888888889
fold2_fusion_lda_20260911,2,fusion_lda,20260911,P40,0.276414451261077
fold2_fusion_lda_20260912,2,fusion_lda,20260912,P12,0.37779639715123586
fold2_fusion_lda_20260912,2,fusion_lda,20260912,P19,0.3955974842767296
fold2_fusion_lda_20260912,2,fusion_lda,20260912,P2,0.4381945953778164
fold2_fusion_lda_20260912,2,fusion_lda,20260912,P35,0.2388888888888889
fold2_fusion_lda_20260912,2,fusion_lda,20260912,P40,0.276414451261077
fold2_fusion_20260911,2,fusion,20260911,P12,0.39719312945119395
fold2_fusion_20260911,2,fusion,20260911,P19,0.4249082809224318
fold2_fusion_20260911,2,fusion,20260911,P2,0.41805404622183584
fold2_fusion_20260911,2,fusion,20260911,P35,0.2518518518518518
fold2_fusion_20260911,2,fusion,20260911,P40,0.274293721123987
fold2_fusion_20260912,2,fusion,20260912,P12,0.39719312945119395
fold2_fusion_20260912,2,fusion,20260912,P19,0.4249082809224318
fold2_fusion_20260912,2,fusion,20260912,P2,0.41805404622183584
fold2_fusion_20260912,2,fusion,20260912,P35,0.2518518518518518
fold2_fusion_20260912,2,fusion,20260912,P40,0.274293721123987
fold3_all_20260911,3,all,20260911,P18,0.26963906581740976
fold3_all_20260911,3,all,20260911,P27,0.5205697528278174
