scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
all,20260911,0.3547812951831035,13524,25,0.3531731591779825,0.35285666438946467
all,20260912,0.3547812951831035,13524,25,0.3531731591779825,0.35285666438946467
fusion,20260911,0.357453246950667,13524,25,0.35630777459130886,0.35473900047279305
fusion,20260912,0.357453246950667,13524,25,0.35630777459130886,0.35473900047279305
fusion_lda,20260911,0.3592647065456363,13524,25,0.35706893600765194,0.3555203616650227
fusion_lda,20260912,0.3592647065456363,13524,25,0.35706893600765194,0.3555203616650227
fusion_logistic,20260911,0.3605406921582706,13524,25,0.35940969661798117,0.35798856489996966
fusion_logistic,20260912,0.3605406921582706,13524,25,0.35940969661798117,0.35798856489996966
hgb,20260911,0.3509523891193072,13524,25,0.348356828562852,0.34799971240107314
hgb,20260912,0.3509523891193072,13524,25,0.348356828562852,0.34799971240107314
qda,20260911,0.3543759522754835,13524,25,0.34281801282631247,0.25742705885121786
qda,20260912,0.3543759522754835,13524,25,0.34281801282631247,0.25742705885121786
svm_rbf,20260911,0.3501345767864603,13524,25,0.350648485791043,0.34878093157663353
svm_rbf,20260912,0.3501345767864603,13524,25,0.350648485791043,0.34878093157663353
