fold,inner,base_id,family,context,smoothing,candidate_id,score
1,1,b00_ctx1,svm_rbf,1,1,b00_ctx1_smooth1,0.3397480732198277
1,1,b00_ctx1,svm_rbf,1,4,b00_ctx1_smooth4,0.3329298673235955
1,1,b00_ctx8,svm_rbf,8,1,b00_ctx8_smooth1,0.34656211640020224
1,1,b00_ctx8,svm_rbf,8,4,b00_ctx8_smooth4,0.3547310766176485
1,1,b01_ctx1,svm_rbf,1,1,b01_ctx1_smooth1,0.3365980583786536
1,1,b01_ctx1,svm_rbf,1,4,b01_ctx1_smooth4,0.33658352164323724
1,1,b01_ctx8,svm_rbf,8,1,b01_ctx8_smooth1,0.3360989528037125
1,1,b01_ctx8,svm_rbf,8,4,b01_ctx8_smooth4,0.3263068290783914
1,1,b02_ctx1,svm_rbf,1,1,b02_ctx1_smooth1,0.3519591141853553
1,1,b02_ctx1,svm_rbf,1,4,b02_ctx1_smooth4,0.34841380162180813
1,1,b02_ctx8,svm_rbf,8,1,b02_ctx8_smooth1,0.34444451272757043
1,1,b02_ctx8,svm_rbf,8,4,b02_ctx8_smooth4,0.34335409497650926
1,1,b03_ctx1,svm_rbf,1,1,b03_ctx1_smooth1,0.3436621039598008
1,1,b03_ctx1,svm_rbf,1,4,b03_ctx1_smooth4,0.3568838712981467
1,1,b03_ctx8,svm_rbf,8,1,b03_ctx8_smooth1,0.33978098396330614
1,1,b03_ctx8,svm_rbf,8,4,b03_ctx8_smooth4,0.33549581735419165
1,1,b04_ctx1,svm_rbf,1,1,b04_ctx1_smooth1,0.34927147983432677
1,1,b04_ctx1,svm_rbf,1,4,b04_ctx1_smooth4,0.3494642267828257
1,1,b04_ctx8,svm_rbf,8,1,b04_ctx8_smooth1,0.33922298353482666
1,1,b04_ctx8,svm_rbf,8,4,b04_ctx8_smooth4,0.3363986230655498
1,1,b05_ctx1,svm_rbf,1,1,b05_ctx1_smooth1,0.3408164485182074
1,1,b05_ctx1,svm_rbf,1,4,b05_ctx1_smooth4,0.3438439193690256
1,1,b05_ctx8,svm_rbf,8,1,b05_ctx8_smooth1,0.33615040775839716
1,1,b05_ctx8,svm_rbf,8,4,b05_ctx8_smooth4,0.3274403847097782
1,1,b06_ctx1,hgb,1,1,b06_ctx1_smooth1,0.35836394353185824
1,1,b06_ctx1,hgb,1,4,b06_ctx1_smooth4,0.3563632311971084
1,1,b06_ctx8,hgb,8,1,b06_ctx8_smooth1,0.3500614805416654
1,1,b06_ctx8,hgb,8,4,b06_ctx8_smooth4,0.3429651859723405
1,1,b07_ctx1,hgb,1,1,b07_ctx1_smooth1,0.3652173576375622
1,1,b07_ctx1,hgb,1,4,b07_ctx1_smooth4,0.37554717732779347
1,1,b07_ctx8,hgb,8,1,b07_ctx8_smooth1,0.3552500999973938
