scope,participant,delta
stack_weight_0.05,P12,-0.023739701159055993
stack_weight_0.05,P13,-0.01659504808676071
stack_weight_0.05,P18,-0.00424628450106157
stack_weight_0.05,P19,0.012565513626834501
stack_weight_0.05,P2,0.020097080344852636
stack_weight_0.05,P20,-0.0027989252127182396
stack_weight_0.05,P21,0.003574542284219717
stack_weight_0.05,P22,-0.0019715911636868366
stack_weight_0.05,P24,-0.011695120311869922
stack_weight_0.05,P26,0.005714285714285838
stack_weight_0.05,P27,0.010906298003072079
stack_weight_0.05,P3,-0.0041407867494823725
stack_weight_0.05,P30,0.0016835016835016758
stack_weight_0.05,P33,8.026602453842235e-05
stack_weight_0.05,P34,-0.004081632653061273
stack_weight_0.05,P35,-0.0222222222222222
stack_weight_0.05,P36,0.007912750899176257
stack_weight_0.05,P4,0.021786492374727684
stack_weight_0.05,P40,0.002044989775051076
stack_weight_0.05,P43,0.018153900506841736
stack_weight_0.05,P44,-0.012710422546488076
stack_weight_0.05,P46,0.06632653061224497
stack_weight_0.05,P48,0.016920473773265665
stack_weight_0.05,P8,-0.0174603174603174
stack_weight_0.05,P9,0.0176355922485954
stack_weight_0.1,P12,-0.015067727970953737
stack_weight_0.1,P13,-0.025885001023122467
stack_weight_0.1,P18,-0.00849256900212314
stack_weight_0.1,P19,-0.0020440251572326207
stack_weight_0.1,P2,0.01237412156777512
stack_weight_0.1,P20,0.0014989799472558407
stack_weight_0.1,P21,0.0053472827666375955
stack_weight_0.1,P22,-0.0058363579334139715
stack_weight_0.1,P24,-0.019424653851324192
stack_weight_0.1,P26,5.551115123125783e-17
stack_weight_0.1,P27,0.01308476469766795
stack_weight_0.1,P3,-0.0020703933747412417
stack_weight_0.1,P30,0.0033754631744581376
stack_weight_0.1,P33,-0.0038527691778466044
stack_weight_0.1,P34,0.006122448979591799
stack_weight_0.1,P35,-0.020370370370370372
stack_weight_0.1,P36,0.017716672467803674
stack_weight_0.1,P4,0.02832244008714596
stack_weight_0.1,P40,-0.0041278497311217355
stack_weight_0.1,P43,0.015144103379397533
stack_weight_0.1,P44,-0.005344382393562663
stack_weight_0.1,P46,0.07015306122448989
stack_weight_0.1,P48,0.013536379018612599
stack_weight_0.1,P8,-0.00628844839371151
stack_weight_0.1,P9,0.021580094025914542
stack_weight_0.25,P12,-0.006228180421728846
stack_weight_0.25,P13,-0.016799672600777527
stack_weight_0.25,P18,-0.01273885350318471
stack_weight_0.25,P19,-0.02499999999999991
stack_weight_0.25,P2,8.693762225608914e-05
stack_weight_0.25,P20,0.012875055978504302
stack_weight_0.25,P21,0.023219994187736126
stack_weight_0.25,P22,-0.0039767889949365864
stack_weight_0.25,P24,-0.04265806335977057
stack_weight_0.25,P26,-0.003809523809523707
stack_weight_0.25,P27,0.023977098170646416
stack_weight_0.25,P3,-0.0041407867494823725
stack_weight_0.25,P30,0.010160228753193612
stack_weight_0.25,P33,0.007728471505561274
stack_weight_0.25,P34,0.015661047027506647
stack_weight_0.25,P35,-0.02407407407407408
stack_weight_0.25,P36,0.025525002900568583
stack_weight_0.25,P4,0.034858387799564294
stack_weight_0.25,P40,0.0019440026256658527
stack_weight_0.25,P43,0.024248230130583026
stack_weight_0.25,P44,-0.014371784863588088
stack_weight_0.25,P46,0.09311224489795927
stack_weight_0.25,P48,0.015228426395939132
stack_weight_0.25,P8,0.016100858206121393
stack_weight_0.25,P9,0.012039903680770625
