model_id,fold,scope,seed,participant,score
fold1_stack_weight_0.05_20260911,1,stack_weight_0.05,20260911,P22,0.33056638437065916
fold1_stack_weight_0.05_20260911,1,stack_weight_0.05,20260911,P24,0.46285343012053587
fold1_stack_weight_0.05_20260911,1,stack_weight_0.05,20260911,P30,0.2753667326531648
fold1_stack_weight_0.05_20260911,1,stack_weight_0.05,20260911,P43,0.42956531191825315
fold1_stack_weight_0.05_20260911,1,stack_weight_0.05,20260911,P48,0.3739424703891709
fold1_stack_weight_0.1_20260911,1,stack_weight_0.1,20260911,P22,0.326701617600932
fold1_stack_weight_0.1_20260911,1,stack_weight_0.1,20260911,P24,0.4551238965810816
fold1_stack_weight_0.1_20260911,1,stack_weight_0.1,20260911,P30,0.27705869414412126
fold1_stack_weight_0.1_20260911,1,stack_weight_0.1,20260911,P43,0.42655551479080894
fold1_stack_weight_0.1_20260911,1,stack_weight_0.1,20260911,P48,0.3705583756345178
fold1_stack_weight_0.25_20260911,1,stack_weight_0.25,20260911,P22,0.3285611865394094
fold1_stack_weight_0.25_20260911,1,stack_weight_0.25,20260911,P24,0.4318904870726352
fold1_stack_weight_0.25_20260911,1,stack_weight_0.25,20260911,P30,0.28384345972285674
fold1_stack_weight_0.25_20260911,1,stack_weight_0.25,20260911,P43,0.43565964154199444
fold1_stack_weight_0.25_20260911,1,stack_weight_0.25,20260911,P48,0.37225042301184436
fold1_stack_weight_0.05_20260912,1,stack_weight_0.05,20260912,P22,0.33056638437065916
fold1_stack_weight_0.05_20260912,1,stack_weight_0.05,20260912,P24,0.46285343012053587
fold1_stack_weight_0.05_20260912,1,stack_weight_0.05,20260912,P30,0.2753667326531648
fold1_stack_weight_0.05_20260912,1,stack_weight_0.05,20260912,P43,0.42956531191825315
fold1_stack_weight_0.05_20260912,1,stack_weight_0.05,20260912,P48,0.3739424703891709
fold1_stack_weight_0.1_20260912,1,stack_weight_0.1,20260912,P22,0.326701617600932
fold1_stack_weight_0.1_20260912,1,stack_weight_0.1,20260912,P24,0.4551238965810816
fold1_stack_weight_0.1_20260912,1,stack_weight_0.1,20260912,P30,0.27705869414412126
fold1_stack_weight_0.1_20260912,1,stack_weight_0.1,20260912,P43,0.42655551479080894
fold1_stack_weight_0.1_20260912,1,stack_weight_0.1,20260912,P48,0.3705583756345178
fold1_stack_weight_0.25_20260912,1,stack_weight_0.25,20260912,P22,0.3285611865394094
fold1_stack_weight_0.25_20260912,1,stack_weight_0.25,20260912,P24,0.4318904870726352
fold1_stack_weight_0.25_20260912,1,stack_weight_0.25,20260912,P30,0.28384345972285674
fold1_stack_weight_0.25_20260912,1,stack_weight_0.25,20260912,P43,0.43565964154199444
fold1_stack_weight_0.25_20260912,1,stack_weight_0.25,20260912,P48,0.37225042301184436
fold2_stack_weight_0.05_20260911,2,stack_weight_0.05,20260911,P12,0.3519201228878648
fold2_stack_weight_0.05_20260911,2,stack_weight_0.05,20260911,P19,0.4018998951781971
fold2_stack_weight_0.05_20260911,2,stack_weight_0.05,20260911,P2,0.4335579221908281
fold2_stack_weight_0.05_20260911,2,stack_weight_0.05,20260911,P35,0.2555555555555556
fold2_stack_weight_0.05_20260911,2,stack_weight_0.05,20260911,P40,0.2804665606301598
fold2_stack_weight_0.1_20260911,2,stack_weight_0.1,20260911,P12,0.36059209607596704
fold2_stack_weight_0.1_20260911,2,stack_weight_0.1,20260911,P19,0.38729035639412995
