task,kind,model,split,rows,participants,mae,rmse,r2,participant_macro_mae,participant_macro_rmse,participant_macro_r2,balanced_accuracy,macro_f1,participant_macro_balanced_accuracy,participant_macro_macro_f1
attention_primary,regression,dummy_mean,validation,4662,8,0.73772584,1,0,0.73949437,1,0,,,,
attention_primary,regression,dummy_mean,test,4025,8,0.73432638,1,0,0.73332097,1,-2.7755576e-17,,,,
attention_primary,regression,dummy_mean,sensitivity,482,1,0.78581697,1,0,0.78581697,1,0,,,,
attention_primary,regression,ridge,validation,4662,8,0.73787117,1.0000551,-0.00011025987,0.73942884,0.99989185,0.00021223129,,,,
attention_primary,regression,ridge,test,4025,8,0.73476489,1.0012621,-0.0025258626,0.73374015,1.0012272,-0.0024619407,,,,
attention_primary,regression,ridge,sensitivity,482,1,0.78764228,1.0005026,-0.0010055113,0.78764228,1.0005026,-0.0010055113,,,,
attention_primary,regression,random_forest,validation,4662,8,0.77095904,1.0413503,-0.084410384,0.77346609,1.0418446,-0.085770247,,,,
attention_primary,regression,random_forest,test,4025,8,0.76458181,1.0346285,-0.070456053,0.76300992,1.0338177,-0.06912859,,,,
attention_primary,regression,random_forest,sensitivity,482,1,0.78068229,1.0061005,-0.012238122,0.78068229,1.0061005,-0.012238122,,,,
attention_primary,classification,dummy_prior,validation,4662,8,,,,,,,0.33333333,0.16658622,0.33333333,0.16658856
attention_primary,classification,dummy_prior,test,4025,8,,,,,,,0.33333333,0.16669772,0.33333333,0.16669488
attention_primary,classification,dummy_prior,sensitivity,482,1,,,,,,,0.33333333,0.16692587,0.33333333,0.16692587
attention_primary,classification,logistic,validation,4662,8,,,,,,,0.33574305,0.33257213,0.33724938,0.30302956
attention_primary,classification,logistic,test,4025,8,,,,,,,0.32397248,0.32377633,0.32427277,0.3019035
attention_primary,classification,logistic,sensitivity,482,1,,,,,,,0.29847308,0.245483,0.29847308,0.245483
attention_primary,classification,random_forest,validation,4662,8,,,,,,,0.31985774,0.31651352,0.31984247,0.30440255
attention_primary,classification,random_forest,test,4025,8,,,,,,,0.3197414,0.31910211,0.32024434,0.31104668
attention_primary,classification,random_forest,sensitivity,482,1,,,,,,,0.34416408,0.33877208,0.34416408,0.33877208
attention_pca_sensitivity,regression,dummy_mean,validation,4661,8,0.73154615,1,0,0.73143465,1,-9.7144515e-17,,,,
attention_pca_sensitivity,regression,dummy_mean,test,3998,8,0.74221607,1,-2.220446e-16,0.74142835,1,-4.1633363e-17,,,,
attention_pca_sensitivity,regression,dummy_mean,sensitivity,481,1,0.69764349,1,-2.220446e-16,0.69764349,1,-2.220446e-16,,,,
attention_pca_sensitivity,regression,ridge,validation,4661,8,0.73189824,1.0005162,-0.0010325824,0.73178011,1.0003495,-0.00070336916,,,,
attention_pca_sensitivity,regression,ridge,test,3998,8,0.74281308,1.0020595,-0.0041232558,0.74197881,1.0020991,-0.0042125117,,,,
attention_pca_sensitivity,regression,ridge,sensitivity,481,1,0.70121247,1.0022135,-0.0044318722,0.70121247,1.0022135,-0.0044318722,,,,
attention_pca_sensitivity,regression,random_forest,validation,4661,8,0.74595528,1.0168951,-0.03407574,0.74494364,1.016225,-0.03284897,,,,
attention_pca_sensitivity,regression,random_forest,test,3998,8,0.75552681,1.0125578,-0.025273352,0.75463186,1.0123238,-0.024861888,,,,
attention_pca_sensitivity,regression,random_forest,sensitivity,481,1,0.70767468,1.0069654,-0.01397937,0.70767468,1.0069654,-0.01397937,,,,
attention_pca_sensitivity,classification,dummy_prior,validation,4661,8,,,,,,,0.33333333,0.16677392,0.33333333,0.16676281
attention_pca_sensitivity,classification,dummy_prior,test,3998,8,,,,,,,0.33333333,0.16660413,0.33333333,0.16661211
attention_pca_sensitivity,classification,dummy_prior,sensitivity,481,1,,,,,,,0.33333333,0.16718588,0.33333333,0.16718588
attention_pca_sensitivity,classification,logistic,validation,4661,8,,,,,,,0.34021736,0.33094713,0.34140086,0.30897228
attention_pca_sensitivity,classification,logistic,test,3998,8,,,,,,,0.34870354,0.3426361,0.34855193,0.33129731
attention_pca_sensitivity,classification,logistic,sensitivity,481,1,,,,,,,0.32783385,0.28352306,0.32783385,0.28352306
attention_pca_sensitivity,classification,random_forest,validation,4661,8,,,,,,,0.33598864,0.33333308,0.33511146,0.3279752
attention_pca_sensitivity,classification,random_forest,test,3998,8,,,,,,,0.33217351,0.33190848,0.33212504,0.32654595
attention_pca_sensitivity,classification,random_forest,sensitivity,481,1,,,,,,,0.32850673,0.32976027,0.32850673,0.32976027
arousal_primary_6s,regression,dummy_mean,validation,4662,8,0.66986792,1,2.220446e-16,0.66997009,1,-4.1633363e-17,,,,
arousal_primary_6s,regression,dummy_mean,test,4025,8,0.64523807,1,-2.220446e-16,0.64524743,1,-9.7144515e-17,,,,
arousal_primary_6s,regression,dummy_mean,sensitivity,482,1,0.61767197,1,0,0.61767197,1,0,,,,
arousal_primary_6s,regression,ridge,validation,4662,8,0.66470327,0.99728289,0.0054268448,0.66471507,0.99696383,0.0060381039,,,,
arousal_primary_6s,regression,ridge,test,4025,8,0.64864294,0.99744624,0.0051009884,0.64890755,0.99735121,0.0051738557,,,,
arousal_primary_6s,regression,ridge,sensitivity,482,1,0.62810981,1.0113993,-0.022928519,0.62810981,1.0113993,-0.022928519,,,,
arousal_primary_6s,regression,random_forest,validation,4662,8,0.69317019,1.0174586,-0.035222097,0.69048015,1.0147574,-0.029975305,,,,
arousal_primary_6s,regression,random_forest,test,4025,8,0.649646,1.0036587,-0.0073306902,0.64971657,1.0035224,-0.007280798,,,,
arousal_primary_6s,regression,random_forest,sensitivity,482,1,0.66432673,1.0221482,-0.04478689,0.66432673,1.0221482,-0.04478689,,,,
arousal_primary_6s,classification,dummy_prior,validation,4662,8,,,,,,,0.33333333,0.16658622,0.33333333,0.16658856
arousal_primary_6s,classification,dummy_prior,test,4025,8,,,,,,,0.33333333,0.19779836,0.35416667,0.20734253
arousal_primary_6s,classification,dummy_prior,sensitivity,482,1,,,,,,,0.33333333,0.16692587,0.33333333,0.16692587
arousal_primary_6s,classification,logistic,validation,4662,8,,,,,,,0.36257124,0.35566965,0.36611548,0.34033336
arousal_primary_6s,classification,logistic,test,4025,8,,,,,,,0.31690175,0.30984518,0.33161621,0.3085091
arousal_primary_6s,classification,logistic,sensitivity,482,1,,,,,,,0.28464027,0.26770253,0.28464027,0.26770253
arousal_primary_6s,classification,random_forest,validation,4662,8,,,,,,,0.32433774,0.31874431,0.33321065,0.32011435
arousal_primary_6s,classification,random_forest,test,4025,8,,,,,,,0.33646188,0.3358551,0.35220827,0.3193452
arousal_primary_6s,classification,random_forest,sensitivity,482,1,,,,,,,0.34631211,0.33856682,0.34631211,0.33856682
arousal_2s_sensitivity,regression,dummy_mean,validation,4662,8,0.53081695,1,0,0.53356762,1,-8.3266727e-17,,,,
arousal_2s_sensitivity,regression,dummy_mean,test,4025,8,0.52516186,1,0,0.52630052,1,-8.3266727e-17,,,,
arousal_2s_sensitivity,regression,dummy_mean,sensitivity,482,1,0.58434153,1,-2.220446e-16,0.58434153,1,-2.220446e-16,,,,
arousal_2s_sensitivity,regression,ridge,validation,4662,8,0.53212257,0.99835596,0.003285371,0.5340601,0.99798058,0.0040183805,,,,
arousal_2s_sensitivity,regression,ridge,test,4025,8,0.52723194,0.99993412,0.00013176293,0.52861673,0.99992873,0.00013145847,,,,
arousal_2s_sensitivity,regression,ridge,sensitivity,482,1,0.59607212,1.0119667,-0.024076542,0.59607212,1.0119667,-0.024076542,,,,
arousal_2s_sensitivity,regression,random_forest,validation,4662,8,0.59043036,1.0251059,-0.050842159,0.58582593,1.0209394,-0.043020697,,,,
arousal_2s_sensitivity,regression,random_forest,test,4025,8,0.53825637,1.0069107,-0.013869114,0.5395043,1.0068753,-0.013845399,,,,
arousal_2s_sensitivity,regression,random_forest,sensitivity,482,1,0.6160832,1.0081713,-0.016409311,0.6160832,1.0081713,-0.016409311,,,,
arousal_2s_sensitivity,classification,dummy_prior,validation,4662,8,,,,,,,0.33333333,0.16658622,0.33333333,0.16658856
arousal_2s_sensitivity,classification,dummy_prior,test,4025,8,,,,,,,0.33333333,0.19820764,0.35416667,0.20762891
arousal_2s_sensitivity,classification,dummy_prior,sensitivity,482,1,,,,,,,0.33333333,0.16692587,0.33333333,0.16692587
arousal_2s_sensitivity,classification,logistic,validation,4662,8,,,,,,,0.34005391,0.33316637,0.35041894,0.32888803
arousal_2s_sensitivity,classification,logistic,test,4025,8,,,,,,,0.32552071,0.32063659,0.35195382,0.31920433
arousal_2s_sensitivity,classification,logistic,sensitivity,482,1,,,,,,,0.29070911,0.27743882,0.29070911,0.27743882
arousal_2s_sensitivity,classification,random_forest,validation,4662,8,,,,,,,0.33458021,0.33319933,0.338604,0.32841898
arousal_2s_sensitivity,classification,random_forest,test,4025,8,,,,,,,0.34229028,0.34123581,0.36081568,0.32692538
arousal_2s_sensitivity,classification,random_forest,sensitivity,482,1,,,,,,,0.37549172,0.36741057,0.37549172,0.36741057
arousal_pca_sensitivity,regression,dummy_mean,validation,4662,8,0.41514295,1,0,0.41920915,1,-1.3877788e-17,,,,
arousal_pca_sensitivity,regression,dummy_mean,test,4025,8,0.38957371,1,2.220446e-16,0.39209613,1,1.3877788e-17,,,,
arousal_pca_sensitivity,regression,dummy_mean,sensitivity,482,1,0.49486416,1,0,0.49486416,1,0,,,,
arousal_pca_sensitivity,regression,ridge,validation,4662,8,0.42384955,1.0000279,-5.5801779e-05,0.42632758,0.99995074,9.4658449e-05,,,,
