participant,timeline,split,eligible_primary,reason
P1,SlowWeb G1,excluded,False,eeg_no_utilizable
P2,SlowWeb G2,train,True,calidad_y_sincronizacion_aprobadas
P3,SlowWeb G3,train,True,calidad_y_sincronizacion_aprobadas
P4,SlowWeb G2,train,True,calidad_y_sincronizacion_aprobadas
P5,SlowWeb G1,test,True,calidad_y_sincronizacion_aprobadas
P6,SlowWeb G3,validation,True,calidad_y_sincronizacion_aprobadas
P7,SlowWeb G4,excluded,False,sin_gsr
P8,SlowWeb G4,train,True,calidad_y_sincronizacion_aprobadas
P9,SlowWeb G1,train,True,calidad_y_sincronizacion_aprobadas
P10,SlowWeb G2,test,True,calidad_y_sincronizacion_aprobadas
P11,SlowWeb G3,test,True,calidad_y_sincronizacion_aprobadas
P12,SlowWeb G1,train,True,calidad_y_sincronizacion_aprobadas
P13,SlowWeb G2,train,True,calidad_y_sincronizacion_aprobadas
P14,SlowWeb G3,excluded,False,eeg_no_utilizable
P15,SlowWeb G4,test,True,calidad_y_sincronizacion_aprobadas
P16,SlowWeb G4,test,True,calidad_y_sincronizacion_aprobadas
P17,SlowWeb G3,excluded,False,eeg_no_utilizable
P18,SlowWeb G2,train,True,calidad_y_sincronizacion_aprobadas
P19,SlowWeb G3,train,True,calidad_y_sincronizacion_aprobadas
P20,SlowWeb G4,train,True,calidad_y_sincronizacion_aprobadas
P21,SlowWeb G3,train,True,calidad_y_sincronizacion_aprobadas
P22,SlowWeb G4,train,True,calidad_y_sincronizacion_aprobadas
P23,SlowWeb G1,validation,True,calidad_y_sincronizacion_aprobadas
P24,SlowWeb G1,train,True,calidad_y_sincronizacion_aprobadas
P25,SlowWeb G1,excluded,False,eeg_no_utilizable
P26,SlowWeb G2,train,True,calidad_y_sincronizacion_aprobadas
P27,SlowWeb G1,train,True,calidad_y_sincronizacion_aprobadas
P28,SlowWeb G3,validation,True,calidad_y_sincronizacion_aprobadas
P29,SlowWeb G3,sensitivity,False,sensibilidad_offset_P29
P30,SlowWeb G4,train,True,calidad_y_sincronizacion_aprobadas
P31,SlowWeb G2,validation,True,calidad_y_sincronizacion_aprobadas
P32,SlowWeb G1,validation,True,calidad_y_sincronizacion_aprobadas
P33,SlowWeb G3,train,True,calidad_y_sincronizacion_aprobadas
P34,SlowWeb G2,train,True,calidad_y_sincronizacion_aprobadas
P35,SlowWeb G4,train,True,calidad_y_sincronizacion_aprobadas
P36,SlowWeb G2,train,True,calidad_y_sincronizacion_aprobadas
P37,SlowWeb G2,test,True,calidad_y_sincronizacion_aprobadas
P38,SlowWeb G4,validation,True,calidad_y_sincronizacion_aprobadas
P39,SlowWeb G1,test,True,calidad_y_sincronizacion_aprobadas
P40,SlowWeb G3,train,True,calidad_y_sincronizacion_aprobadas
P41,SlowWeb G4,validation,True,calidad_y_sincronizacion_aprobadas
P42,SlowWeb G1,excluded,False,sin_gsr
P43,SlowWeb G2,train,True,calidad_y_sincronizacion_aprobadas
P44,SlowWeb G1,train,True,calidad_y_sincronizacion_aprobadas
P45,SlowWeb G3,test,True,calidad_y_sincronizacion_aprobadas
P46,SlowWeb G4,train,True,calidad_y_sincronizacion_aprobadas
P47,SlowWeb G2,validation,True,calidad_y_sincronizacion_aprobadas
P48,SlowWeb G1,train,True,calidad_y_sincronizacion_aprobadas
