fold,inner,base_id,family,representation,smoothing,candidate_id,score
1,1,current_m0,ridge,current,1,current_m0_s1,0.375810850334091
1,1,current_m0,ridge,current,8,current_m0_s8,0.38365671666757667
1,1,current_m0,ridge,current,32,current_m0_s32,0.3906015220727434
1,1,current_m1,ridge,current,1,current_m1_s1,0.3746166386824757
1,1,current_m1,ridge,current,8,current_m1_s8,0.3793618206223003
1,1,current_m1,ridge,current,32,current_m1_s32,0.3841096925432898
1,1,current_m2,rbf,current,1,current_m2_s1,0.3534426301464083
1,1,current_m2,rbf,current,8,current_m2_s8,0.3580745415952772
1,1,current_m2,rbf,current,32,current_m2_s32,0.3551281244407745
1,1,current_m3,rbf,current,1,current_m3_s1,0.35278624764246974
1,1,current_m3,rbf,current,8,current_m3_s8,0.3588995618472418
1,1,current_m3,rbf,current,32,current_m3_s32,0.3526885710776633
1,1,current_m4,trees,current,1,current_m4_s1,0.38237347447920883
1,1,current_m4,trees,current,8,current_m4_s8,0.3818524561656557
1,1,current_m4,trees,current,32,current_m4_s32,0.38164670356644487
1,1,current_m5,trees,current,1,current_m5_s1,0.3864119671244563
1,1,current_m5,trees,current,8,current_m5_s8,0.39102868308100935
1,1,current_m5,trees,current,32,current_m5_s32,0.39510675622767977
1,1,multiscale_m0,ridge,multiscale,1,multiscale_m0_s1,0.4001599410931731
1,1,multiscale_m0,ridge,multiscale,8,multiscale_m0_s8,0.4007101669159996
1,1,multiscale_m0,ridge,multiscale,32,multiscale_m0_s32,0.40782212907912835
1,1,multiscale_m1,ridge,multiscale,1,multiscale_m1_s1,0.3946194673576115
1,1,multiscale_m1,ridge,multiscale,8,multiscale_m1_s8,0.3994329242155219
1,1,multiscale_m1,ridge,multiscale,32,multiscale_m1_s32,0.40247054286595657
1,1,multiscale_m2,rbf,multiscale,1,multiscale_m2_s1,0.36220058880225414
1,1,multiscale_m2,rbf,multiscale,8,multiscale_m2_s8,0.360243239356917
1,1,multiscale_m2,rbf,multiscale,32,multiscale_m2_s32,0.3567836846098857
1,1,multiscale_m3,rbf,multiscale,1,multiscale_m3_s1,0.34797965266826036
1,1,multiscale_m3,rbf,multiscale,8,multiscale_m3_s8,0.33152328860028174
1,1,multiscale_m3,rbf,multiscale,32,multiscale_m3_s32,0.3367379066755538
1,1,multiscale_m4,trees,multiscale,1,multiscale_m4_s1,0.3555998066410249
1,1,multiscale_m4,trees,multiscale,8,multiscale_m4_s8,0.33716514598823244
1,1,multiscale_m4,trees,multiscale,32,multiscale_m4_s32,0.3288929628947013
1,1,multiscale_m5,trees,multiscale,1,multiscale_m5_s1,0.3629643215808988
1,1,multiscale_m5,trees,multiscale,8,multiscale_m5_s8,0.35003878973024016
1,1,multiscale_m5,trees,multiscale,32,multiscale_m5_s32,0.34947888156833185
1,1,delayed4_m0,ridge,delayed4,1,delayed4_m0_s1,0.4028199245135806
1,1,delayed4_m0,ridge,delayed4,8,delayed4_m0_s8,0.40234231075843074
1,1,delayed4_m0,ridge,delayed4,32,delayed4_m0_s32,0.4086422450368241
1,1,delayed4_m1,ridge,delayed4,1,delayed4_m1_s1,0.4047007825464709
1,1,delayed4_m1,ridge,delayed4,8,delayed4_m1_s8,0.4076008735244876
1,1,delayed4_m1,ridge,delayed4,32,delayed4_m1_s32,0.4037742157034801
1,1,delayed4_m2,rbf,delayed4,1,delayed4_m2_s1,0.3819666868720959
1,1,delayed4_m2,rbf,delayed4,8,delayed4_m2_s8,0.37859916376877356
1,1,delayed4_m2,rbf,delayed4,32,delayed4_m2_s32,0.3853762132286383
1,1,delayed4_m3,rbf,delayed4,1,delayed4_m3_s1,0.3533019223568446
1,1,delayed4_m3,rbf,delayed4,8,delayed4_m3_s8,0.3435072466544498
1,1,delayed4_m3,rbf,delayed4,32,delayed4_m3_s32,0.34880037023154437
1,1,delayed4_m4,trees,delayed4,1,delayed4_m4_s1,0.3379404979777639
1,1,delayed4_m4,trees,delayed4,8,delayed4_m4_s8,0.32031665386046587
1,1,delayed4_m4,trees,delayed4,32,delayed4_m4_s32,0.3201790867257506
1,1,delayed4_m5,trees,delayed4,1,delayed4_m5_s1,0.34458088119047253
1,1,delayed4_m5,trees,delayed4,8,delayed4_m5_s8,0.32297067386571165
1,1,delayed4_m5,trees,delayed4,32,delayed4_m5_s32,0.32665983663221243
1,1,relative_m0,ridge,relative,1,relative_m0_s1,0.35188919435303
1,1,relative_m0,ridge,relative,8,relative_m0_s8,0.3288029042006215
1,1,relative_m0,ridge,relative,32,relative_m0_s32,0.32285052160638256
1,1,relative_m1,ridge,relative,1,relative_m1_s1,0.35841613094763203
1,1,relative_m1,ridge,relative,8,relative_m1_s8,0.32547323260999467
1,1,relative_m1,ridge,relative,32,relative_m1_s32,0.31958308368639265
1,1,relative_m2,rbf,relative,1,relative_m2_s1,0.346681846002707
1,1,relative_m2,rbf,relative,8,relative_m2_s8,0.3222010947921203
1,1,relative_m2,rbf,relative,32,relative_m2_s32,0.3157056418814389
1,1,relative_m3,rbf,relative,1,relative_m3_s1,0.36797563568971725
1,1,relative_m3,rbf,relative,8,relative_m3_s8,0.3299525671502711
1,1,relative_m3,rbf,relative,32,relative_m3_s32,0.3178339317203458
1,1,relative_m4,trees,relative,1,relative_m4_s1,0.34122717298844857
1,1,relative_m4,trees,relative,8,relative_m4_s8,0.3123317792946672
1,1,relative_m4,trees,relative,32,relative_m4_s32,0.32014709233682814
1,1,relative_m5,trees,relative,1,relative_m5_s1,0.3463009783553481
1,1,relative_m5,trees,relative,8,relative_m5_s8,0.30809644002855036
1,1,relative_m5,trees,relative,32,relative_m5_s32,0.3058668818348949
1,2,current_m0,ridge,current,1,current_m0_s1,0.36729273571670973
1,2,current_m0,ridge,current,8,current_m0_s8,0.3807550391184425
1,2,current_m0,ridge,current,32,current_m0_s32,0.39536284647824366
1,2,current_m1,ridge,current,1,current_m1_s1,0.3674022106148495
1,2,current_m1,ridge,current,8,current_m1_s8,0.37899484038231246
