model_id,fold,scope,seed,participant,score
fold1_all_20260911,1,all,20260911,P22,0.27168750280055565
fold1_all_20260911,1,all,20260911,P24,0.441233140655106
fold1_all_20260911,1,all,20260911,P30,0.24909903050606566
fold1_all_20260911,1,all,20260911,P43,0.3936651583710407
fold1_all_20260911,1,all,20260911,P48,0.338409475465313
fold1_all_20260912,1,all,20260912,P22,0.2408589864229063
fold1_all_20260912,1,all,20260912,P24,0.44894026974951834
fold1_all_20260912,1,all,20260912,P30,0.2457320271390623
fold1_all_20260912,1,all,20260912,P43,0.40573152337858226
fold1_all_20260912,1,all,20260912,P48,0.35871404399323176
fold1_ridge_20260911,1,ridge,20260911,P22,0.28216158085764215
fold1_ridge_20260911,1,ridge,20260911,P24,0.45861899000761747
fold1_ridge_20260911,1,ridge,20260911,P30,0.31255604622438793
fold1_ridge_20260911,1,ridge,20260911,P43,0.40719226013343657
fold1_ridge_20260911,1,ridge,20260911,P48,0.36209813874788493
fold1_ridge_20260912,1,ridge,20260912,P22,0.28216158085764215
fold1_ridge_20260912,1,ridge,20260912,P24,0.45861899000761747
fold1_ridge_20260912,1,ridge,20260912,P30,0.31255604622438793
fold1_ridge_20260912,1,ridge,20260912,P43,0.40719226013343657
fold1_ridge_20260912,1,ridge,20260912,P48,0.36209813874788493
fold1_rbf_20260911,1,rbf,20260911,P22,0.23559394183806068
fold1_rbf_20260911,1,rbf,20260911,P24,0.48169556840077066
fold1_rbf_20260911,1,rbf,20260911,P30,0.31434952540480177
fold1_rbf_20260911,1,rbf,20260911,P43,0.41926541926541927
fold1_rbf_20260911,1,rbf,20260911,P48,0.3857868020304569
fold1_rbf_20260912,1,rbf,20260912,P22,0.2356051440605816
fold1_rbf_20260912,1,rbf,20260912,P24,0.48169556840077066
fold1_rbf_20260912,1,rbf,20260912,P30,0.3227501142074007
fold1_rbf_20260912,1,rbf,20260912,P43,0.41171714701126466
fold1_rbf_20260912,1,rbf,20260912,P48,0.3840947546531303
fold1_trees_20260911,1,trees,20260911,P22,0.27168750280055565
fold1_trees_20260911,1,trees,20260911,P24,0.441233140655106
fold1_trees_20260911,1,trees,20260911,P30,0.24909903050606566
fold1_trees_20260911,1,trees,20260911,P43,0.3936651583710407
fold1_trees_20260911,1,trees,20260911,P48,0.338409475465313
fold1_trees_20260912,1,trees,20260912,P22,0.2408589864229063
fold1_trees_20260912,1,trees,20260912,P24,0.44894026974951834
fold1_trees_20260912,1,trees,20260912,P30,0.2457320271390623
fold1_trees_20260912,1,trees,20260912,P43,0.40573152337858226
fold1_trees_20260912,1,trees,20260912,P48,0.35871404399323176
fold2_all_20260911,2,all,20260911,P12,0.27268537913699203
fold2_all_20260911,2,all,20260911,P19,0.39593815513626834
fold2_all_20260911,2,all,20260911,P2,0.3503223936825328
fold2_all_20260911,2,all,20260911,P35,0.2740740740740741
fold2_all_20260911,2,all,20260911,P40,0.30072710747557374
fold2_all_20260912,2,all,20260912,P12,0.27482195224130707
fold2_all_20260912,2,all,20260912,P19,0.40014412997903565
fold2_all_20260912,2,all,20260912,P2,0.34567847569368976
fold2_all_20260912,2,all,20260912,P35,0.2759259259259259
fold2_all_20260912,2,all,20260912,P40,0.3007144840819006
fold2_ridge_20260911,2,ridge,20260911,P12,0.43028906577293674
fold2_ridge_20260911,2,ridge,20260911,P19,0.34761530398322854
fold2_ridge_20260911,2,ridge,20260911,P2,0.3502209664565674
fold2_ridge_20260911,2,ridge,20260911,P35,0.29259259259259257
fold2_ridge_20260911,2,ridge,20260911,P40,0.3150420359009316
fold2_ridge_20260912,2,ridge,20260912,P12,0.43028906577293674
fold2_ridge_20260912,2,ridge,20260912,P19,0.34761530398322854
fold2_ridge_20260912,2,ridge,20260912,P2,0.3502209664565674
fold2_ridge_20260912,2,ridge,20260912,P35,0.29259259259259257
fold2_ridge_20260912,2,ridge,20260912,P40,0.3150420359009316
fold2_rbf_20260911,2,rbf,20260911,P12,0.27268537913699203
fold2_rbf_20260911,2,rbf,20260911,P19,0.39593815513626834
fold2_rbf_20260911,2,rbf,20260911,P2,0.3503223936825328
fold2_rbf_20260911,2,rbf,20260911,P35,0.2740740740740741
fold2_rbf_20260911,2,rbf,20260911,P40,0.30072710747557374
fold2_rbf_20260912,2,rbf,20260912,P12,0.27482195224130707
fold2_rbf_20260912,2,rbf,20260912,P19,0.40014412997903565
fold2_rbf_20260912,2,rbf,20260912,P2,0.34567847569368976
fold2_rbf_20260912,2,rbf,20260912,P35,0.2759259259259259
fold2_rbf_20260912,2,rbf,20260912,P40,0.3007144840819006
fold2_trees_20260911,2,trees,20260911,P12,0.29437229437229434
fold2_trees_20260911,2,trees,20260911,P19,0.40041928721174
fold2_trees_20260911,2,trees,20260911,P2,0.3426573933202927
fold2_trees_20260911,2,trees,20260911,P35,0.28703703703703703
fold2_trees_20260911,2,trees,20260911,P40,0.28629856850715746
fold2_trees_20260912,2,trees,20260912,P12,0.28138528138528135
fold2_trees_20260912,2,trees,20260912,P19,0.3962264150943396
fold2_trees_20260912,2,trees,20260912,P2,0.3395421285227849
fold2_trees_20260912,2,trees,20260912,P35,0.2796296296296296
fold2_trees_20260912,2,trees,20260912,P40,0.2883435582822086
fold3_all_20260911,3,all,20260911,P18,0.32696390658174096
fold3_all_20260911,3,all,20260911,P27,0.40758273984080434
fold3_all_20260911,3,all,20260911,P36,0.39049773755656103
fold3_all_20260911,3,all,20260911,P46,0.5204081632653061
fold3_all_20260911,3,all,20260911,P8,0.426885395306448
fold3_all_20260912,3,all,20260912,P18,0.32696390658174096
fold3_all_20260912,3,all,20260912,P27,0.40758273984080434
fold3_all_20260912,3,all,20260912,P36,0.39049773755656103
fold3_all_20260912,3,all,20260912,P46,0.5204081632653061
fold3_all_20260912,3,all,20260912,P8,0.426885395306448
fold3_ridge_20260911,3,ridge,20260911,P18,0.32696390658174096
fold3_ridge_20260911,3,ridge,20260911,P27,0.40758273984080434
fold3_ridge_20260911,3,ridge,20260911,P36,0.39049773755656103
fold3_ridge_20260911,3,ridge,20260911,P46,0.5204081632653061
fold3_ridge_20260911,3,ridge,20260911,P8,0.426885395306448
fold3_ridge_20260912,3,ridge,20260912,P18,0.32696390658174096
fold3_ridge_20260912,3,ridge,20260912,P27,0.40758273984080434
fold3_ridge_20260912,3,ridge,20260912,P36,0.39049773755656103
fold3_ridge_20260912,3,ridge,20260912,P46,0.5204081632653061
fold3_ridge_20260912,3,ridge,20260912,P8,0.426885395306448
fold3_rbf_20260911,3,rbf,20260911,P18,0.31422505307855625
fold3_rbf_20260911,3,rbf,20260911,P27,0.4412651864264767
fold3_rbf_20260911,3,rbf,20260911,P36,0.34927485787214296
fold3_rbf_20260911,3,rbf,20260911,P46,0.6147959183673469
fold3_rbf_20260911,3,rbf,20260911,P8,0.31720969089390144
fold3_rbf_20260912,3,rbf,20260912,P18,0.31210191082802546
fold3_rbf_20260912,3,rbf,20260912,P27,0.4347996089931574
fold3_rbf_20260912,3,rbf,20260912,P36,0.3473140735584175
fold3_rbf_20260912,3,rbf,20260912,P46,0.6045918367346939
fold3_rbf_20260912,3,rbf,20260912,P8,0.30288600288600287
fold3_trees_20260911,3,trees,20260911,P18,0.2929936305732484
fold3_trees_20260911,3,trees,20260911,P27,0.47381650607457054
fold3_trees_20260911,3,trees,20260911,P36,0.3414433228912867
fold3_trees_20260911,3,trees,20260911,P46,0.6135204081632653
fold3_trees_20260911,3,trees,20260911,P8,0.3348294979873927
fold3_trees_20260912,3,trees,20260912,P18,0.3036093418259023
fold3_trees_20260912,3,trees,20260912,P27,0.4781175813433878
fold3_trees_20260912,3,trees,20260912,P36,0.34927485787214296
fold3_trees_20260912,3,trees,20260912,P46,0.6147959183673469
fold3_trees_20260912,3,trees,20260912,P8,0.3220855168223589
fold4_all_20260911,4,all,20260911,P20,0.3093061153405981
fold4_all_20260911,4,all,20260911,P3,0.38509316770186336
fold4_all_20260911,4,all,20260911,P33,0.4256621947024424
fold4_all_20260911,4,all,20260911,P4,0.1568627450980392
fold4_all_20260911,4,all,20260911,P9,0.4418873982341475
fold4_all_20260912,4,all,20260912,P20,0.3093061153405981
fold4_all_20260912,4,all,20260912,P3,0.38509316770186336
fold4_all_20260912,4,all,20260912,P33,0.4256621947024424
fold4_all_20260912,4,all,20260912,P4,0.1568627450980392
fold4_all_20260912,4,all,20260912,P9,0.4418873982341475
fold4_ridge_20260911,4,ridge,20260911,P20,0.3093061153405981
fold4_ridge_20260911,4,ridge,20260911,P3,0.38509316770186336
fold4_ridge_20260911,4,ridge,20260911,P33,0.4256621947024424
fold4_ridge_20260911,4,ridge,20260911,P4,0.1568627450980392
fold4_ridge_20260911,4,ridge,20260911,P9,0.4418873982341475
fold4_ridge_20260912,4,ridge,20260912,P20,0.3093061153405981
fold4_ridge_20260912,4,ridge,20260912,P3,0.38509316770186336
fold4_ridge_20260912,4,ridge,20260912,P33,0.4256621947024424
fold4_ridge_20260912,4,ridge,20260912,P4,0.1568627450980392
fold4_ridge_20260912,4,ridge,20260912,P9,0.4418873982341475
fold4_rbf_20260911,4,rbf,20260911,P20,0.3295081355426183
fold4_rbf_20260911,4,rbf,20260911,P3,0.43271221532091103
fold4_rbf_20260911,4,rbf,20260911,P33,0.4217635592248596
fold4_rbf_20260911,4,rbf,20260911,P4,0.17647058823529413
fold4_rbf_20260911,4,rbf,20260911,P9,0.38698543744983377
fold4_rbf_20260912,4,rbf,20260912,P20,0.32947081653978205
fold4_rbf_20260912,4,rbf,20260912,P3,0.4327122153209109
fold4_rbf_20260912,4,rbf,20260912,P33,0.41195963765623206
fold4_rbf_20260912,4,rbf,20260912,P4,0.16993464052287585
fold4_rbf_20260912,4,rbf,20260912,P9,0.41040018346519896
fold4_trees_20260911,4,trees,20260911,P20,0.3520114942528736
fold4_trees_20260911,4,trees,20260911,P3,0.36231884057971014
fold4_trees_20260911,4,trees,20260911,P33,0.4074074074074074
fold4_trees_20260911,4,trees,20260911,P4,0.3747276688453159
fold4_trees_20260911,4,trees,20260911,P9,0.39019607843137255
fold4_trees_20260912,4,trees,20260912,P20,0.34626436781609193
fold4_trees_20260912,4,trees,20260912,P3,0.34782608695652173
fold4_trees_20260912,4,trees,20260912,P33,0.3840155945419103
fold4_trees_20260912,4,trees,20260912,P4,0.3681917211328976
fold4_trees_20260912,4,trees,20260912,P9,0.407843137254902
fold5_all_20260911,5,all,20260911,P13,0.3004808676079394
fold5_all_20260911,5,all,20260911,P21,0.3015015015015015
fold5_all_20260911,5,all,20260911,P26,0.48761904761904756
fold5_all_20260911,5,all,20260911,P34,0.48637976929902393
fold5_all_20260911,5,all,20260911,P44,0.4742689004984087
fold5_all_20260912,5,all,20260912,P13,0.28570697769592796
fold5_all_20260912,5,all,20260912,P21,0.29786883657851404
fold5_all_20260912,5,all,20260912,P26,0.47809523809523813
fold5_all_20260912,5,all,20260912,P34,0.49622892635314997
fold5_all_20260912,5,all,20260912,P44,0.4669529013791309
fold5_ridge_20260911,5,ridge,20260911,P13,0.34288929813791696
fold5_ridge_20260911,5,ridge,20260911,P21,0.3300881526687978
fold5_ridge_20260911,5,ridge,20260911,P26,0.42476190476190473
fold5_ridge_20260911,5,ridge,20260911,P34,0.5187222715173025
fold5_ridge_20260911,5,ridge,20260911,P44,0.40275025520927166
fold5_ridge_20260912,5,ridge,20260912,P13,0.34288929813791696
fold5_ridge_20260912,5,ridge,20260912,P21,0.3300881526687978
fold5_ridge_20260912,5,ridge,20260912,P26,0.42476190476190473
fold5_ridge_20260912,5,ridge,20260912,P34,0.5187222715173025
fold5_ridge_20260912,5,ridge,20260912,P44,0.40275025520927166
fold5_rbf_20260911,5,rbf,20260911,P13,0.3004808676079394
fold5_rbf_20260911,5,rbf,20260911,P21,0.3015015015015015
fold5_rbf_20260911,5,rbf,20260911,P26,0.48761904761904756
fold5_rbf_20260911,5,rbf,20260911,P34,0.48637976929902393
fold5_rbf_20260911,5,rbf,20260911,P44,0.4742689004984087
fold5_rbf_20260912,5,rbf,20260912,P13,0.28570697769592796
fold5_rbf_20260912,5,rbf,20260912,P21,0.29786883657851404
fold5_rbf_20260912,5,rbf,20260912,P26,0.47809523809523813
fold5_rbf_20260912,5,rbf,20260912,P34,0.49622892635314997
fold5_rbf_20260912,5,rbf,20260912,P44,0.4669529013791309
fold5_trees_20260911,5,trees,20260911,P13,0.2854818907305095
fold5_trees_20260911,5,trees,20260911,P21,0.2635958539184346
fold5_trees_20260911,5,trees,20260911,P26,0.37142857142857144
fold5_trees_20260911,5,trees,20260911,P34,0.42888198757763973
fold5_trees_20260911,5,trees,20260911,P44,0.428561420364699
fold5_trees_20260912,5,trees,20260912,P13,0.35175977082054427
fold5_trees_20260912,5,trees,20260912,P21,0.2653782815073138
fold5_trees_20260912,5,trees,20260912,P26,0.39999999999999997
fold5_trees_20260912,5,trees,20260912,P34,0.4506211180124224
fold5_trees_20260912,5,trees,20260912,P44,0.43772893772893773
