fold,inner,representation,estimator,smoothing,score,evaluation_participants,fit_participants
1,1,current,logistic_0.01,1,0.34880730594689346,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,logistic_0.01,4,0.3406746733028973,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,logistic_0.01,8,0.3358840023482369,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,logistic_0.1,1,0.3454058628586584,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,logistic_0.1,4,0.3372852578202403,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,logistic_0.1,8,0.32984557476964926,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,logistic_1,1,0.34679445646723084,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,logistic_1,4,0.3388613537823622,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,logistic_1,8,0.3316611361480636,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,hgb,1,0.357310660577164,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,hgb,4,0.35600828337851126,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,hgb,8,0.35885098806115295,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,rbf,1,0.3571294766411636,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,rbf,4,0.35268627595471935,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,current,rbf,8,0.3545713691255738,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_0.01,1,0.3572314756486433,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_0.01,4,0.3587194638092659,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_0.01,8,0.35291244754257756,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_0.1,1,0.35753956356571903,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_0.1,4,0.36073578848194215,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_0.1,8,0.34938714939154264,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_1,1,0.3571128151232406,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_1,4,0.35831200472338526,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,logistic_1,8,0.34605007472668664,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,hgb,1,0.3513900828608875,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,hgb,4,0.34158321348783477,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,hgb,8,0.34109647328644804,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,rbf,1,0.36708347983725786,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,rbf,4,0.35739428568233,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_4,rbf,8,0.3505117759192542,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.01,1,0.36075927347198167,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.01,4,0.3511378682790702,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.01,8,0.34177357750945375,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.1,1,0.3586584573676504,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.1,4,0.35671218949441147,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.1,8,0.3484068001749926,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_1,1,0.3617381060054628,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_1,4,0.3582083509906849,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_1,8,0.35063508088447704,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,hgb,1,0.35816781697712524,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,hgb,4,0.3543557431555745,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
