scope,reference,mean_delta,ci_low,ci_high,positive_participants,participants
all,fixed_logistic,0.001060956128261452,-0.010281383390176606,0.011571614198456653,16,25
all,current,0.00854353178234472,0.0014677249426671979,0.01627177647095853,13,25
all,previous_MLP_current,0.009558996128490836,-0.0016113388114475358,0.021495359969547226,15,25
all,previous_LSTM,0.0011945438007509622,-0.014493523983276472,0.01518518628213158,13,25
all,previous_BiLSTM,0.001993957225777643,-0.01712578691931863,0.018167951632487498,16,25
temporal,fixed_logistic,-0.0016682617595891935,-0.013757426841244504,0.010205432968842444,14,25
temporal,current,0.005814313894494074,-0.0048577358036369445,0.015876800135566718,14,25
temporal,previous_MLP_current,0.00682977824064019,-0.005504159755054214,0.019612771010124732,13,25
temporal,previous_LSTM,-0.0015346740870996833,-0.016640636340147886,0.012409962840508803,12,25
temporal,previous_BiLSTM,-0.0007352606620730029,-0.019453826490363764,0.015719812651312604,15,25
current,fixed_logistic,-0.007482575654083268,-0.017332627083444397,0.0006258957337712366,10,25
current,previous_MLP_current,0.0010154643461461155,-0.007441450488757405,0.008833600577171814,12,25
current,previous_LSTM,-0.007348987981593757,-0.021383194715725903,0.004057040171203928,11,25
current,previous_BiLSTM,-0.006549574556567077,-0.022638250824033476,0.006979422448735225,11,25
