scope,reference,participant,delta
all,fixed_logistic,P12,-0.013028906577293609
all,fixed_logistic,P13,-0.023429506854921178
all,fixed_logistic,P18,0.00849256900212314
all,fixed_logistic,P19,0.029219077568134133
all,fixed_logistic,P2,-0.020227486778236603
all,fixed_logistic,P20,0.005473453749315849
all,fixed_logistic,P21,0.03010752688172047
all,fixed_logistic,P22,0.009678720258099238
all,fixed_logistic,P24,-0.006239637944168153
all,fixed_logistic,P26,-0.0828571428571428
all,fixed_logistic,P27,0.03668482055578831
all,fixed_logistic,P3,5.551115123125783e-17
all,fixed_logistic,P30,0.011767592169602215
all,fixed_logistic,P33,-0.010021786492374729
all,fixed_logistic,P34,-0.044609582963620276
all,fixed_logistic,P35,0.011111111111111183
all,fixed_logistic,P36,0.007866341802993393
all,fixed_logistic,P4,-0.02832244008714596
all,fixed_logistic,P40,0.012307808831326095
all,fixed_logistic,P43,0.015076162134985638
all,fixed_logistic,P44,0.02879861486418861
all,fixed_logistic,P46,-0.03316326530612246
all,fixed_logistic,P48,0.05076142131979694
all,fixed_logistic,P8,0.011080732133363691
all,fixed_logistic,P9,0.019997706685013106
all,current,P12,-0.013028906577293609
all,current,P13,-0.012875997544505802
all,current,P18,-0.00424628450106157
all,current,P19,0.029219077568134133
all,current,P2,-0.020227486778236603
all,current,P20,0.0
all,current,P21,0.02966191998450074
all,current,P22,-0.004223237890397413
all,current,P24,0.045425012322444724
all,current,P26,0.0019047619047619646
all,current,P27,0.04969976260298842
all,current,P3,0.0
all,current,P30,-0.004386410165304666
all,current,P33,0.0
all,current,P34,0.010359361135758638
all,current,P35,0.011111111111111183
all,current,P36,0.007854739528947607
all,current,P4,0.0
all,current,P40,0.012307808831326095
all,current,P43,0.026249099778511475
all,current,P44,0.008216737724934475
all,current,P46,-0.020408163265306145
all,current,P48,0.035532994923857864
all,current,P8,0.02544239386344649
all,current,P9,0.0
all,previous_MLP_current,P12,-0.020499930177349523
all,previous_MLP_current,P13,-0.037011458972784905
all,previous_MLP_current,P18,-0.014861995753715496
all,previous_MLP_current,P19,0.05343946540880501
all,previous_MLP_current,P2,-0.03576396435557483
all,previous_MLP_current,P20,0.037079539234711745
all,previous_MLP_current,P21,0.024048241790177394
all,previous_MLP_current,P22,0.015559887081596946
all,previous_MLP_current,P24,-0.012860151454048452
all,previous_MLP_current,P26,-0.03809523809523796
all,previous_MLP_current,P27,0.08208350788995955
all,previous_MLP_current,P3,5.551115123125783e-17
all,previous_MLP_current,P30,-0.005934554929529767
all,previous_MLP_current,P33,-0.0012957229675495952
all,previous_MLP_current,P34,0.015594498669032841
all,previous_MLP_current,P35,0.008333333333333415
all,previous_MLP_current,P36,0.030484975055110775
all,previous_MLP_current,P4,-0.005446623093681879
all,previous_MLP_current,P40,0.024640864449998745
all,previous_MLP_current,P43,0.028501352030763816
all,previous_MLP_current,P44,0.02488540603294709
all,previous_MLP_current,P46,-0.032525510204081565
all,previous_MLP_current,P48,0.05583756345177665
all,previous_MLP_current,P8,0.02374117110959223
all,previous_MLP_current,P9,0.019040247678018596
all,previous_LSTM,P12,0.01159055997765679
all,previous_LSTM,P13,-0.012001227747084064
all,previous_LSTM,P18,-0.014861995753715496
all,previous_LSTM,P19,0.057370283018867874
all,previous_LSTM,P2,-0.005046004491777167
all,previous_LSTM,P20,0.027096705976016322
all,previous_LSTM,P21,0.04918143950402026
all,previous_LSTM,P22,-0.01804117936998695
all,previous_LSTM,P24,0.011538289196576623
all,previous_LSTM,P26,-0.03523809523809518
all,previous_LSTM,P27,0.03092445189219384
all,previous_LSTM,P3,-0.01656314699792949
all,previous_LSTM,P30,-0.000960188146117813
all,previous_LSTM,P33,0.029176699919733984
all,previous_LSTM,P34,-0.08855368234250227
all,previous_LSTM,P35,-0.046296296296296224
all,previous_LSTM,P36,-0.009560273813667475
all,previous_LSTM,P4,-0.02832244008714596
all,previous_LSTM,P40,0.031034613345451822
all,previous_LSTM,P43,0.014899514899514854
all,previous_LSTM,P44,0.05222282271462597
all,previous_LSTM,P46,-0.08864795918367341
all,previous_LSTM,P48,0.030456852791878153
all,previous_LSTM,P8,0.022750056960583354
all,previous_LSTM,P9,0.02571379428964571
all,previous_BiLSTM,P12,0.013741097612065378
all,previous_BiLSTM,P13,-0.02951708614692039
all,previous_BiLSTM,P18,-0.04033970276008486
all,previous_BiLSTM,P19,0.022897012578616316
all,previous_BiLSTM,P2,-0.04071578642324136
all,previous_BiLSTM,P20,0.07529108822212272
all,previous_BiLSTM,P21,0.03209338370628706
all,previous_BiLSTM,P22,-0.02006878164627862
all,previous_BiLSTM,P24,0.03641842541560247
all,previous_BiLSTM,P26,-0.07428571428571418
all,previous_BiLSTM,P27,0.017909509844993732
all,previous_BiLSTM,P3,-0.02380952380952378
all,previous_BiLSTM,P30,0.0059683941593489664
all,previous_BiLSTM,P33,-0.008966861598440568
all,previous_BiLSTM,P34,-0.05062111801242236
all,previous_BiLSTM,P35,0.011111111111111238
all,previous_BiLSTM,P36,0.04537069265576055
all,previous_BiLSTM,P4,0.01633986928104575
all,previous_BiLSTM,P40,0.05557449064606523
all,previous_BiLSTM,P43,0.02118408000760935
all,previous_BiLSTM,P44,0.03934726475710082
all,previous_BiLSTM,P46,-0.1377551020408163
all,previous_BiLSTM,P48,0.030456852791878153
all,previous_BiLSTM,P8,0.04899749373433587
all,previous_BiLSTM,P9,0.0032278408439399
temporal,fixed_logistic,P12,-0.013028906577293609
temporal,fixed_logistic,P13,-0.023429506854921178
temporal,fixed_logistic,P18,0.00849256900212314
temporal,fixed_logistic,P19,0.029219077568134133
temporal,fixed_logistic,P2,-0.020227486778236603
temporal,fixed_logistic,P20,-0.057751156889087885
temporal,fixed_logistic,P21,0.03010752688172047
temporal,fixed_logistic,P22,0.009678720258099238
temporal,fixed_logistic,P24,-0.006239637944168153
temporal,fixed_logistic,P26,-0.0828571428571428
temporal,fixed_logistic,P27,0.03668482055578831
temporal,fixed_logistic,P3,-0.0020703933747411862
temporal,fixed_logistic,P30,0.011767592169602215
temporal,fixed_logistic,P33,-0.021614493750716612
temporal,fixed_logistic,P34,-0.044609582963620276
temporal,fixed_logistic,P35,0.011111111111111183
temporal,fixed_logistic,P36,0.007866341802993393
temporal,fixed_logistic,P4,0.019607843137254888
temporal,fixed_logistic,P40,0.012307808831326095
temporal,fixed_logistic,P43,0.015076162134985638
temporal,fixed_logistic,P44,0.02879861486418861
temporal,fixed_logistic,P46,-0.03316326530612246
temporal,fixed_logistic,P48,0.05076142131979694
temporal,fixed_logistic,P8,0.011080732133363691
temporal,fixed_logistic,P9,-0.019275312464167027
temporal,current,P12,-0.013028906577293609
temporal,current,P13,-0.012875997544505802
temporal,current,P18,-0.00424628450106157
temporal,current,P19,0.029219077568134133
temporal,current,P2,-0.020227486778236603
temporal,current,P20,-0.06322461063840373
temporal,current,P21,0.02966191998450074
temporal,current,P22,-0.004223237890397413
temporal,current,P24,0.045425012322444724
temporal,current,P26,0.0019047619047619646
temporal,current,P27,0.04969976260298842
temporal,current,P3,-0.0020703933747412417
temporal,current,P30,-0.004386410165304666
temporal,current,P33,-0.011592707258341883
temporal,current,P34,0.010359361135758638
temporal,current,P35,0.011111111111111183
temporal,current,P36,0.007854739528947607
temporal,current,P4,0.04793028322440085
temporal,current,P40,0.012307808831326095
temporal,current,P43,0.026249099778511475
temporal,current,P44,0.008216737724934475
temporal,current,P46,-0.020408163265306145
temporal,current,P48,0.035532994923857864
temporal,current,P8,0.02544239386344649
temporal,current,P9,-0.03927301914918013
temporal,previous_MLP_current,P12,-0.020499930177349523
temporal,previous_MLP_current,P13,-0.037011458972784905
temporal,previous_MLP_current,P18,-0.014861995753715496
temporal,previous_MLP_current,P19,0.05343946540880501
temporal,previous_MLP_current,P2,-0.03576396435557483
temporal,previous_MLP_current,P20,-0.02614507140369199
temporal,previous_MLP_current,P21,0.024048241790177394
temporal,previous_MLP_current,P22,0.015559887081596946
temporal,previous_MLP_current,P24,-0.012860151454048452
temporal,previous_MLP_current,P26,-0.03809523809523796
temporal,previous_MLP_current,P27,0.08208350788995955
temporal,previous_MLP_current,P3,-0.0020703933747411862
temporal,previous_MLP_current,P30,-0.005934554929529767
temporal,previous_MLP_current,P33,-0.012888430225891478
temporal,previous_MLP_current,P34,0.015594498669032841
temporal,previous_MLP_current,P35,0.008333333333333415
temporal,previous_MLP_current,P36,0.030484975055110775
temporal,previous_MLP_current,P4,0.04248366013071897
temporal,previous_MLP_current,P40,0.024640864449998745
temporal,previous_MLP_current,P43,0.028501352030763816
temporal,previous_MLP_current,P44,0.02488540603294709
temporal,previous_MLP_current,P46,-0.032525510204081565
temporal,previous_MLP_current,P48,0.05583756345177665
temporal,previous_MLP_current,P8,0.02374117110959223
temporal,previous_MLP_current,P9,-0.020232771471161537
temporal,previous_LSTM,P12,0.01159055997765679
temporal,previous_LSTM,P13,-0.012001227747084064
temporal,previous_LSTM,P18,-0.014861995753715496
temporal,previous_LSTM,P19,0.057370283018867874
temporal,previous_LSTM,P2,-0.005046004491777167
temporal,previous_LSTM,P20,-0.03612790466238741
temporal,previous_LSTM,P21,0.04918143950402026
temporal,previous_LSTM,P22,-0.01804117936998695
temporal,previous_LSTM,P24,0.011538289196576623
temporal,previous_LSTM,P26,-0.03523809523809518
temporal,previous_LSTM,P27,0.03092445189219384
temporal,previous_LSTM,P3,-0.01863354037267073
temporal,previous_LSTM,P30,-0.000960188146117813
temporal,previous_LSTM,P33,0.0175839926613921
temporal,previous_LSTM,P34,-0.08855368234250227
temporal,previous_LSTM,P35,-0.046296296296296224
temporal,previous_LSTM,P36,-0.009560273813667475
temporal,previous_LSTM,P4,0.019607843137254888
temporal,previous_LSTM,P40,0.031034613345451822
temporal,previous_LSTM,P43,0.014899514899514854
temporal,previous_LSTM,P44,0.05222282271462597
temporal,previous_LSTM,P46,-0.08864795918367341
temporal,previous_LSTM,P48,0.030456852791878153
temporal,previous_LSTM,P8,0.022750056960583354
temporal,previous_LSTM,P9,-0.013559224859534424
temporal,previous_BiLSTM,P12,0.013741097612065378
temporal,previous_BiLSTM,P13,-0.02951708614692039
temporal,previous_BiLSTM,P18,-0.04033970276008486
temporal,previous_BiLSTM,P19,0.022897012578616316
temporal,previous_BiLSTM,P2,-0.04071578642324136
temporal,previous_BiLSTM,P20,0.012066477583718982
temporal,previous_BiLSTM,P21,0.03209338370628706
temporal,previous_BiLSTM,P22,-0.02006878164627862
temporal,previous_BiLSTM,P24,0.03641842541560247
temporal,previous_BiLSTM,P26,-0.07428571428571418
temporal,previous_BiLSTM,P27,0.017909509844993732
temporal,previous_BiLSTM,P3,-0.025879917184265022
temporal,previous_BiLSTM,P30,0.0059683941593489664
