model_id,scope,seed,fold,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1__all__20260908,all,20260908,1,0.36721981044685437,2886,5,0.3672903672903673,0.36701628643322765
fold1__all__20260909,all,20260909,1,0.36721981044685437,2886,5,0.3672903672903673,0.36701628643322765
fold1__temporal__20260908,temporal,20260908,1,0.36721981044685437,2886,5,0.3672903672903673,0.36701628643322765
fold1__temporal__20260909,temporal,20260909,1,0.36721981044685437,2886,5,0.3672903672903673,0.36701628643322765
fold1__current__20260908,current,20260908,1,0.3477195625043973,2886,5,0.3478863478863479,0.3419458796011379
fold1__current__20260909,current,20260909,1,0.3472810748016666,2886,5,0.3471933471933472,0.3421739497859937
fold1__fixed_logistic__20260908,fixed_logistic,20260908,1,0.3510109588591912,2886,5,0.3503118503118503,0.3412293357388027
fold1__fixed_logistic__20260909,fixed_logistic,20260909,1,0.3510109588591912,2886,5,0.3503118503118503,0.3412293357388027
fold2__all__20260908,all,20260908,2,0.35167189192325155,2612,5,0.3525132693592042,0.3477966232149107
fold2__all__20260909,all,20260909,2,0.35167189192325155,2612,5,0.3525132693592042,0.3477966232149107
fold2__temporal__20260908,temporal,20260908,2,0.35167189192325155,2612,5,0.3525132693592042,0.3477966232149107
fold2__temporal__20260909,temporal,20260909,2,0.35167189192325155,2612,5,0.3525132693592042,0.3477966232149107
fold2__current__20260908,current,20260908,2,0.3477955710922433,2612,5,0.3498470948012233,0.34659027323694724
fold2__current__20260909,current,20260909,2,0.3477955710922433,2612,5,0.3498470948012233,0.34659027323694724
fold2__fixed_logistic__20260908,fixed_logistic,20260908,2,0.3477955710922433,2612,5,0.3498470948012233,0.34659027323694724
fold2__fixed_logistic__20260909,fixed_logistic,20260909,2,0.3477955710922433,2612,5,0.3498470948012233,0.34659027323694724
fold3__all__20260908,all,20260908,3,0.3608812609572078,2659,5,0.37262732517686903,0.35385656379278596
fold3__all__20260909,all,20260909,3,0.3608812609572078,2659,5,0.37262732517686903,0.35385656379278596
fold3__temporal__20260908,temporal,20260908,3,0.3608812609572078,2659,5,0.37262732517686903,0.35385656379278596
fold3__temporal__20260909,temporal,20260909,3,0.3608812609572078,2659,5,0.37262732517686903,0.35385656379278596
fold3__current__20260908,current,20260908,3,0.3492127713114049,2659,5,0.36005894746091643,0.34089733135621386
fold3__current__20260909,current,20260909,3,0.3492127713114049,2659,5,0.36005894746091643,0.34089733135621386
fold3__fixed_logistic__20260908,fixed_logistic,20260908,3,0.3546890213195786,2659,5,0.3656403817662451,0.35066729901420074
fold3__fixed_logistic__20260909,fixed_logistic,20260909,3,0.3546890213195786,2659,5,0.3656403817662451,0.35066729901420074
fold4__all__20260908,all,20260908,4,0.347503656375923,2660,5,0.35110869061767547,0.34986329191512383
fold4__all__20260909,all,20260909,4,0.347503656375923,2660,5,0.35110869061767547,0.34986329191512383
fold4__temporal__20260908,temporal,20260908,4,0.3338575669366698,2660,5,0.3327060126923211,0.3327775072371108
fold4__temporal__20260909,temporal,20260909,4,0.3338575669366698,2660,5,0.3327060126923211,0.3327775072371108
fold4__current__20260908,current,20260908,4,0.347503656375923,2660,5,0.35110869061767547,0.34986329191512383
fold4__current__20260909,current,20260909,4,0.347503656375923,2660,5,0.35110869061767547,0.34986329191512383
fold4__fixed_logistic__20260908,fixed_logistic,20260908,4,0.35007826960496136,2660,5,0.3526759318404884,0.3401286177008327
fold4__fixed_logistic__20260909,fixed_logistic,20260909,4,0.35007826960496136,2660,5,0.3526759318404884,0.3401286177008327
fold5__all__20260908,all,20260908,5,0.3450921774874119,2707,5,0.34662641903271624,0.34245690404626045
fold5__all__20260909,all,20260909,5,0.3467376472624964,2707,5,0.3449332126391605,0.34113418084794556
fold5__temporal__20260908,temporal,20260908,5,0.3450921774874119,2707,5,0.34662641903271624,0.34245690404626045
fold5__temporal__20260909,temporal,20260909,5,0.3467376472624964,2707,5,0.3449332126391605,0.34113418084794556
fold5__current__20260908,current,20260908,5,0.3365085860351234,2707,5,0.341188055372501,0.33580035339808667
fold5__current__20260909,current,20260909,5,0.3404145254326049,2707,5,0.3417895356447655,0.33615698360055896
fold5__fixed_logistic__20260908,fixed_logistic,20260908,5,0.3643129305609092,2707,5,0.3558277852494016,0.3426806397274082
fold5__fixed_logistic__20260909,fixed_logistic,20260909,5,0.3643129305609092,2707,5,0.3558277852494016,0.3426806397274082
