model_id,scope,seed,fold,participant,score
fold1__all__20260908,all,20260908,1,P22,0.3149168795088946
fold1__all__20260908,all,20260908,1,P24,0.42833938253349463
fold1__all__20260908,all,20260908,1,P30,0.31088100434834104
fold1__all__20260908,all,20260908,1,P43,0.3809465574171456
fold1__all__20260908,all,20260908,1,P48,0.4010152284263959
fold1__all__20260909,all,20260909,1,P22,0.3149168795088946
fold1__all__20260909,all,20260909,1,P24,0.42833938253349463
fold1__all__20260909,all,20260909,1,P30,0.31088100434834104
fold1__all__20260909,all,20260909,1,P43,0.3809465574171456
fold1__all__20260909,all,20260909,1,P48,0.4010152284263959
fold1__temporal__20260908,temporal,20260908,1,P22,0.3149168795088946
fold1__temporal__20260908,temporal,20260908,1,P24,0.42833938253349463
fold1__temporal__20260908,temporal,20260908,1,P30,0.31088100434834104
fold1__temporal__20260908,temporal,20260908,1,P43,0.3809465574171456
fold1__temporal__20260908,temporal,20260908,1,P48,0.4010152284263959
fold1__temporal__20260909,temporal,20260909,1,P22,0.3149168795088946
fold1__temporal__20260909,temporal,20260909,1,P24,0.42833938253349463
fold1__temporal__20260909,temporal,20260909,1,P30,0.31088100434834104
fold1__temporal__20260909,temporal,20260909,1,P43,0.3809465574171456
fold1__temporal__20260909,temporal,20260909,1,P48,0.4010152284263959
fold1__current__20260908,current,20260908,1,P22,0.3162387417663664
fold1__current__20260908,current,20260908,1,P24,0.38192857462920643
fold1__current__20260908,current,20260908,1,P30,0.3161091653553965
fold1__current__20260908,current,20260908,1,P43,0.35545500251382606
fold1__current__20260908,current,20260908,1,P48,0.3688663282571912
fold1__current__20260909,current,20260909,1,P22,0.3220414930322176
fold1__current__20260909,current,20260909,1,P24,0.3839001657928933
fold1__current__20260909,current,20260909,1,P30,0.31442566367189484
fold1__current__20260909,current,20260909,1,P43,0.35393991276344217
fold1__current__20260909,current,20260909,1,P48,0.36209813874788493
fold1__fixed_logistic__20260908,fixed_logistic,20260908,1,P22,0.30523815925079534
fold1__fixed_logistic__20260908,fixed_logistic,20260908,1,P24,0.4345790204776628
fold1__fixed_logistic__20260908,fixed_logistic,20260908,1,P30,0.2991134121787388
fold1__fixed_logistic__20260908,fixed_logistic,20260908,1,P43,0.36587039528216
fold1__fixed_logistic__20260908,fixed_logistic,20260908,1,P48,0.350253807106599
fold1__fixed_logistic__20260909,fixed_logistic,20260909,1,P22,0.30523815925079534
fold1__fixed_logistic__20260909,fixed_logistic,20260909,1,P24,0.4345790204776628
fold1__fixed_logistic__20260909,fixed_logistic,20260909,1,P30,0.2991134121787388
fold1__fixed_logistic__20260909,fixed_logistic,20260909,1,P43,0.36587039528216
fold1__fixed_logistic__20260909,fixed_logistic,20260909,1,P48,0.350253807106599
fold2__all__20260908,all,20260908,2,P12,0.31742773355676585
fold2__all__20260908,all,20260908,2,P19,0.3887447589098532
fold2__all__20260908,all,20260908,2,P2,0.3713757878722017
fold2__all__20260908,all,20260908,2,P35,0.3240740740740741
fold2__all__20260908,all,20260908,2,P40,0.3567371052033628
fold2__all__20260909,all,20260909,2,P12,0.31742773355676585
fold2__all__20260909,all,20260909,2,P19,0.3887447589098532
fold2__all__20260909,all,20260909,2,P2,0.3713757878722017
fold2__all__20260909,all,20260909,2,P35,0.3240740740740741
fold2__all__20260909,all,20260909,2,P40,0.3567371052033628
fold2__temporal__20260908,temporal,20260908,2,P12,0.31742773355676585
fold2__temporal__20260908,temporal,20260908,2,P19,0.3887447589098532
fold2__temporal__20260908,temporal,20260908,2,P2,0.3713757878722017
fold2__temporal__20260908,temporal,20260908,2,P35,0.3240740740740741
fold2__temporal__20260908,temporal,20260908,2,P40,0.3567371052033628
fold2__temporal__20260909,temporal,20260909,2,P12,0.31742773355676585
fold2__temporal__20260909,temporal,20260909,2,P19,0.3887447589098532
