fold,inner,weight,score
1,1,0.0,0.34679445646723084
1,1,0.25,0.3564962369300511
1,1,0.5,0.359792942184635
1,1,0.75,0.3581922878024285
1,1,1.0,0.35753956356571903
1,2,0.0,0.3498860223306717
1,2,0.25,0.3519256035374381
1,2,0.5,0.3551074512303873
1,2,0.75,0.35361829631283054
1,2,1.0,0.3527161778537539
1,3,0.0,0.34700906518394253
1,3,0.25,0.3490089657351818
1,3,0.5,0.35689141638072414
1,3,0.75,0.36150560047370145
1,3,1.0,0.3589905230386478
2,1,0.0,0.37387473415200784
2,1,0.25,0.3796599771172621
2,1,0.5,0.37967820231893923
2,1,0.75,0.3836711255235289
2,1,1.0,0.38495919280726687
2,2,0.0,0.3466615762759827
2,2,0.25,0.34980351189801945
2,2,0.5,0.36011284853770487
2,2,0.75,0.36564163644323655
2,2,1.0,0.3688259567931243
2,3,0.0,0.3317914378683659
2,3,0.25,0.3291014790942263
2,3,0.5,0.32164255476481063
2,3,0.75,0.3172416672167797
2,3,1.0,0.3233354332856299
3,1,0.0,0.330536198376146
3,1,0.25,0.3330567071008442
3,1,0.5,0.3350628489452593
3,1,0.75,0.3278147968611599
3,1,1.0,0.3370168251635634
3,2,0.0,0.3613907143321347
3,2,0.25,0.36094691039979737
3,2,0.5,0.36994794904128653
3,2,0.75,0.3809874473775249
3,2,1.0,0.38583841028219207
3,3,0.0,0.32316899709434227
3,3,0.25,0.3279122999206671
3,3,0.5,0.32420301056775164
3,3,0.75,0.3286329133461319
3,3,1.0,0.3372169223497535
4,1,0.0,0.34990342807065217
4,1,0.25,0.34918006848948097
4,1,0.5,0.34454148705679094
4,1,0.75,0.3430982657430802
4,1,1.0,0.3436863879296729
4,2,0.0,0.33889125877935417
4,2,0.25,0.3393052998639757
4,2,0.5,0.3466404075456238
4,2,0.75,0.3491410908576957
4,2,1.0,0.34865367172843004
4,3,0.0,0.31495318952055884
4,3,0.25,0.3044022252974082
4,3,0.5,0.3205636562014078
4,3,0.75,0.33210561274365735
4,3,1.0,0.33676112777533773
5,1,0.0,0.3496261341367964
5,1,0.25,0.3522500322728318
5,1,0.5,0.35691780899150205
5,1,0.75,0.37168880346916644
5,1,1.0,0.3681406030877999
5,2,0.0,0.34698663658295115
5,2,0.25,0.36376730109336297
5,2,0.5,0.37024671031671297
5,2,0.75,0.37164602166864685
5,2,1.0,0.3718755938426503
5,3,0.0,0.3441365842742397
5,3,0.25,0.34485618303813353
5,3,0.5,0.3419850571845087
5,3,0.75,0.35689366425343555
5,3,1.0,0.359573723967233
