model_id,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1__selected__20260908,1,selected,20260908,0.3654879908236437,2886,5,0.36521136521136527,0.3636199999319889
fold1__fixed_half__20260908,1,fixed_half,20260908,0.362420627952063,2886,5,0.3613998613998614,0.3563497595474132
fold1__selected__20260909,1,selected,20260909,0.3654879908236437,2886,5,0.36521136521136527,0.3636199999319889
fold1__fixed_half__20260909,1,fixed_half,20260909,0.362420627952063,2886,5,0.3613998613998614,0.3563497595474132
fold2__selected__20260908,2,selected,20260908,0.35167189192325155,2612,5,0.3525132693592042,0.3477966232149107
fold2__fixed_half__20260908,2,fixed_half,20260908,0.3422147043004259,2612,5,0.34447520123730185,0.3400601486567157
fold2__selected__20260909,2,selected,20260909,0.35167189192325155,2612,5,0.3525132693592042,0.3477966232149107
fold2__fixed_half__20260909,2,fixed_half,20260909,0.3422147043004259,2612,5,0.34447520123730185,0.3400601486567157
fold3__selected__20260908,3,selected,20260908,0.3608812609572078,2659,5,0.37262732517686903,0.35385656379278596
fold3__fixed_half__20260908,3,fixed_half,20260908,0.361461820777713,2659,5,0.3729826711832113,0.3557169963594015
fold3__selected__20260909,3,selected,20260909,0.3608812609572078,2659,5,0.37262732517686903,0.35385656379278596
fold3__fixed_half__20260909,3,fixed_half,20260909,0.361461820777713,2659,5,0.3729826711832113,0.3557169963594015
fold4__selected__20260908,4,selected,20260908,0.3338575669366698,2660,5,0.3327060126923211,0.3327775072371108
fold4__fixed_half__20260908,4,fixed_half,20260908,0.343162279983405,2660,5,0.34211158078863413,0.3418450566999674
fold4__selected__20260909,4,selected,20260909,0.3338575669366698,2660,5,0.3327060126923211,0.3327775072371108
fold4__fixed_half__20260909,4,fixed_half,20260909,0.343162279983405,2660,5,0.34211158078863413,0.3418450566999674
fold5__selected__20260908,5,selected,20260908,0.34901760031071194,2707,5,0.34571117593259,0.34215662217836623
fold5__fixed_half__20260908,5,fixed_half,20260908,0.35689022903717516,2707,5,0.3503355463919287,0.34771208005955945
fold5__selected__20260909,5,selected,20260909,0.3520797133533092,2707,5,0.3487840951839803,0.34593823185768313
fold5__fixed_half__20260909,5,fixed_half,20260909,0.35855896525511227,2707,5,0.3508949490273873,0.34832842618763854
