model_id,fold,scope,seed,participant,score
fold1__selected__20260908,1,selected,20260908,P22,0.3149168795088946
fold1__selected__20260908,1,selected,20260908,P24,0.43228256486086836
fold1__selected__20260908,1,selected,20260908,P30,0.30919750266483936
fold1__selected__20260908,1,selected,20260908,P43,0.37341187341187343
fold1__selected__20260908,1,selected,20260908,P48,0.3976311336717428
fold1__fixed_half__20260908,1,fixed_half,20260908,P22,0.3284715687592418
fold1__fixed_half__20260908,1,fixed_half,20260908,P24,0.43236098041851506
fold1__fixed_half__20260908,1,fixed_half,20260908,P30,0.309214422279749
fold1__fixed_half__20260908,1,fixed_half,20260908,P43,0.36134550840433194
fold1__fixed_half__20260908,1,fixed_half,20260908,P48,0.38071065989847713
fold1__selected__20260909,1,selected,20260909,P22,0.3149168795088946
fold1__selected__20260909,1,selected,20260909,P24,0.43228256486086836
fold1__selected__20260909,1,selected,20260909,P30,0.30919750266483936
fold1__selected__20260909,1,selected,20260909,P43,0.37341187341187343
fold1__selected__20260909,1,selected,20260909,P48,0.3976311336717428
fold1__fixed_half__20260909,1,fixed_half,20260909,P22,0.3284715687592418
fold1__fixed_half__20260909,1,fixed_half,20260909,P24,0.43236098041851506
fold1__fixed_half__20260909,1,fixed_half,20260909,P30,0.309214422279749
fold1__fixed_half__20260909,1,fixed_half,20260909,P43,0.36134550840433194
fold1__fixed_half__20260909,1,fixed_half,20260909,P48,0.38071065989847713
fold2__selected__20260908,2,selected,20260908,P12,0.31742773355676585
fold2__selected__20260908,2,selected,20260908,P19,0.3887447589098532
fold2__selected__20260908,2,selected,20260908,P2,0.3713757878722017
fold2__selected__20260908,2,selected,20260908,P35,0.3240740740740741
fold2__selected__20260908,2,selected,20260908,P40,0.3567371052033628
fold2__fixed_half__20260908,2,fixed_half,20260908,P12,0.2980310012568077
fold2__fixed_half__20260908,2,fixed_half,20260908,P19,0.3720518867924529
fold2__fixed_half__20260908,2,fixed_half,20260908,P2,0.38377888864739546
fold2__fixed_half__20260908,2,fixed_half,20260908,P35,0.3148148148148148
fold2__fixed_half__20260908,2,fixed_half,20260908,P40,0.3423969299906587
fold2__selected__20260909,2,selected,20260909,P12,0.31742773355676585
fold2__selected__20260909,2,selected,20260909,P19,0.3887447589098532
fold2__selected__20260909,2,selected,20260909,P2,0.3713757878722017
fold2__selected__20260909,2,selected,20260909,P35,0.3240740740740741
fold2__selected__20260909,2,selected,20260909,P40,0.3567371052033628
fold2__fixed_half__20260909,2,fixed_half,20260909,P12,0.2980310012568077
fold2__fixed_half__20260909,2,fixed_half,20260909,P19,0.3720518867924529
fold2__fixed_half__20260909,2,fixed_half,20260909,P2,0.38377888864739546
fold2__fixed_half__20260909,2,fixed_half,20260909,P35,0.3148148148148148
fold2__fixed_half__20260909,2,fixed_half,20260909,P40,0.3423969299906587
fold3__selected__20260908,3,selected,20260908,P18,0.31210191082802546
fold3__selected__20260908,3,selected,20260908,P27,0.4662058371735791
fold3__selected__20260908,3,selected,20260908,P36,0.43245156050585914
fold3__selected__20260908,3,selected,20260908,P46,0.25
fold3__selected__20260908,3,selected,20260908,P8,0.34364699627857526
fold3__fixed_half__20260908,3,fixed_half,20260908,P18,0.3099787685774947
fold3__fixed_half__20260908,3,fixed_half,20260908,P27,0.4359726295210167
fold3__fixed_half__20260908,3,fixed_half,20260908,P36,0.45012182387747995
fold3__fixed_half__20260908,3,fixed_half,20260908,P46,0.2755102040816326
fold3__fixed_half__20260908,3,fixed_half,20260908,P8,0.335725677830941
fold3__selected__20260909,3,selected,20260909,P18,0.31210191082802546
fold3__selected__20260909,3,selected,20260909,P27,0.4662058371735791
fold3__selected__20260909,3,selected,20260909,P36,0.43245156050585914
fold3__selected__20260909,3,selected,20260909,P46,0.25
fold3__selected__20260909,3,selected,20260909,P8,0.34364699627857526
fold3__fixed_half__20260909,3,fixed_half,20260909,P18,0.3099787685774947
fold3__fixed_half__20260909,3,fixed_half,20260909,P27,0.4359726295210167
fold3__fixed_half__20260909,3,fixed_half,20260909,P36,0.45012182387747995
fold3__fixed_half__20260909,3,fixed_half,20260909,P46,0.2755102040816326
fold3__fixed_half__20260909,3,fixed_half,20260909,P8,0.335725677830941
fold4__selected__20260908,4,selected,20260908,P20,0.320899885555058
fold4__selected__20260908,4,selected,20260908,P3,0.34782608695652173
fold4__selected__20260908,4,selected,20260908,P33,0.3046210296984291
fold4__selected__20260908,4,selected,20260908,P4,0.3398692810457516
fold4__selected__20260908,4,selected,20260908,P9,0.35607155142758856
fold4__fixed_half__20260908,4,fixed_half,20260908,P20,0.3281335522714833
fold4__fixed_half__20260908,4,fixed_half,20260908,P3,0.3643892339544513
fold4__fixed_half__20260908,4,fixed_half,20260908,P33,0.3222222222222222
fold4__fixed_half__20260908,4,fixed_half,20260908,P4,0.3333333333333333
fold4__fixed_half__20260908,4,fixed_half,20260908,P9,0.3677330581355349
fold4__selected__20260909,4,selected,20260909,P20,0.320899885555058
fold4__selected__20260909,4,selected,20260909,P3,0.34782608695652173
fold4__selected__20260909,4,selected,20260909,P33,0.3046210296984291
fold4__selected__20260909,4,selected,20260909,P4,0.3398692810457516
fold4__selected__20260909,4,selected,20260909,P9,0.35607155142758856
fold4__fixed_half__20260909,4,fixed_half,20260909,P20,0.3281335522714833
fold4__fixed_half__20260909,4,fixed_half,20260909,P3,0.3643892339544513
fold4__fixed_half__20260909,4,fixed_half,20260909,P33,0.3222222222222222
fold4__fixed_half__20260909,4,fixed_half,20260909,P4,0.3333333333333333
fold4__fixed_half__20260909,4,fixed_half,20260909,P9,0.3677330581355349
fold5__selected__20260908,5,selected,20260908,P13,0.3670554532432986
fold5__selected__20260908,5,selected,20260908,P21,0.37508476218153636
fold5__selected__20260908,5,selected,20260908,P26,0.35619047619047617
fold5__selected__20260908,5,selected,20260908,P34,0.2753327417923691
fold5__selected__20260908,5,selected,20260908,P44,0.3714245681458796
fold5__fixed_half__20260908,5,fixed_half,20260908,P13,0.38005934110906486
fold5__fixed_half__20260908,5,fixed_half,20260908,P21,0.3625883948464594
fold5__fixed_half__20260908,5,fixed_half,20260908,P26,0.38095238095238093
fold5__fixed_half__20260908,5,fixed_half,20260908,P34,0.2950310559006211
fold5__fixed_half__20260908,5,fixed_half,20260908,P44,0.3658199723773494
fold5__selected__20260909,5,selected,20260909,P13,0.36707591569470016
fold5__selected__20260909,5,selected,20260909,P21,0.3750944492879977
fold5__selected__20260909,5,selected,20260909,P26,0.3619047619047619
fold5__selected__20260909,5,selected,20260909,P34,0.2794143744454304
fold5__selected__20260909,5,selected,20260909,P44,0.3769090654336556
fold5__fixed_half__20260909,5,fixed_half,20260909,P13,0.37454471045631266
fold5__fixed_half__20260909,5,fixed_half,20260909,P21,0.36439019664826117
