fold,inner,representation,estimator,smoothing,score,fit_participants,evaluation_participants
1,1,eye__current,logistic_0.1,1,0.35595433385861736,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,logistic_0.1,4,0.35944836918889617,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,logistic_0.1,8,0.35313735131466784,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,logistic_1,1,0.36029866798687615,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,logistic_1,4,0.35833820358315366,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,logistic_1,8,0.3551652526655961,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,hgb,1,0.35421061331424586,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,hgb,4,0.35362535340435236,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,hgb,8,0.3520402026189799,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,rbf,1,0.3543872545469465,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,rbf,4,0.3652229121228219,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__current,rbf,8,0.3700043287234136,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,logistic_0.1,1,0.35553856047948734,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,logistic_0.1,4,0.3572471564085563,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,logistic_0.1,8,0.35093082442851575,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,logistic_1,1,0.35909647935157224,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,logistic_1,4,0.3567724527542594,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,logistic_1,8,0.352710452107437,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,hgb,1,0.35229989601958617,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,hgb,4,0.35176113611796855,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,hgb,8,0.3523333592743298,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,rbf,1,0.3595163776348308,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,rbf,4,0.37238580093888957,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,eye__recording_8,rbf,8,0.37117850209966713,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,logistic_0.1,1,0.3478979811897748,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,logistic_0.1,4,0.34875564307139895,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,logistic_0.1,8,0.34782239145607097,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,logistic_1,1,0.34607735909547094,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,logistic_1,4,0.34879972202163795,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,logistic_1,8,0.3482829641476428,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,hgb,1,0.34263014572173967,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,hgb,4,0.35149791200027236,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,hgb,8,0.3545520763318862,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,rbf,1,0.3401687390864553,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,rbf,4,0.3348707216847152,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__current,rbf,8,0.3341395615620938,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,logistic_0.1,1,0.3551999087196466,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,logistic_0.1,4,0.34567960610808396,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,logistic_0.1,8,0.33464682258888956,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,logistic_1,1,0.35474861902253313,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,logistic_1,4,0.34400958537521786,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,logistic_1,8,0.33957980845222435,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,hgb,1,0.32141911122246886,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,hgb,4,0.31444647295524536,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,hgb,8,0.31742720192936374,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,rbf,1,0.3510742212188954,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,rbf,4,0.34151402957062865,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,1,full__recording_8,rbf,8,0.34353856366693725,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8,P12|P18|P2|P34|P36|P40|P9
1,2,eye__current,logistic_0.1,1,0.34814857654324693,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,logistic_0.1,4,0.36281088517181587,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,logistic_0.1,8,0.3626590064045658,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,logistic_1,1,0.34552347623360313,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,logistic_1,4,0.3665438241529929,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,logistic_1,8,0.3635482010411222,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,hgb,1,0.33909850227914806,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,hgb,4,0.33892345682886976,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,hgb,8,0.34103048460716295,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,rbf,1,0.35354379546582143,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,rbf,4,0.35374987435527977,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,rbf,8,0.3540642451571636,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_0.1,1,0.3325885843955364,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_0.1,4,0.3320953892745287,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_0.1,8,0.3275787629813653,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_1,1,0.34022432626775273,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_1,4,0.33267541712484683,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_1,8,0.33317527707472305,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,hgb,1,0.3313293909146387,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,hgb,4,0.32539586537726184,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
