model_id,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1__all__20260908,1,all,20260908,0.355628684098728,2886,5,0.35793485793485796,0.3463400408654019
fold1__all__20260909,1,all,20260909,0.355628684098728,2886,5,0.35793485793485796,0.3463400408654019
fold1__current__20260908,1,current,20260908,0.33978034257834155,2886,5,0.34164934164934163,0.3334546966244168
fold1__current__20260909,1,current,20260909,0.33978034257834155,2886,5,0.34164934164934163,0.3334546966244168
fold1__temporal__20260908,1,temporal,20260908,0.355628684098728,2886,5,0.35793485793485796,0.3463400408654019
fold1__temporal__20260909,1,temporal,20260909,0.355628684098728,2886,5,0.35793485793485796,0.3463400408654019
fold2__all__20260908,2,all,20260908,0.34055159041018607,2612,5,0.3433547752117825,0.3397084981392649
fold2__all__20260909,2,all,20260909,0.34055159041018607,2612,5,0.3433547752117825,0.3397084981392649
fold2__current__20260908,2,current,20260908,0.3439496600825215,2612,5,0.34604028261098807,0.34187631985206934
fold2__current__20260909,2,current,20260909,0.3439496600825215,2612,5,0.34604028261098807,0.34187631985206934
fold2__temporal__20260908,2,temporal,20260908,0.34055159041018607,2612,5,0.3433547752117825,0.3397084981392649
fold2__temporal__20260909,2,temporal,20260909,0.34055159041018607,2612,5,0.3433547752117825,0.3397084981392649
fold3__all__20260908,3,all,20260908,0.37467492061404317,2659,5,0.3837307619674409,0.37659673163781376
fold3__all__20260909,3,all,20260909,0.37467492061404317,2659,5,0.3837307619674409,0.37659673163781376
fold3__current__20260908,3,current,20260908,0.3429933499457699,2659,5,0.3351609901166918,0.33279484990752595
fold3__current__20260909,3,current,20260909,0.3518219505616544,2659,5,0.34283774882248985,0.3405159288253956
fold3__temporal__20260908,3,temporal,20260908,0.37467492061404317,2659,5,0.3837307619674409,0.37659673163781376
fold3__temporal__20260909,3,temporal,20260909,0.37467492061404317,2659,5,0.3837307619674409,0.37659673163781376
fold4__all__20260908,4,all,20260908,0.35487251430999367,2660,5,0.3499880813319727,0.34992912659791947
fold4__all__20260909,4,all,20260909,0.35487251430999367,2660,5,0.3499880813319727,0.34992912659791947
fold4__current__20260908,4,current,20260908,0.3471737417447844,2660,5,0.3462305197642055,0.34592672859012935
fold4__current__20260909,4,current,20260909,0.3456050215949214,2660,5,0.3447285979320051,0.34462463345416544
fold4__temporal__20260908,4,temporal,20260908,0.35487251430999367,2660,5,0.3499880813319727,0.34992912659791947
fold4__temporal__20260909,4,temporal,20260909,0.35487251430999367,2660,5,0.3499880813319727,0.34992912659791947
fold5__all__20260908,5,all,20260908,0.3297452349668226,2707,5,0.3418723888464877,0.33734823998466484
fold5__all__20260909,5,all,20260909,0.3459001482924243,2707,5,0.35127626768510783,0.3455382360255766
fold5__current__20260908,5,current,20260908,0.33720490505648204,2707,5,0.33889259042280157,0.33564657825481187
fold5__current__20260909,5,current,20260909,0.3461987352757686,2707,5,0.34401322486798297,0.33995549189861446
fold5__temporal__20260908,5,temporal,20260908,0.3297452349668226,2707,5,0.3418723888464877,0.33734823998466484
fold5__temporal__20260909,5,temporal,20260909,0.3459001482924243,2707,5,0.35127626768510783,0.3455382360255766
