model_id,fold,scope,seed,participant,score
fold1__all__20260908,1,all,20260908,P22,0.2767509073800242
fold1__all__20260908,1,all,20260908,P24,0.40296634852354707
fold1__all__20260908,1,all,20260908,P30,0.3021674026699152
fold1__all__20260908,1,all,20260908,P43,0.4206242441536559
fold1__all__20260908,1,all,20260908,P48,0.3756345177664975
fold1__all__20260909,1,all,20260909,P22,0.2767509073800242
fold1__all__20260909,1,all,20260909,P24,0.40296634852354707
fold1__all__20260909,1,all,20260909,P30,0.3021674026699152
fold1__all__20260909,1,all,20260909,P43,0.4206242441536559
fold1__all__20260909,1,all,20260909,P48,0.3756345177664975
fold1__current__20260908,1,current,20260908,P22,0.2689093516153605
fold1__current__20260908,1,current,20260908,P24,0.364520320831653
fold1__current__20260908,1,current,20260908,P30,0.31902779892729644
fold1__current__20260908,1,current,20260908,P43,0.3708097237509002
fold1__current__20260908,1,current,20260908,P48,0.3756345177664975
fold1__current__20260909,1,current,20260909,P22,0.2689093516153605
fold1__current__20260909,1,current,20260909,P24,0.364520320831653
fold1__current__20260909,1,current,20260909,P30,0.31902779892729644
fold1__current__20260909,1,current,20260909,P43,0.3708097237509002
fold1__current__20260909,1,current,20260909,P48,0.3756345177664975
fold1__temporal__20260908,1,temporal,20260908,P22,0.2767509073800242
fold1__temporal__20260908,1,temporal,20260908,P24,0.40296634852354707
fold1__temporal__20260908,1,temporal,20260908,P30,0.3021674026699152
fold1__temporal__20260908,1,temporal,20260908,P43,0.4206242441536559
fold1__temporal__20260908,1,temporal,20260908,P48,0.3756345177664975
fold1__temporal__20260909,1,temporal,20260909,P22,0.2767509073800242
fold1__temporal__20260909,1,temporal,20260909,P24,0.40296634852354707
fold1__temporal__20260909,1,temporal,20260909,P30,0.3021674026699152
fold1__temporal__20260909,1,temporal,20260909,P43,0.4206242441536559
fold1__temporal__20260909,1,temporal,20260909,P48,0.3756345177664975
fold2__all__20260908,2,all,20260908,P12,0.29116045245077504
fold2__all__20260908,2,all,20260908,P19,0.42282494758909855
fold2__all__20260908,2,all,20260908,P2,0.3962544374411359
fold2__all__20260908,2,all,20260908,P35,0.30185185185185187
fold2__all__20260908,2,all,20260908,P40,0.2906662627180691
fold2__all__20260909,2,all,20260909,P12,0.29116045245077504
fold2__all__20260909,2,all,20260909,P19,0.42282494758909855
fold2__all__20260909,2,all,20260909,P2,0.3962544374411359
fold2__all__20260909,2,all,20260909,P35,0.30185185185185187
fold2__all__20260909,2,all,20260909,P40,0.2906662627180691
fold2__current__20260908,2,current,20260908,P12,0.31277754503560956
fold2__current__20260908,2,current,20260908,P19,0.38920335429769387
fold2__current__20260908,2,current,20260908,P2,0.38075056147214376
fold2__current__20260908,2,current,20260908,P35,0.3259259259259259
fold2__current__20260908,2,current,20260908,P40,0.31109091368123404
fold2__current__20260909,2,current,20260909,P12,0.31277754503560956
fold2__current__20260909,2,current,20260909,P19,0.38920335429769387
fold2__current__20260909,2,current,20260909,P2,0.38075056147214376
fold2__current__20260909,2,current,20260909,P35,0.3259259259259259
fold2__current__20260909,2,current,20260909,P40,0.31109091368123404
fold2__temporal__20260908,2,temporal,20260908,P12,0.29116045245077504
