scope,seed,label,recall,predicted_fraction
all,20260911,bajo,0.3790628115653041,0.33067139899438036
all,20260911,medio,0.3045476536042574,0.295326826382727
all,20260911,alto,0.38902857142857145,0.37400177462289264
ema,20260911,bajo,0.3814556331006979,0.3273439810706891
ema,20260911,medio,0.5058055152394775,0.4801833776989056
ema,20260911,alto,0.19977142857142857,0.1924726412304052
hmm,20260911,bajo,0.377666999002991,0.32727003845016267
hmm,20260911,medio,0.20004837929366232,0.17864537119195503
hmm,20260911,alto,0.5085714285714286,0.49408459035788227
mean,20260911,bajo,0.39720837487537386,0.3442028985507246
mean,20260911,medio,0.37663280116110304,0.34390712806861873
mean,20260911,alto,0.32502857142857144,0.3118899733806566
