fold,inner,candidate_id,family,window,score,alpha,shrink,temperature
1,1,mean_1,mean,1.0,0.34334667644968975,,,
1,1,mean_4,mean,4.0,0.3507253546803577,,,
1,1,mean_16,mean,16.0,0.34787195187434883,,,
1,1,mean_64,mean,64.0,0.343010386638227,,,
1,1,ema_0.02,ema,,0.33825728459930343,0.02,,
1,1,ema_0.1,ema,,0.35213425142676674,0.1,,
1,1,ema_0.3,ema,,0.34455262414451865,0.3,,
1,1,hmm_0.01_0.25,hmm,,0.3414378465298808,,0.01,0.25
1,1,hmm_0.01_1.0,hmm,,0.3395469707983829,,0.01,1.0
1,1,hmm_0.01_4.0,hmm,,0.3513053154581152,,0.01,4.0
1,1,hmm_0.1_0.25,hmm,,0.340956343554477,,0.1,0.25
1,1,hmm_0.1_1.0,hmm,,0.3369634759294244,,0.1,1.0
1,1,hmm_0.1_4.0,hmm,,0.348274638322098,,0.1,4.0
1,1,hmm_0.5_0.25,hmm,,0.3437516400313105,,0.5,0.25
1,1,hmm_0.5_1.0,hmm,,0.34535291876173124,,0.5,1.0
1,1,hmm_0.5_4.0,hmm,,0.3412810443787127,,0.5,4.0
1,2,mean_1,mean,1.0,0.3565701614638678,,,
1,2,mean_4,mean,4.0,0.36061313883611307,,,
1,2,mean_16,mean,16.0,0.3492135959434769,,,
1,2,mean_64,mean,64.0,0.34854057190526894,,,
1,2,ema_0.02,ema,,0.3366514637841088,0.02,,
1,2,ema_0.1,ema,,0.3359069173285089,0.1,,
1,2,ema_0.3,ema,,0.356179341245402,0.3,,
1,2,hmm_0.01_0.25,hmm,,0.36000059791858086,,0.01,0.25
1,2,hmm_0.01_1.0,hmm,,0.35876965116401555,,0.01,1.0
1,2,hmm_0.01_4.0,hmm,,0.34586242074262347,,0.01,4.0
1,2,hmm_0.1_0.25,hmm,,0.36142881706484453,,0.1,0.25
1,2,hmm_0.1_1.0,hmm,,0.36361724509937593,,0.1,1.0
1,2,hmm_0.1_4.0,hmm,,0.3498245430916293,,0.1,4.0
1,2,hmm_0.5_0.25,hmm,,0.3622243343248388,,0.5,0.25
1,2,hmm_0.5_1.0,hmm,,0.36781783782737515,,0.5,1.0
1,2,hmm_0.5_4.0,hmm,,0.3661875933571032,,0.5,4.0
1,3,mean_1,mean,1.0,0.3386890814360388,,,
1,3,mean_4,mean,4.0,0.31252720545138396,,,
1,3,mean_16,mean,16.0,0.2844130431978088,,,
1,3,mean_64,mean,64.0,0.28584982480700416,,,
1,3,ema_0.02,ema,,0.2709637420380751,0.02,,
1,3,ema_0.1,ema,,0.2698674530172889,0.1,,
1,3,ema_0.3,ema,,0.2995465464067699,0.3,,
1,3,hmm_0.01_0.25,hmm,,0.30894007326761735,,0.01,0.25
1,3,hmm_0.01_1.0,hmm,,0.3099827792982495,,0.01,1.0
1,3,hmm_0.01_4.0,hmm,,0.32647047201297874,,0.01,4.0
1,3,hmm_0.1_0.25,hmm,,0.3126979136708152,,0.1,0.25
1,3,hmm_0.1_1.0,hmm,,0.31509952136565017,,0.1,1.0
1,3,hmm_0.1_4.0,hmm,,0.32710677996289406,,0.1,4.0
1,3,hmm_0.5_0.25,hmm,,0.32422516883463054,,0.5,0.25
1,3,hmm_0.5_1.0,hmm,,0.32814259656192374,,0.5,1.0
1,3,hmm_0.5_4.0,hmm,,0.33493552156496165,,0.5,4.0
2,1,mean_1,mean,1.0,0.3403986881099367,,,
2,1,mean_4,mean,4.0,0.33578187412231303,,,
2,1,mean_16,mean,16.0,0.3422017971425083,,,
