model_id,fold,scope,seed,participant,score
fold1_all,1,all,20260911,P22,0.27415199175516425
fold1_all,1,all,20260911,P24,0.4915535242192051
fold1_all,1,all,20260911,P30,0.2571866064328376
fold1_all,1,all,20260911,P43,0.4402184990420284
fold1_all,1,all,20260911,P48,0.37225042301184436
fold1_hmm,1,hmm,20260911,P22,0.27415199175516425
fold1_hmm,1,hmm,20260911,P24,0.4915535242192051
fold1_hmm,1,hmm,20260911,P30,0.2571866064328376
fold1_hmm,1,hmm,20260911,P43,0.4402184990420284
fold1_hmm,1,hmm,20260911,P48,0.37225042301184436
fold1_mean,1,mean,20260911,P22,0.33058878881570103
fold1_mean,1,mean,20260911,P24,0.4705605592149482
fold1_mean,1,mean,20260911,P30,0.27367477116220834
fold1_mean,1,mean,20260911,P43,0.4265283382930442
fold1_mean,1,mean,20260911,P48,0.3688663282571912
fold1_ema,1,ema,20260911,P22,0.3268136398261415
fold1_ema,1,ema,20260911,P24,0.493950799838688
fold1_ema,1,ema,20260911,P30,0.2869566688662166
fold1_ema,1,ema,20260911,P43,0.4188713600478306
fold1_ema,1,ema,20260911,P48,0.3536379018612521
fold2_all,2,all,20260911,P12,0.31152073732718893
fold2_all,2,all,20260911,P19,0.38764412997903563
fold2_all,2,all,20260911,P2,0.4577048467724408
fold2_all,2,all,20260911,P35,0.23703703703703705
fold2_all,2,all,20260911,P40,0.24956449291827618
fold2_hmm,2,hmm,20260911,P12,0.31152073732718893
fold2_hmm,2,hmm,20260911,P19,0.38764412997903563
fold2_hmm,2,hmm,20260911,P2,0.4577048467724408
fold2_hmm,2,hmm,20260911,P35,0.23703703703703705
fold2_hmm,2,hmm,20260911,P40,0.24956449291827618
fold2_mean,2,mean,20260911,P12,0.3604384862449379
fold2_mean,2,mean,20260911,P19,0.4018998951781971
fold2_mean,2,mean,20260911,P2,0.44745345214808374
fold2_mean,2,mean,20260911,P35,0.2333333333333333
fold2_mean,2,mean,20260911,P40,0.26410664242975085
fold2_ema,2,ema,20260911,P12,0.26099706744868034
fold2_ema,2,ema,20260911,P19,0.4789308176100629
fold2_ema,2,ema,20260911,P2,0.4474317177425197
fold2_ema,2,ema,20260911,P35,0.2611111111111111
fold2_ema,2,ema,20260911,P40,0.31949809386755534
fold3_all,3,all,20260911,P18,0.25690021231422505
fold3_all,3,all,20260911,P27,0.4842200809942745
fold3_all,3,all,20260911,P36,0.3416637660981552
fold3_all,3,all,20260911,P46,0.5663265306122449
fold3_all,3,all,20260911,P8,0.2995746943115364
