participant,windows,stimuli,gsr_valid_windows,pupil_valid_windows,gaze_valid_windows,eeg_valid_windows,multimodal_valid_windows,eeg_quality_usable,eeg_match_status
P1,494,90,494,494,494,494,0,False,candidato
P2,643,91,643,643,643,643,643,True,candidato
P3,483,89,483,483,482,483,482,True,candidato
P4,459,76,58,459,459,459,58,True,candidato
P5,468,81,468,468,467,468,467,True,candidato
P6,676,90,676,675,657,676,657,True,candidato
P7,573,83,0,573,569,573,0,True,candidato
P8,628,92,628,628,628,628,628,True,candidato
P9,511,93,511,510,508,511,508,True,candidato
P10,500,77,500,500,500,500,500,True,candidato
P11,483,79,483,483,483,483,483,True,candidato
P12,463,83,463,463,463,463,463,True,candidato
P13,542,92,542,541,537,542,537,True,candidato
P14,541,94,541,541,540,541,0,False,candidato
P15,496,77,496,496,490,496,490,True,candidato
P16,489,72,489,489,489,489,489,True,candidato
P17,599,93,599,599,590,599,0,False,candidato
P18,471,68,471,470,469,471,469,True,candidato
P19,478,77,478,478,477,478,477,True,candidato
P20,695,86,695,695,692,695,692,True,candidato
P21,557,81,557,555,552,557,552,True,candidato
P22,518,72,518,496,482,518,482,True,candidato
P23,414,77,414,414,414,414,414,True,candidato
P24,518,95,518,518,518,518,518,True,candidato
P25,615,93,615,615,615,581,0,False,candidato
P26,525,83,525,525,525,525,525,True,candidato
P27,463,92,463,463,463,463,463,True,candidato
P28,445,70,445,445,443,445,443,True,candidato
P29,482,88,482,482,482,482,482,True,revisar_offset
P30,595,94,595,595,595,595,595,True,candidato
P31,585,88,585,585,584,585,584,True,candidato
P32,509,89,509,509,509,509,509,True,candidato
P33,512,82,512,512,509,512,509,True,candidato
P34,536,87,536,536,536,536,536,True,candidato
P35,540,91,540,540,540,540,540,True,candidato
P36,509,83,509,509,509,509,509,True,candidato
P37,561,78,561,561,561,561,561,True,candidato
P38,757,95,757,757,757,757,757,True,candidato
P39,480,93,480,480,480,480,480,True,candidato
P40,488,69,488,488,488,488,488,True,candidato
P41,523,88,523,523,523,523,523,True,candidato
P42,477,89,0,477,477,477,0,True,candidato
P43,664,96,664,664,662,664,662,True,candidato
P44,547,95,547,547,547,547,547,True,candidato
P45,548,89,548,548,547,548,547,True,candidato
P46,588,90,588,588,588,588,588,True,candidato
P47,753,97,753,753,753,753,753,True,candidato
P48,591,98,591,591,591,591,591,True,candidato
