scope,reference,delta,ci_low,ci_high,improve,tie
TCN,Ridge,-0.007927988350926046,-0.029505026693053896,0.015639715512148312,12,0
TCN,Ridge_without_fixation_count,-0.017502978738744117,-0.04209604412988866,0.00863916489577443,11,0
TCN,repeat_current,-0.008089286010554515,-0.020468104161368787,0.0034621526576784655,11,0
Transformer,Ridge,-0.011307657641364034,-0.03943766284438476,0.014538591130549817,10,1
Transformer,Ridge_without_fixation_count,-0.02088264802918211,-0.04879112070891094,0.0064375478628116,8,0
Transformer,repeat_current,-0.011468955300992503,-0.03376542642250814,0.007082705321120441,11,0
all,Ridge,-0.0031919407501461174,-0.026117892547170587,0.019934702445047,12,1
all,Ridge_without_fixation_count,-0.012766931137964186,-0.036457707552180085,0.010662098139897443,11,0
all,repeat_current,-0.0033532384097745872,-0.014659362317270717,0.008628919187492385,10,0
repeat_current,Ridge,0.00016129765962846987,-0.021731976176155646,0.022920838586797825,13,0
repeat_current,Ridge_without_fixation_count,-0.0094136927281896,-0.033753372202478406,0.016499963645077456,10,0
repeat_current,repeat_current,0.0,0.0,0.0,0,25
