scope,label,recall,predicted_fraction
TCN,bajo,0.5054835493519442,0.46591245193729663
TCN,medio,0.18626028059990324,0.17472641230405206
TCN,alto,0.3958857142857143,0.3593611357586513
Transformer,bajo,0.4711864406779661,0.439145223306714
Transformer,medio,0.18142235123367198,0.1575717243419107
Transformer,alto,0.40868571428571426,0.40328305235137535
all,bajo,0.48993020937188436,0.45378586217095535
all,medio,0.1961780358006773,0.17051168293404317
all,alto,0.4016,0.3757024548950015
repeat_current,bajo,0.4785643070787637,0.4447648624667258
repeat_current,medio,0.17271407837445574,0.15320910973084886
repeat_current,alto,0.4336,0.4020260278024253
