fold,id,family,epoch,smoothing,score
1,Transformer_0,Transformer,4,1,0.3872965461010311
1,Transformer_0,Transformer,4,8,0.35672230509219344
1,Transformer_0,Transformer,4,32,0.3489468286319776
1,Transformer_0,Transformer,8,1,0.3791036112739573
1,Transformer_0,Transformer,8,8,0.357122628827469
1,Transformer_0,Transformer,8,32,0.3424908132425834
1,Transformer_0,Transformer,12,1,0.3847363061995974
1,Transformer_0,Transformer,12,8,0.36438181837005373
1,Transformer_0,Transformer,12,32,0.3530153807938302
1,Transformer_1,Transformer,4,1,0.37901667551888313
1,Transformer_1,Transformer,4,8,0.3477363665465006
1,Transformer_1,Transformer,4,32,0.3491054964120634
1,Transformer_1,Transformer,8,1,0.3777256161563356
1,Transformer_1,Transformer,8,8,0.3496720647693731
1,Transformer_1,Transformer,8,32,0.34334909473565567
1,Transformer_1,Transformer,12,1,0.36551055811723854
1,Transformer_1,Transformer,12,8,0.3377621156697427
1,Transformer_1,Transformer,12,32,0.33337328411372846
1,Transformer_2,Transformer,4,1,0.3425052819619865
1,Transformer_2,Transformer,4,8,0.3467097221755055
1,Transformer_2,Transformer,4,32,0.350479999967234
1,Transformer_2,Transformer,8,1,0.3599151269668111
1,Transformer_2,Transformer,8,8,0.35365849329020355
1,Transformer_2,Transformer,8,32,0.3592196737364868
1,Transformer_2,Transformer,12,1,0.34387200366795884
1,Transformer_2,Transformer,12,8,0.33983322028060853
1,Transformer_2,Transformer,12,32,0.343361554691296
1,TCN_0,TCN,4,1,0.37141351401999356
1,TCN_0,TCN,4,8,0.3518446798634173
1,TCN_0,TCN,4,32,0.34804698894719477
1,TCN_0,TCN,8,1,0.36460386547249046
1,TCN_0,TCN,8,8,0.34458771106511005
1,TCN_0,TCN,8,32,0.3379238594069792
1,TCN_0,TCN,12,1,0.3708324728680584
1,TCN_0,TCN,12,8,0.3490373637335958
1,TCN_0,TCN,12,32,0.3463970899589644
1,TCN_1,TCN,4,1,0.36887800327063214
1,TCN_1,TCN,4,8,0.36813930651569826
1,TCN_1,TCN,4,32,0.35920152087512625
1,TCN_1,TCN,8,1,0.3625529979882172
1,TCN_1,TCN,8,8,0.35867859759374293
1,TCN_1,TCN,8,32,0.3518780834746607
1,TCN_1,TCN,12,1,0.3546568098008896
1,TCN_1,TCN,12,8,0.35086633947104795
1,TCN_1,TCN,12,32,0.34515907680889807
1,TCN_2,TCN,4,1,0.3450430918615525
1,TCN_2,TCN,4,8,0.3171109581774059
1,TCN_2,TCN,4,32,0.3108145754767773
1,TCN_2,TCN,8,1,0.3386750172241662
