fold,scope,macro_score,rows,participants,balanced_accuracy,macro_f1
1,all,0.3497583449925914,2886,5,0.35169785169785167,0.32976669589343643
1,Transformer,0.3497583449925914,2886,5,0.35169785169785167,0.32976669589343643
1,TCN,0.35025378929407286,2886,5,0.35273735273735274,0.3205999305225196
2,all,0.3261902884584518,2612,5,0.3274948152834897,0.30080985454839443
2,Transformer,0.34953221869977125,2612,5,0.3512390593693979,0.3114777845463136
2,TCN,0.3261902884584518,2612,5,0.3274948152834897,0.30080985454839443
3,all,0.4099114018633435,2659,5,0.38225212497338507,0.3650557626922219
3,Transformer,0.4099114018633435,2659,5,0.38225212497338507,0.3650557626922219
3,TCN,0.3856338095164634,2659,5,0.3802663872374789,0.3807882872889048
4,all,0.36195098999135833,2660,5,0.36352149559348607,0.36204812243023166
4,Transformer,0.36195098999135833,2660,5,0.36352149559348607,0.36204812243023166
4,TCN,0.36205290003285745,2660,5,0.3649971200086866,0.35969264448866217
5,all,0.40997895626359837,2707,5,0.38409699800322344,0.3785759181786485
5,Transformer,0.34605844156618937,2707,5,0.3352466293329117,0.3139072262300025
5,TCN,0.40997895626359837,2707,5,0.38409699800322344,0.3785759181786485
1,repeat_current,0.33279194590647704,2886,5,0.33541233541233545,0.3085350305906743
2,repeat_current,0.3308071580962934,2612,5,0.3317102534359731,0.303446610070962
3,repeat_current,0.41631515625239934,2659,5,0.3885143904600615,0.37128924971820026
4,repeat_current,0.3689603601515911,2660,5,0.3721313547496104,0.3659049508815551
5,repeat_current,0.42568155321145545,2707,5,0.3878657484179506,0.3838622718537596
