fold,scope,participant,score
1,all,P22,0.27213559170139356
1,all,P24,0.40082672402204594
1,all,P30,0.3278006192579057
1,all,P43,0.40115907762966585
1,all,P48,0.3468697123519459
1,Transformer,P22,0.27213559170139356
1,Transformer,P24,0.40082672402204594
1,Transformer,P30,0.3278006192579057
1,Transformer,P43,0.40115907762966585
1,Transformer,P48,0.3468697123519459
1,TCN,P22,0.256486086839629
1,TCN,P24,0.4065846663978134
1,TCN,P30,0.29939258582474665
1,TCN,P43,0.41317108964167787
1,TCN,P48,0.3756345177664975
2,all,P12,0.3613322161709258
2,all,P19,0.35408805031446544
2,all,P2,0.38443092081431574
2,all,P35,0.24259259259259258
2,all,P40,0.2885076623999596
2,Transformer,P12,0.3763440860215053
2,Transformer,P19,0.36044287211740045
2,Transformer,P2,0.40149242918206185
2,Transformer,P35,0.2962962962962963
2,Transformer,P40,0.31308540988159256
2,TCN,P12,0.3613322161709258
2,TCN,P19,0.35408805031446544
2,TCN,P2,0.38443092081431574
2,TCN,P35,0.24259259259259258
2,TCN,P40,0.2885076623999596
3,all,P18,0.2526539278131635
3,all,P27,0.47128892612763584
3,all,P36,0.4771899292261283
3,all,P46,0.5471938775510203
3,all,P8,0.3012303485987697
3,Transformer,P18,0.2526539278131635
3,Transformer,P27,0.47128892612763584
3,Transformer,P36,0.4771899292261283
3,Transformer,P46,0.5471938775510203
3,Transformer,P8,0.3012303485987697
3,TCN,P18,0.24416135881104037
3,TCN,P27,0.42140762463343107
3,TCN,P36,0.4615964729086901
3,TCN,P46,0.4489795918367347
3,TCN,P8,0.3520239993924205
4,all,P20,0.3682577001542519
4,all,P3,0.38509316770186336
4,all,P33,0.3612429767228529
4,all,P4,0.298474945533769
4,all,P9,0.3966861598440546
4,Transformer,P20,0.3682577001542519
4,Transformer,P3,0.38509316770186336
4,Transformer,P33,0.3612429767228529
4,Transformer,P4,0.298474945533769
4,Transformer,P9,0.3966861598440546
4,TCN,P20,0.38697318007662834
4,TCN,P3,0.34161490683229817
4,TCN,P33,0.404093567251462
4,TCN,P4,0.3137254901960784
4,TCN,P9,0.3638573558078202
5,all,P13,0.3557499488438715
5,all,P21,0.3679356776130969
5,all,P26,0.4552380952380953
5,all,P34,0.444321206743567
5,all,P44,0.42664985287936114
5,Transformer,P13,0.34081235932064663
5,Transformer,P21,0.24407633439891505
5,Transformer,P26,0.3866666666666667
5,Transformer,P34,0.328393966282165
5,Transformer,P44,0.4303428811625533
5,TCN,P13,0.3557499488438715
5,TCN,P21,0.3679356776130969
5,TCN,P26,0.4552380952380953
5,TCN,P34,0.444321206743567
5,TCN,P44,0.42664985287936114
1,repeat_current,P22,0.2411166375408881
1,repeat_current,P24,0.3719137876954788
1,repeat_current,P30,0.3127167825660288
1,repeat_current,P43,0.3845746198687375
1,repeat_current,P48,0.3536379018612521
2,repeat_current,P12,0.36788158078480665
2,repeat_current,P19,0.36247379454926626
2,repeat_current,P2,0.3859957980149243
2,repeat_current,P35,0.2388888888888889
2,repeat_current,P40,0.29879572824358097
3,repeat_current,P18,0.29723991507430997
3,repeat_current,P27,0.41524926686217006
3,repeat_current,P36,0.5225548207448659
3,repeat_current,P46,0.5038265306122449
3,repeat_current,P8,0.34270524796840585
4,repeat_current,P20,0.3982808379360104
4,repeat_current,P3,0.3892339544513457
4,repeat_current,P33,0.37300768260520584
4,repeat_current,P4,0.30065359477124187
4,repeat_current,P9,0.38362573099415204
5,repeat_current,P13,0.3649375895232249
5,repeat_current,P21,0.3411023927152959
5,repeat_current,P26,0.4495238095238096
5,repeat_current,P34,0.5224046140195209
5,repeat_current,P44,0.4504393602754259
