scope,label,recall,predicted_fraction
all,bajo,0.4745762711864407,0.4316030760130139
all,medio,0.1833575229801645,0.17598343685300208
all,alto,0.4045714285714286,0.39241348713398405
hgb,bajo,0.4015952143569292,0.37732919254658387
hgb,medio,0.22883405902273826,0.22722567287784678
hgb,alto,0.4118857142857143,0.39544513457556935
rbf,bajo,0.45942173479561316,0.4329340431824904
rbf,medio,0.19545234639574263,0.20215912451937296
rbf,alto,0.38445714285714283,0.36490683229813664
ridge,bajo,0.4745762711864407,0.4316030760130139
ridge,medio,0.1833575229801645,0.17598343685300208
ridge,alto,0.4045714285714286,0.39241348713398405
trees,bajo,0.3254237288135593,0.28660159716060335
trees,medio,0.3633284954039671,0.3528541851523218
trees,alto,0.3837714285714286,0.36054421768707484
