participant,tobii_recording,timeline,tobii_start_utc,tobii_duration_s,eeg_session,eeg_file,eeg_start_utc,offset_tobii_minus_eeg_s,drift_scale,match_status
Test_Participant,test,SlowWeb G1,2025-08-07T18:45:41.644000+00:00,785.608,OpenBCISession_P1_test,OpenBCISession_P1_test/OpenBCI-RAW-2025-08-08_12-07-40.txt,2025-08-08T16:07:44.333000+00:00,-76922.689,1.0,revisar_participante
P1,P1,SlowWeb G1,2025-08-08T16:22:37.297000+00:00,755.225,OpenBCISession_P1,OpenBCISession_P1/OpenBCI-RAW-2025-08-08_12-21-46.txt,2025-08-08T16:21:50.131000+00:00,47.166,1.0,candidato
P2,P2,SlowWeb G2,2025-08-08T17:24:10.123000+00:00,885.513,OpenBCISession_P2,OpenBCISession_P2/OpenBCI-RAW-2025-08-08_13-23-57.txt,2025-08-08T17:23:57.552000+00:00,12.571,1.0,candidato
P3,P3,SlowWeb G3,2025-08-08T19:18:41.654000+00:00,701.626,OpenBCISession_P3,OpenBCISession_P3/OpenBCI-RAW-2025-08-08_15-17-28.txt,2025-08-08T19:17:28.314000+00:00,73.34,1.0,candidato
P4,P4,SlowWeb G2,2025-08-12T14:53:49.865000+00:00,683.643,OpenBCISession_P4,OpenBCISession_P4/OpenBCI-RAW-2025-08-12_10-53-47.txt,2025-08-12T14:53:47.701000+00:00,2.164,1.0,candidato
P5,P5,SlowWeb G1,2025-08-12T16:09:33.654000+00:00,688.138,OpenBCISession_P5,OpenBCISession_P5/OpenBCI-RAW-2025-08-12_12-08-44.txt,2025-08-12T16:08:44.172000+00:00,49.482,1.0,candidato
P6,P6,SlowWeb G3,2025-08-18T16:23:58.371000+00:00,908.509,OpenBCISession_P6,OpenBCISession_P6/OpenBCI-RAW-2025-08-18_12-23-35.txt,2025-08-18T16:23:35.619000+00:00,22.752,1.0,candidato
P7,P7,SlowWeb G4,2025-08-18T17:38:33.999000+00:00,801.467,OpenBCISession_P7,OpenBCISession_P7/OpenBCI-RAW-2025-08-18_13-38-20.txt,2025-08-18T17:38:20.691000+00:00,13.308,1.0,candidato
P8,P8,SlowWeb G4,2025-08-18T22:11:35.099000+00:00,892.409,OpenBCISession_P8,OpenBCISession_P8/OpenBCI-RAW-2025-08-18_18-10-48.txt,2025-08-18T22:10:48.150000+00:00,46.949,1.0,candidato
P9,P9,SlowWeb G1,2025-08-18T23:09:25.535000+00:00,752.219,OpenBCISession_P9,OpenBCISession_P9/OpenBCI-RAW-2025-08-18_19-09-03.txt,2025-08-18T23:09:03.556000+00:00,21.979,1.0,candidato
