session,participant,kind,source_file,format,start_utc,sample_rate_hz,channels
OpenBCISession_P1_test,P1,test,OpenBCISession_P1_test/OpenBCI-RAW-2025-08-08_12-07-40.txt,OpenBCI TXT,2025-08-08T16:07:44.333000+00:00,125.0,16
OpenBCISession_P1,P1,principal,OpenBCISession_P1/OpenBCI-RAW-2025-08-08_12-21-46.txt,OpenBCI TXT,2025-08-08T16:21:50.131000+00:00,125.0,16
OpenBCISession_P2_test,P2,test,OpenBCISession_P2_test/OpenBCI-RAW-2025-08-08_13-09-10.txt,OpenBCI TXT,2025-08-08T17:09:10.918000+00:00,125.0,16
OpenBCISession_P2,P2,principal,OpenBCISession_P2/OpenBCI-RAW-2025-08-08_13-23-57.txt,OpenBCI TXT,2025-08-08T17:23:57.552000+00:00,125.0,16
OpenBCISession_P3_test,P3,test,OpenBCISession_P3_test/OpenBCI-RAW-2025-08-08_15-02-21.txt,OpenBCI TXT,2025-08-08T19:02:21.423000+00:00,125.0,16
OpenBCISession_P3,P3,principal,OpenBCISession_P3/OpenBCI-RAW-2025-08-08_15-17-28.txt,OpenBCI TXT,2025-08-08T19:17:28.314000+00:00,125.0,16
OpenBCISession_P4,P4,principal,OpenBCISession_P4/OpenBCI-RAW-2025-08-12_10-53-47.txt,OpenBCI TXT,2025-08-12T14:53:47.701000+00:00,125.0,16
OpenBCISession_P5_test,P5,test,OpenBCISession_P5_test/OpenBCI-RAW-2025-08-12_11-52-30.txt,OpenBCI TXT,2025-08-12T15:52:30.768000+00:00,125.0,16
OpenBCISession_P5,P5,principal,OpenBCISession_P5/OpenBCI-RAW-2025-08-12_12-08-44.txt,OpenBCI TXT,2025-08-12T16:08:44.172000+00:00,125.0,16
OpenBCISession_P6_test,P6,test,OpenBCISession_P6_test/OpenBCI-RAW-2025-08-18_12-09-50.txt,OpenBCI TXT,2025-08-18T16:09:50.830000+00:00,125.0,16
OpenBCISession_P6,P6,principal,OpenBCISession_P6/OpenBCI-RAW-2025-08-18_12-23-35.txt,OpenBCI TXT,2025-08-18T16:23:35.619000+00:00,125.0,16
OpenBCISession_2025-08-18_13-04-51,,sin_identificador,OpenBCISession_2025-08-18_13-04-51/OpenBCI-RAW-2025-08-18_13-05-15.txt,OpenBCI TXT,2025-08-18T17:05:15.419000+00:00,125.0,16
OpenBCISession_2025-08-18_13-34-02,,sin_identificador,OpenBCISession_2025-08-18_13-34-02/OpenBCI-RAW-2025-08-18_13-34-34.txt,OpenBCI TXT,2025-08-18T17:34:34.404000+00:00,125.0,16
OpenBCISession_P7,P7,principal,OpenBCISession_P7/OpenBCI-RAW-2025-08-18_13-38-20.txt,OpenBCI TXT,2025-08-18T17:38:20.691000+00:00,125.0,16
OpenBCISession_P8_test,P8,test,OpenBCISession_P8_test/OpenBCI-RAW-2025-08-18_17-52-26.txt,OpenBCI TXT,2025-08-18T21:52:26.389000+00:00,125.0,16
OpenBCISession_testp8,,test,OpenBCISession_testp8/OpenBCI-RAW-2025-08-18_18-08-12.txt,OpenBCI TXT,2025-08-18T22:08:12.263000+00:00,125.0,16
OpenBCISession_P8,P8,principal,OpenBCISession_P8/OpenBCI-RAW-2025-08-18_18-10-48.txt,OpenBCI TXT,2025-08-18T22:10:48.150000+00:00,125.0,16
