task,kind,subset,architecture,seed,split,control,importance,low,high,gain_before,gain_after
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,repeat_endpoint_in_past,0.01872075918130206,-0.0006962954473712738,0.0419750257163356,0.0180709652528769,-0.0006497939284251589
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,reverse_past_keep_endpoint,0.020121002612885366,0.008133502946247723,0.031846111394033996,0.0180709652528769,-0.002050037360008465
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,repeat_endpoint_in_past,0.013283514120515056,-0.011273699553657628,0.03862678415217343,0.0166431495347604,0.0033596354142453426
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,reverse_past_keep_endpoint,0.011450740194262798,-0.010339205908446105,0.03766662561509864,0.0166431495347604,0.005192409340497601
arousal_primary_6s,classification,full,LSTM,20260907,validation,repeat_endpoint_in_past,0.008492346248342948,-0.0042038512023085004,0.02074668507178389,-0.0008478034410254673,-0.009340149689368415
arousal_primary_6s,classification,full,LSTM,20260907,validation,reverse_past_keep_endpoint,0.013237023763845814,0.004344843015361863,0.022219361467560844,-0.0008478034410254673,-0.01408482720487128
arousal_primary_6s,classification,full,LSTM,20260907,test,repeat_endpoint_in_past,0.01559987116469759,0.0002952870087476969,0.02998310527931544,0.03221655912654709,0.0166166879618495
arousal_primary_6s,classification,full,LSTM,20260907,test,reverse_past_keep_endpoint,-0.02005233012281655,-0.03790171731113613,-0.0049879093333200135,0.03221655912654709,0.05226888924936364
arousal_primary_6s,regression,Eye_Pupil,BiLSTM,20260907,validation,repeat_endpoint_in_past,0.002535987264201983,0.00018154753832989973,0.004873798525095822,-0.005816750197239984,-0.008352737461441967
arousal_primary_6s,regression,Eye_Pupil,BiLSTM,20260907,validation,reverse_past_keep_endpoint,0.0013028195419717004,-0.0015178441795992402,0.004683531924487629,-0.005816750197239984,-0.007119569739211684
arousal_primary_6s,regression,Eye_Pupil,BiLSTM,20260907,test,repeat_endpoint_in_past,0.004470360954630007,6.795884286109784e-05,0.008762020720372904,-0.010685171464469234,-0.01515553241909924
arousal_primary_6s,regression,Eye_Pupil,BiLSTM,20260907,test,reverse_past_keep_endpoint,0.0001354213020125089,-0.003019305215193771,0.002598788064182244,-0.010685171464469234,-0.010820592766481743
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,repeat_endpoint_in_past,0.006676999636689232,0.00251129691907849,0.01094149732330228,-0.00036338747331014776,-0.00704038710999938
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,reverse_past_keep_endpoint,-0.00046779401723903713,-0.004271928794464138,0.0025385785145634627,-0.00036338747331014776,0.00010440654392888937
arousal_primary_6s,regression,full,BiLSTM,20260907,test,repeat_endpoint_in_past,0.005727746307798015,0.000201278804812636,0.010989089538884639,-0.004634813666847218,-0.010362559974645233
arousal_primary_6s,regression,full,BiLSTM,20260907,test,reverse_past_keep_endpoint,0.003940269976782637,-0.0016899803673334271,0.009871274385138283,-0.004634813666847218,-0.008575083643629855
attention_primary,classification,EEG,LSTM,20260907,validation,repeat_endpoint_in_past,-0.00157086402005608,-0.008384436304438306,0.005243130926213436,0.008282029975782874,0.009852893995838954
attention_primary,classification,EEG,LSTM,20260907,validation,reverse_past_keep_endpoint,0.0026899828626897465,-0.0042284568842860665,0.009902782121560308,0.008282029975782874,0.005592047113093128
attention_primary,classification,EEG,LSTM,20260907,test,repeat_endpoint_in_past,-0.0018620007641512726,-0.009906556424986822,0.008151966602467708,0.002940694199159981,0.004802694963311253
attention_primary,classification,EEG,LSTM,20260907,test,reverse_past_keep_endpoint,-0.00977337121670805,-0.016631533746616592,-0.003550947154146205,0.002940694199159981,0.012714065415868031
attention_primary,classification,full,TCN,20260907,validation,repeat_endpoint_in_past,0.0017049204022202072,-0.0018690312163981264,0.005020484727619787,0.013124862107285994,0.011419941705065786
attention_primary,classification,full,TCN,20260907,validation,reverse_past_keep_endpoint,0.0007872977546923288,-0.005387846616466984,0.007172406410414295,0.013124862107285994,0.012337564352593665
attention_primary,classification,full,TCN,20260907,test,repeat_endpoint_in_past,0.0050572885192132835,-0.0034656407747202084,0.013563200647474365,0.009428569473162791,0.004371280953949508
