task,kind,subset,architecture,seed,split,reference_scope,baseline,baseline_subset,participant,gain
attention_primary,classification,full,TCN,20260907,validation,matched,logistic,full,P23,-0.06521739130434778
attention_primary,classification,full,TCN,20260907,validation,matched,logistic,full,P28,-0.002116210169901489
attention_primary,classification,full,TCN,20260907,validation,matched,logistic,full,P31,0.00512820512820511
attention_primary,classification,full,TCN,20260907,validation,matched,logistic,full,P32,0.06308156398654136
attention_primary,classification,full,TCN,20260907,validation,matched,logistic,full,P38,0.004041449693623633
attention_primary,classification,full,TCN,20260907,validation,matched,logistic,full,P41,0.011680350301039977
attention_primary,classification,full,TCN,20260907,validation,matched,logistic,full,P47,0.030544488711819362
attention_primary,classification,full,TCN,20260907,validation,matched,logistic,full,P6,0.05785644051130778
attention_primary,classification,full,TCN,20260907,validation,full,logistic,full,P23,-0.06521739130434778
attention_primary,classification,full,TCN,20260907,validation,full,logistic,full,P28,-0.002116210169901489
attention_primary,classification,full,TCN,20260907,validation,full,logistic,full,P31,0.00512820512820511
attention_primary,classification,full,TCN,20260907,validation,full,logistic,full,P32,0.06308156398654136
attention_primary,classification,full,TCN,20260907,validation,full,logistic,full,P38,0.004041449693623633
attention_primary,classification,full,TCN,20260907,validation,full,logistic,full,P41,0.011680350301039977
attention_primary,classification,full,TCN,20260907,validation,full,logistic,full,P47,0.030544488711819362
attention_primary,classification,full,TCN,20260907,validation,full,logistic,full,P6,0.05785644051130778
attention_primary,classification,full,TCN,20260907,test,matched,logistic,full,P10,-0.0064569655868984555
attention_primary,classification,full,TCN,20260907,test,matched,logistic,full,P11,-0.008281573498964856
attention_primary,classification,full,TCN,20260907,test,matched,logistic,full,P15,0.016830960204454126
attention_primary,classification,full,TCN,20260907,test,matched,logistic,full,P16,-0.012269938650306789
attention_primary,classification,full,TCN,20260907,test,matched,logistic,full,P37,0.032085561497326276
attention_primary,classification,full,TCN,20260907,test,matched,logistic,full,P39,0.0020833333333332704
attention_primary,classification,full,TCN,20260907,test,matched,logistic,full,P45,0.010838887888068194
attention_primary,classification,full,TCN,20260907,test,matched,logistic,full,P5,0.040598290598290565
attention_primary,classification,full,TCN,20260907,test,full,logistic,full,P10,-0.0064569655868984555
attention_primary,classification,full,TCN,20260907,test,full,logistic,full,P11,-0.008281573498964856
attention_primary,classification,full,TCN,20260907,test,full,logistic,full,P15,0.016830960204454126
attention_primary,classification,full,TCN,20260907,test,full,logistic,full,P16,-0.012269938650306789
