task,kind,subset,architecture,split,reference_scope,baseline,baseline_subset,mean_gain,low,high,positive_participants,participants,seeds
arousal_primary_6s,classification,Eye_Pupil,BiLSTM,test,full,logistic,full,0.047144869101078776,0.016926776110019044,0.0788107812569833,6,8,2
arousal_primary_6s,classification,Eye_Pupil,BiLSTM,test,matched,logistic,Eye_Pupil,0.0311340703651193,0.0033012874582496964,0.058350478747275905,6,8,2
arousal_primary_6s,classification,Eye_Pupil,BiLSTM,validation,full,logistic,full,0.0019640340842599323,-0.025129553405630826,0.02990800825784576,4,8,2
arousal_primary_6s,classification,Eye_Pupil,BiLSTM,validation,matched,logistic,Eye_Pupil,-0.0005766543631155231,-0.01473053470771907,0.011530820134550493,4,8,2
arousal_primary_6s,classification,Eye_Pupil,LSTM,test,full,logistic,full,0.03501133486782688,0.006310430511145354,0.06817939484942788,6,8,2
arousal_primary_6s,classification,Eye_Pupil,LSTM,test,matched,logistic,Eye_Pupil,0.019000536131867404,-0.00884778664109251,0.0437089583117049,6,8,2
arousal_primary_6s,classification,Eye_Pupil,LSTM,validation,full,logistic,full,-0.003453570479555041,-0.02743508959756302,0.03004736101528084,3,8,2
arousal_primary_6s,classification,Eye_Pupil,LSTM,validation,matched,logistic,Eye_Pupil,-0.0059942589269304965,-0.024059103112723936,0.013632835919472796,4,8,2
arousal_primary_6s,classification,Eye_Pupil,TCN,test,full,logistic,full,0.029392199475828475,-0.007632425693758595,0.07527220242546855,5,8,2
arousal_primary_6s,classification,Eye_Pupil,TCN,test,matched,logistic,Eye_Pupil,0.013381400739869,-0.011307412100002308,0.04101123387859972,5,8,2
arousal_primary_6s,classification,Eye_Pupil,TCN,validation,full,logistic,full,-0.0038390924974735056,-0.025785143368675583,0.023148842450802495,4,8,2
arousal_primary_6s,classification,Eye_Pupil,TCN,validation,matched,logistic,Eye_Pupil,-0.006379780944848961,-0.026810964533770285,0.014784702618884026,4,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,BiLSTM,test,full,logistic,full,0.06636072562765721,0.003990256084795209,0.1488785159701437,6,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,BiLSTM,test,matched,logistic,Eye_Pupil_no_quality,0.04406684355009954,0.011081124706989205,0.08617518199119968,7,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,BiLSTM,validation,full,logistic,full,0.0119131206800114,-0.004555235353840839,0.02476032123670947,6,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,BiLSTM,validation,matched,logistic,Eye_Pupil_no_quality,0.009713511852538277,0.003288469554961666,0.01666278880248928,6,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,LSTM,test,full,logistic,full,0.05206015308571643,0.003008120886997336,0.10919456321964263,5,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,LSTM,test,matched,logistic,Eye_Pupil_no_quality,0.029766271008158762,0.004707849381261581,0.059260921172166796,5,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,LSTM,validation,full,logistic,full,0.00754155260514312,-0.016130417572364348,0.03112494314750542,4,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,LSTM,validation,matched,logistic,Eye_Pupil_no_quality,0.005341943777669996,-0.012763462363073767,0.0227219570504455,4,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,TCN,test,full,logistic,full,0.03670264962308674,-0.007243244175672509,0.08934865212026168,5,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,TCN,test,matched,logistic,Eye_Pupil_no_quality,0.014408767545529073,0.0005415894223865584,0.027769400750274637,6,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,TCN,validation,full,logistic,full,8.681138177096814e-05,-0.02062222736653047,0.01783353329791645,5,8,2
arousal_primary_6s,classification,Eye_Pupil_no_quality,TCN,validation,matched,logistic,Eye_Pupil_no_quality,-0.0021127974457021553,-0.0133343119496697,0.009397652205826529,3,8,2
arousal_primary_6s,classification,Pupil,BiLSTM,test,full,logistic,full,0.0296102531082042,-0.017911528833432618,0.07616828844257717,5,8,2
arousal_primary_6s,classification,Pupil,BiLSTM,test,matched,logistic,Pupil,0.028721575535301296,-0.00010747507032734747,0.0580949471608353,6,8,2
arousal_primary_6s,classification,Pupil,BiLSTM,validation,full,logistic,full,-0.005418766071465927,-0.040537404090536557,0.03737383111477863,2,8,2
