task,subset,kind,architecture,seed,epoch,train_loss,validation_macro_score
attention_primary,full,classification,TCN,20260907,1,1.1159211195139305,0.34216852099185546
attention_primary,full,classification,TCN,20260907,2,1.1031926653153161,0.3468718554803503
attention_primary,full,classification,TCN,20260907,3,1.0990200753890351,0.3501962420826519
attention_primary,full,classification,TCN,20260907,4,1.098497751971315,0.35037424678578716
attention_primary,full,classification,TCN,20260907,5,1.097289409485134,0.3441986407804325
attention_primary,full,classification,TCN,20260907,6,1.096774794758512,0.341745570469389
attention_primary,full,classification,TCN,20260907,7,1.0948961599449263,0.3443343236585959
attention_primary,full,classification,TCN,20260907,8,1.0951986482107439,0.33935621679610584
attention_primary,full,classification,TCN,20260907,9,1.0939940454973267,0.34144764866804633
attention_primary,full,classification,TCN,20260907,10,1.093930126117976,0.33759960540391515
attention_primary,full,classification,TCN,20260908,1,1.1133568790740989,0.3366956266020728
attention_primary,full,classification,TCN,20260908,2,1.1027753443028299,0.3313535652498303
attention_primary,full,classification,TCN,20260908,3,1.0991809819090899,0.33900287473535085
attention_primary,full,classification,TCN,20260908,4,1.0987262591494853,0.3405110387980022
attention_primary,full,classification,TCN,20260908,5,1.0957190129433254,0.33851949602449305
attention_primary,full,classification,TCN,20260908,6,1.0960370929098031,0.33254868199682364
attention_primary,full,classification,TCN,20260908,7,1.0946936672236645,0.33500309376529397
attention_primary,full,classification,TCN,20260908,8,1.0930914362659472,0.3306860371407053
attention_primary,full,classification,TCN,20260908,9,1.0924073854024436,0.33086414620811233
attention_primary,full,classification,TCN,20260908,10,1.092795113704854,0.33570502894183485
attention_primary,full,classification,LSTM,20260907,1,1.101605072348684,0.3363785876460679
attention_primary,full,classification,LSTM,20260907,2,1.098156033941572,0.3359237183543449
attention_primary,full,classification,LSTM,20260907,3,1.0966684360611336,0.33765899078547035
attention_primary,full,classification,LSTM,20260907,4,1.095890376385201,0.3375750907555015
attention_primary,full,classification,LSTM,20260907,5,1.094575367676228,0.3420152170522497
attention_primary,full,classification,LSTM,20260907,6,1.0939668857356706,0.34064628897443905
attention_primary,full,classification,LSTM,20260907,7,1.0924463853156274,0.3382236980883869
attention_primary,full,classification,LSTM,20260907,8,1.0908778029692592,0.3399491731645866
attention_primary,full,classification,LSTM,20260907,9,1.0901013570436886,0.3344339352257126
attention_primary,full,classification,LSTM,20260907,10,1.0893450504363342,0.33182433174860715
attention_primary,full,classification,LSTM,20260907,11,1.0873487807349742,0.3338155032128334
attention_primary,full,classification,LSTM,20260908,1,1.1030591206238913,0.32971687461531785
attention_primary,full,classification,LSTM,20260908,2,1.097855486167461,0.32124778789757574
attention_primary,full,classification,LSTM,20260908,3,1.0966484706382786,0.32676584663631947
attention_primary,full,classification,LSTM,20260908,4,1.0956525531121168,0.33511349652600886
attention_primary,full,classification,LSTM,20260908,5,1.0944964128709762,0.3395474486107551
