task,kind,subset,architecture,seed,split,feature,baseline,temporal_importance,temporal_low,temporal_high,baseline_importance,differential_importance,differential_low,differential_high,positive_participants,participants,gain_before,gain_after,repeats
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,logistic,0.005467912788444151,-0.0037405049363221014,0.014586888488152984,0.0006735288259527212,0.00479438396249143,-0.005958136710632744,0.016497114569750147,4,8,0.0180709652528769,0.013276581290385468,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,logistic,0.028887791244459525,0.003195742577493344,0.05709012597165143,0.009898716594252847,0.018989074650206675,-0.009007328407550115,0.05370618988580922,6,8,0.0180709652528769,-0.0009181093973297735,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_min_z,logistic,0.0011448590768640098,-0.010132790815922044,0.013810767158002765,-0.00025939306548346426,0.0014042521423474736,-0.01646254639173149,0.016849974127615727,4,8,0.0180709652528769,0.01666671311052943,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_max_z,logistic,0.01799038681156808,0.010346529059497683,0.025149415936785532,0.01763372989026924,0.00035665692129883964,-0.012248336423443326,0.013472781587273646,4,8,0.0180709652528769,0.01771430833157806,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_slope_z_s,logistic,0.005456310624729306,-0.0007826536963744028,0.011445595803557168,-0.0035784725267674093,0.009034783151496716,0.0016892924269019832,0.015621886940642517,7,8,0.0180709652528769,0.009036182101380184,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,logistic,0.03233935621629623,0.004928204785244905,0.05792448077150914,0.013323878893645452,0.019015477322650784,-0.00932186171248024,0.04653510598058381,6,8,0.0180709652528769,-0.0009445120697738809,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,logistic,-0.012723865765260797,-0.043888173038952746,0.008151388865540645,0.004531691031679719,-0.017255556796940515,-0.07156700236443282,0.015563411507178033,5,8,0.0166431495347604,0.03389870633170091,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,logistic,0.01251683619929665,-0.011022305451330811,0.035736291657245914,-0.02166232718976585,0.0341791633890625,0.004618303430765279,0.06847543257731832,6,8,0.0166431495347604,-0.017536013854302108,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,logistic,-0.0004550819972001071,-0.0207966766795036,0.021701309558546697,-0.0003423268707628993,-0.0001127551264372079,-0.014238166782936462,0.012354533239352733,5,8,0.0166431495347604,0.01675590466119761,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,logistic,-0.025677915428070724,-0.062267036966600034,0.001101923431594964,-0.01753451189231953,-0.008143403535751199,-0.044840331523798266,0.021432280968956833,5,8,0.0166431495347604,0.0247865530705116,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,logistic,0.0034391264084986032,-0.005398186901016075,0.013198582989889358,0.0028046577930146447,0.0006344686154839585,-0.009152688060557733,0.007584992888774513,6,8,0.0166431495347604,0.01600868091927644,5
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,logistic,0.005235699302529891,-0.028927139563795553,0.035826938534338874,0.010102899636553031,-0.00486720033402314,-0.04218090148916219,0.02793389693154738,4,8,0.0166431495347604,0.021510349868783536,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,logistic,-0.0006086660472777226,-0.0036409264669479283,0.0020682993504608934,-0.0008253375665564348,0.00021667151927871214,-0.0028096452093939192,0.0033847483978720542,4,8,-0.0008478034410254673,-0.0010644749603041792,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,logistic,0.0004901043451882054,-0.0022621688946292545,0.002509354947837747,0.002100133097992227,-0.0016100287528040215,-0.004883928230872254,0.0010386362065478902,4,8,-0.0008478034410254673,0.0007622253117785536,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,logistic,0.003355262905104488,-0.0006923751350194731,0.008165661078667334,0.0005283586815233749,0.002826904223581113,-0.000334427518138153,0.0060160210690549405,5,8,-0.0008478034410254673,-0.003674707664606581,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,logistic,0.003549610217285223,-0.00043543345795312,0.008350241096387281,0.0006991700610600642,0.002850440156225159,-0.0013576490483453608,0.008088179414593196,5,8,-0.0008478034410254673,-0.003698243597250628,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,logistic,0.0037726956422070635,-0.0010793875077421027,0.008200904817045778,0.00030428941188360135,0.003468406230323462,-0.002459102860397519,0.008418684611229889,6,8,-0.0008478034410254673,-0.004316209671348929,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,logistic,0.002098411116121569,-0.004543234402588404,0.008804063648383851,0.0016930632696292277,0.00040534784649234163,-0.00732195488821989,0.007986546971549005,4,8,-0.0008478034410254673,-0.00125315128751781,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,logistic,0.00569339377890677,0.0025001078922171757,0.008672076020341993,0.006524636635706493,-0.0008312428567997226,-0.012530958115893928,0.008933123965427475,6,8,-0.0008478034410254673,-1.6560584225743837e-05,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,logistic,0.002624763043867803,-0.0015549105016754796,0.006514144978683946,0.0019877755211073385,0.0006369875227604646,-0.010451892491587416,0.010545163895128908,5,8,-0.0008478034410254673,-0.001484790963785931,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,logistic,-0.0011871025116120023,-0.00402793126983224,0.0018582095816461921,-0.00043676221548342986,-0.0007503402961285723,-0.006240577818047453,0.0037303218300922315,5,8,-0.0008478034410254673,-9.746314489689212e-05,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,logistic,0.005937371090904524,-0.0018042373742554406,0.013939120849426308,0.006709713409635222,-0.0007723423187306984,-0.011213181171206617,0.010297469197654178,3,8,-0.0008478034410254673,-7.546112229476869e-05,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,logistic,0.005280060113985635,0.0017047659053470317,0.00921606494174588,0.0013087522567707373,0.003971307857214898,-0.0006605564649028379,0.009124738503247331,4,8,-0.0008478034410254673,-0.004819111298240364,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_2d_px,logistic,0.005419336590940328,-0.001912620199490268,0.01309140715643957,0.008923457839685144,-0.003504121248744816,-0.00987181708784536,0.002909629962218347,3,8,-0.0008478034410254673,0.00265631780771935,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_path_length_px,logistic,0.00037656358824874616,-0.003594344336710228,0.0039187001346612255,0.0027665656117006956,-0.0023900020234519496,-0.012482478417073457,0.007497635663258348,4,8,-0.0008478034410254673,0.0015421985824264819,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,fixation_count,logistic,0.0032742936827272378,-0.0003403611494077922,0.007220204528400176,0.000576616316535382,0.0026976773661918554,-0.004812004629629803,0.009397194836147274,5,8,-0.0008478034410254673,-0.0035454808072173227,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,fixation_total_ms,logistic,0.003193613872166959,-0.001892602263016753,0.007383492295766759,0.001217079975457877,0.001976533896709082,-0.0028134375659226245,0.007014507785962415,4,8,-0.0008478034410254673,-0.002824337337734549,5
