task,kind,subset,architecture,seed,split,feature,participant,temporal_importance,baseline_importance,differential_importance
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,P23,0.019806763285024186,0.026086956521739136,-0.00628019323671495
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,P28,-0.00042626519136589324,-0.013670717697563306,0.013244452506197412
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,P31,-0.015384615384615375,0.0006837606837606814,-0.016068376068376057
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,P32,-0.011263487643578119,-0.0002830954867154234,-0.010980392156862695
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,P38,0.025575632097371227,0.015123282514586856,0.01045234958278437
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,P41,0.003726327312534139,0.011323481116584544,-0.007597153804050405
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,P47,0.012218289031789764,-0.02048441770684877,0.03270270673863853
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_mean_z,P6,0.009490658800393282,-0.01339101933792195,0.02288167813831523
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,P23,0.10241545893719813,-0.017874396135265667,0.12028985507246379
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,P28,0.03064574641755846,-0.0034615152064816357,0.0341072616240401
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,P31,-0.028376068376068375,-0.0013675213675213849,-0.02700854700854699
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,P32,-0.012084928646014625,0.023037475345167657,-0.035122403991182286
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,P38,0.023035740427044794,0.0036995210908254083,0.019336219336219387
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,P41,0.05058565955117671,0.040818828680897624,0.009766830870279082
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,P47,0.010941685263266887,0.0027201656495800196,0.008221519613686867
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_std_z,P6,0.05393903638151422,0.03161717469682076,0.02232186168469346
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_min_z,P23,0.012077294685990381,-0.018357487922705286,0.030434782608695667
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_min_z,P28,0.0022764375113368263,0.009275046858939484,-0.006998609347602658
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_min_z,P31,-0.003076923076923088,0.006837606837606825,-0.009914529914529912
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_min_z,P32,-0.020860888734191896,0.022162663882120858,-0.04302355261631276
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_min_z,P38,-0.010616517138256242,-0.02078444904531861,0.010167931907062368
