task,kind,subset,model,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
attention_primary,classification,full,dummy_prior,validation,all,0.3333333333333333,4662,8,0.3333333333333333,0.16658621614373828,,,
attention_primary,classification,full,dummy_prior,validation,history_8,0.3333333333333333,1591,8,0.3333333333333333,0.16493219804478082,,,
attention_primary,classification,full,dummy_prior,test,all,0.3333333333333333,4025,8,0.3333333333333333,0.16669772063846966,,,
attention_primary,classification,full,dummy_prior,test,history_8,0.3333333333333333,1375,8,0.3333333333333333,0.16712079927338783,,,
attention_primary,classification,full,logistic,validation,all,0.3372493846785012,4662,8,0.33574304866993204,0.3325721274639189,,,
attention_primary,classification,full,logistic,validation,history_8,0.33865591673747697,1591,8,0.34932795016037677,0.34437377690802345,,,
attention_primary,classification,full,logistic,test,all,0.32427277053017445,4025,8,0.3239724786649641,0.3237763299579663,,,
attention_primary,classification,full,logistic,test,history_8,0.31977891748166226,1375,8,0.33086852631032154,0.3309581209777168,,,
attention_primary,classification,EEG,logistic,validation,all,0.3392314006020145,4662,8,0.3383257437438995,0.3349350439902403,,,
attention_primary,classification,EEG,logistic,validation,history_8,0.347945708064446,1591,8,0.35642943916841846,0.35139106750462207,,,
attention_primary,classification,EEG,logistic,test,all,0.3192404704076659,4025,8,0.31874434371958854,0.31748365282895935,,,
attention_primary,classification,EEG,logistic,test,history_8,0.30989801739537337,1375,8,0.31632226897304033,0.31516107849492947,,,
attention_primary,classification,compact_no_noise,logistic,validation,all,0.3376347072962216,4662,8,0.3387343290565679,0.32980753124129025,,,
attention_primary,classification,compact_no_noise,logistic,validation,history_8,0.3452146116401949,1591,8,0.35001578364286073,0.34198251021953574,,,
attention_primary,classification,compact_no_noise,logistic,test,all,0.32932711069862347,4025,8,0.32894759751399644,0.3288037937239125,,,
attention_primary,classification,compact_no_noise,logistic,test,history_8,0.3339057145828197,1375,8,0.3342428964729105,0.3333959954112078,,,
attention_primary,classification,full,random_forest,validation,all,0.3198424674773872,4662,8,0.31985774278823476,0.3165135199612826,,,
attention_primary,classification,full,random_forest,validation,history_8,0.32004607920547967,1591,8,0.3205614503177437,0.3163403697516815,,,
attention_primary,classification,full,random_forest,test,all,0.3202443397414155,4025,8,0.31974140495429965,0.3191021146173647,,,
attention_primary,classification,full,random_forest,test,history_8,0.2971422587249941,1375,8,0.30949353280349073,0.3090215685955169,,,
attention_primary,classification,EEG,random_forest,validation,all,0.3264424331430369,4662,8,0.3258601672634054,0.32473615466937833,,,
attention_primary,classification,EEG,random_forest,validation,history_8,0.31950491076598914,1591,8,0.3170862251706932,0.31485040971278244,,,
attention_primary,classification,EEG,random_forest,test,all,0.3342898015428816,4025,8,0.3344178203348629,0.3339518640544612,,,
attention_primary,classification,EEG,random_forest,test,history_8,0.34936812972694264,1375,8,0.3531234741052413,0.35277534806032884,,,
attention_primary,classification,compact_no_noise,random_forest,validation,all,0.3215114959693762,4662,8,0.31983953439482754,0.3174191812100036,,,
attention_primary,classification,compact_no_noise,random_forest,validation,history_8,0.33592721941866116,1591,8,0.3352515162810632,0.33121744333595254,,,
attention_primary,classification,compact_no_noise,random_forest,test,all,0.33402570612912247,4025,8,0.33365580846051746,0.3333375545366853,,,
attention_primary,classification,compact_no_noise,random_forest,test,history_8,0.32066129223924433,1375,8,0.3363144771700171,0.33509127988886034,,,
attention_primary,regression,full,dummy_mean,validation,all,-1.0000000001937701,4662,8,,,0.0,0.7377258401091225,1.0000000003708867
attention_primary,regression,full,dummy_mean,validation,history_8,-0.9582516933598759,1591,8,,,-0.00041773755465213114,0.7222578416281548,0.9362120814378183
attention_primary,regression,full,dummy_mean,test,all,-1.000000001234164,4025,8,,,0.0,0.7343263765538023,1.0000000011772077
attention_primary,regression,full,dummy_mean,test,history_8,-0.9698379561270742,1375,8,,,-4.182267665875372e-05,0.7274195998373404,0.9702501460180468
attention_primary,regression,full,ridge,validation,all,-0.9997877689080797,4662,8,,,-0.00011025987180368624,0.7378711660583241,1.0001102602427312
attention_primary,regression,full,ridge,validation,history_8,-0.9561402074999255,1591,8,,,0.0008801027769201886,0.72213956421879,0.9349975350012815
attention_primary,regression,full,ridge,test,all,-1.002461941943283,4025,8,,,-0.0025258625946815716,0.7347648923248136,1.0025258637748626
attention_primary,regression,full,ridge,test,history_8,-0.9713339405821857,1375,8,,,-0.0017390541393653702,0.7279035352494031,0.9718968162244088
