task,kind,subset,architecture,seed,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
attention_primary,classification,full,TCN,20260907,validation,all,0.35037424678578716,4662,8,0.35255891380863863,0.3329028906955736,,,
attention_primary,classification,full,TCN,20260907,validation,history_8,0.35199185576258396,1591,8,0.34467330307394534,0.32616962783706155,,,
attention_primary,classification,full,TCN,20260907,test,all,0.33370134000333723,4025,8,0.33361357736976616,0.313363508605119,,,
attention_primary,classification,full,TCN,20260907,test,history_8,0.30421142614810426,1375,8,0.30699496130071163,0.28588971060784824,,,
attention_primary,classification,full,TCN,20260908,validation,all,0.3405110387980022,4662,8,0.34173636894839904,0.34041780836008434,,,
attention_primary,classification,full,TCN,20260908,validation,history_8,0.3283246533523808,1591,8,0.33377009739981545,0.3322872803051831,,,
attention_primary,classification,full,TCN,20260908,test,all,0.3372217690754962,4025,8,0.33761701068335465,0.33366707464610146,,,
attention_primary,classification,full,TCN,20260908,test,history_8,0.30572017544321295,1375,8,0.31321749519505476,0.306276593576061,,,
attention_primary,classification,full,LSTM,20260907,validation,all,0.3420152170522497,4662,8,0.3418133407932569,0.32759065496141454,,,
attention_primary,classification,full,LSTM,20260907,validation,history_8,0.34499736231000044,1591,8,0.3497602405458695,0.3345631690258693,,,
attention_primary,classification,full,LSTM,20260907,test,all,0.33798125221101005,4025,8,0.3373512141253367,0.3251112599187361,,,
attention_primary,classification,full,LSTM,20260907,test,history_8,0.32522981159752257,1375,8,0.32765362838294115,0.32367020604083885,,,
attention_primary,classification,full,LSTM,20260908,validation,all,0.3395474486107551,4662,8,0.33830422473350913,0.3356149628405505,,,
attention_primary,classification,full,LSTM,20260908,validation,history_8,0.3376853803933125,1591,8,0.33547192723259406,0.3257663194737809,,,
attention_primary,classification,full,LSTM,20260908,test,all,0.32944868872172706,4025,8,0.32916319834572666,0.31693097412135285,,,
attention_primary,classification,full,LSTM,20260908,test,history_8,0.278864214791011,1375,8,0.27900992156251625,0.24336587765060788,,,
