task,subset,kind,architecture,seed,macro_score,rows,participants,balanced_accuracy,macro_f1,best_epoch,r2,mae,mse
attention_primary,full,classification,TCN,20260907,0.35037424678578716,4662,8,0.35255891380863863,0.3329028906955736,4,,,
attention_primary,full,classification,TCN,20260908,0.3405110387980022,4662,8,0.34173636894839904,0.34041780836008434,4,,,
attention_primary,full,classification,LSTM,20260907,0.3420152170522497,4662,8,0.3418133407932569,0.32759065496141454,5,,,
attention_primary,full,classification,LSTM,20260908,0.3395474486107551,4662,8,0.33830422473350913,0.3356149628405505,5,,,
attention_primary,full,classification,BiLSTM,20260907,0.335918697906043,4662,8,0.3359978282352591,0.3227514683512959,2,,,
attention_primary,full,classification,BiLSTM,20260908,0.34533507356191584,4662,8,0.3454150161861582,0.34062109503303645,4,,,
attention_primary,full,classification,MLP_current,20260907,0.3504623166311293,4662,8,0.3517387084510671,0.3502869600335079,1,,,
attention_primary,full,classification,MLP_current,20260908,0.34647237420861804,4662,8,0.3463927517351771,0.3014152579291553,15,,,
attention_primary,full,regression,TCN,20260907,-1.001684365034056,4662,8,,,4,-0.0013002463962443755,0.7373481111063074,1.0013002467676133
attention_primary,full,regression,TCN,20260908,-1.0042544246590608,4662,8,,,2,-0.003181341093694945,0.7432413081625323,1.0031813414657615
attention_primary,full,regression,LSTM,20260907,-1.002852861609811,4662,8,,,1,-0.0029406274260792564,0.7392157749229155,1.0029406277980564
attention_primary,full,regression,LSTM,20260908,-1.001460675148903,4662,8,,,1,-0.0017066708719946089,0.7392487842754615,1.001706671243514
attention_primary,full,regression,BiLSTM,20260907,-1.0019132111735751,4662,8,,,1,-0.0017203527252078743,0.7391730400777666,1.0017203530967325
attention_primary,full,regression,BiLSTM,20260908,-0.9997699198009993,4662,8,,,1,0.00027743127922907895,0.7379542471426621,0.9997225690915545
attention_primary,full,regression,MLP_current,20260907,-1.0014247870166102,4662,8,,,1,-0.0016649485351420967,0.7381247502059761,1.0016649489066463
attention_primary,full,regression,MLP_current,20260908,-1.0011497031915138,4662,8,,,1,-0.0010037912630136425,0.7406389908545657,1.0010037916342724
attention_primary,EEG,classification,TCN,20260907,0.35410729952457265,4662,8,0.3524451113498434,0.3517317636163085,2,,,
attention_primary,EEG,classification,TCN,20260908,0.33821787750451765,4662,8,0.3375696815903763,0.3321847533199646,2,,,
attention_primary,EEG,classification,LSTM,20260907,0.34751343057779743,4662,8,0.34537777174509793,0.3434437166281808,7,,,
attention_primary,EEG,classification,LSTM,20260908,0.35132630476153065,4662,8,0.3486267284869211,0.33958593367228335,6,,,
attention_primary,EEG,classification,BiLSTM,20260907,0.35058941312652203,4662,8,0.34746042571223784,0.34563692367365206,5,,,
attention_primary,EEG,classification,BiLSTM,20260908,0.34402630716452953,4662,8,0.34263009759147095,0.33722844035016425,2,,,
attention_primary,EEG,regression,TCN,20260907,-1.0013166386049037,4662,8,,,6,-0.0011741551221962077,0.7376149572813914,1.0011741554935183
attention_primary,EEG,regression,TCN,20260908,-0.9980794995046209,4662,8,,,2,0.002161349307009397,0.7375155046304369,0.9978386510630756
attention_primary,EEG,regression,LSTM,20260907,-0.9991425918228083,4662,8,,,7,0.0009215387315284485,0.735954711717098,0.9990784616390164
attention_primary,EEG,regression,LSTM,20260908,-0.9990255110847398,4662,8,,,3,0.001215608654361322,0.7373048426299873,0.9987843917160745
attention_primary,EEG,regression,BiLSTM,20260907,-0.9990326319089768,4662,8,,,4,0.0009842726682011138,0.7368331390884528,0.9990157277023204
attention_primary,EEG,regression,BiLSTM,20260908,-1.0004518456744131,4662,8,,,6,-0.0009826144595859176,0.7364063023135817,1.000982614830837
attention_primary,compact_no_noise,classification,TCN,20260907,0.34031318096958296,4662,8,0.33855403837336145,0.3221319239862291,1,,,
attention_primary,compact_no_noise,classification,TCN,20260908,0.33642950854279596,4662,8,0.3381388318267267,0.33075234334726583,7,,,
attention_primary,compact_no_noise,classification,LSTM,20260907,0.33185493641563113,4662,8,0.33243988057501,0.3281562200856527,3,,,
attention_primary,compact_no_noise,classification,LSTM,20260908,0.33250397752227323,4662,8,0.3330094446384834,0.31411606298945616,1,,,
attention_primary,compact_no_noise,classification,BiLSTM,20260907,0.3425577159135722,4662,8,0.3419795613542851,0.33650120373119136,2,,,
attention_primary,compact_no_noise,classification,BiLSTM,20260908,0.3349776359439114,4662,8,0.33530011570606355,0.3178735473932452,3,,,
attention_primary,compact_no_noise,regression,TCN,20260907,-1.0007601413697378,4662,8,,,2,-0.0005889693076885916,0.7398966473621564,1.0005889696787937
attention_primary,compact_no_noise,regression,TCN,20260908,-1.004452279548505,4662,8,,,4,-0.003934716246585257,0.7405445584709749,1.0039347166189312
attention_primary,compact_no_noise,regression,LSTM,20260907,-1.0006655880827056,4662,8,,,1,-0.0003240707977445467,0.7379949882145248,1.0003240711687513
attention_primary,compact_no_noise,regression,LSTM,20260908,-1.0032997955538714,4662,8,,,1,-0.0029506415698561383,0.7376848208444287,1.002950641941837
attention_primary,compact_no_noise,regression,BiLSTM,20260907,-1.0028843366360634,4662,8,,,1,-0.0030577642474287625,0.7393517881863485,1.0030577646194494
attention_primary,compact_no_noise,regression,BiLSTM,20260908,-1.0026804246703964,4662,8,,,1,-0.0025955371250867554,0.7403930061622134,1.002595537496936
arousal_primary_6s,full,classification,TCN,20260907,0.35902645504378594,4662,8,0.356600648277221,0.3446084960674647,4,,,
arousal_primary_6s,full,classification,TCN,20260908,0.3607459130377358,4662,8,0.3668688164273861,0.35988650337191674,4,,,
arousal_primary_6s,full,classification,LSTM,20260907,0.3652676814475775,4662,8,0.36241266420222323,0.34401820171563474,2,,,
arousal_primary_6s,full,classification,LSTM,20260908,0.3797912328487752,4662,8,0.37698021921441666,0.3644696255255691,2,,,
arousal_primary_6s,full,classification,BiLSTM,20260907,0.3507977480838711,4662,8,0.3587189381894476,0.34736708643336334,4,,,
arousal_primary_6s,full,classification,BiLSTM,20260908,0.37261664606899947,4662,8,0.3651477045187061,0.35599455771079475,1,,,
arousal_primary_6s,full,classification,MLP_current,20260907,0.3758887949282317,4662,8,0.3727847733021064,0.36648904334687155,8,,,
arousal_primary_6s,full,classification,MLP_current,20260908,0.3742779284444053,4662,8,0.37957233143043734,0.3771217493897505,10,,,
arousal_primary_6s,full,regression,TCN,20260907,-0.999562980240243,4662,8,,,1,0.0005130175336256482,0.6687482817943372,0.9994869820876078
arousal_primary_6s,full,regression,TCN,20260908,-1.0001293014991517,4662,8,,,2,-0.001432927759757785,0.6632247165115671,1.0014329273802536
arousal_primary_6s,full,regression,LSTM,20260907,-1.0048583871183303,4662,8,,,2,-0.005577694898794894,0.6663192547576388,1.0055776945177202
arousal_primary_6s,full,regression,LSTM,20260908,-1.0054318298594016,4662,8,,,2,-0.005664869417437934,0.6645806634289767,1.0056648690363301
arousal_primary_6s,full,regression,BiLSTM,20260907,-0.9943252831773075,4662,8,,,1,0.004183355347366247,0.6722931237201558,0.9958166442752581
arousal_primary_6s,full,regression,BiLSTM,20260908,-1.0027190539270694,4662,8,,,1,-0.00521261640652515,0.6657331197885012,1.0052126160255888
arousal_primary_6s,full,regression,MLP_current,20260907,-0.9965857463086767,4662,8,,,2,0.003294967315388697,0.6675855739920595,0.996705032306899
arousal_primary_6s,full,regression,MLP_current,20260908,-1.0007943930017182,4662,8,,,1,-0.0016318645988420144,0.6681621066703397,1.0016318642192628
arousal_primary_6s,Pupil,classification,TCN,20260907,0.37427545996211414,4662,8,0.37859642541631544,0.3758537502460877,10,,,
arousal_primary_6s,Pupil,classification,TCN,20260908,0.37204537065364784,4662,8,0.3748800190570418,0.35648488325020306,3,,,
arousal_primary_6s,Pupil,classification,LSTM,20260907,0.3661516660125744,4662,8,0.36358915189073043,0.351648409621764,2,,,
arousal_primary_6s,Pupil,classification,LSTM,20260908,0.36064911491871166,4662,8,0.3554797559127039,0.35156327805537774,4,,,
arousal_primary_6s,Pupil,classification,BiLSTM,20260907,0.3651596303045255,4662,8,0.36042482576761126,0.3516802740247955,2,,,
arousal_primary_6s,Pupil,classification,BiLSTM,20260908,0.3562338073297486,4662,8,0.35873966635643345,0.34562830744699297,3,,,
arousal_primary_6s,Pupil,regression,TCN,20260907,-1.001204563923638,4662,8,,,4,-0.0015626143924201141,0.670060309110591,1.001562614012867
arousal_primary_6s,Pupil,regression,TCN,20260908,-1.0030112015191972,4662,8,,,1,-0.0030178467030912426,0.672108877569339,1.0030178463229866
arousal_primary_6s,Pupil,regression,LSTM,20260907,-1.003926256442751,4662,8,,,3,-0.004748277345126839,0.6717860222310174,1.0047482769643663
arousal_primary_6s,Pupil,regression,LSTM,20260908,-1.0003408498650355,4662,8,,,1,-0.0006731768399490523,0.6677260626049991,1.000673176460733
arousal_primary_6s,Pupil,regression,BiLSTM,20260907,-1.0002394074264687,4662,8,,,1,-0.0007507272705939982,0.6643766362940365,1.0007507268913485
arousal_primary_6s,Pupil,regression,BiLSTM,20260908,-0.9984125001135318,4662,8,,,1,-0.00010175970763115494,0.6646954616383446,1.0001017593286317
arousal_primary_6s,Eye_Pupil,classification,TCN,20260907,0.36096492812453684,4662,8,0.3725557745198431,0.3642793254229358,2,,,
arousal_primary_6s,Eye_Pupil,classification,TCN,20260908,0.3635878566577221,4662,8,0.3598443571808467,0.3197127179996318,2,,,
arousal_primary_6s,Eye_Pupil,classification,LSTM,20260907,0.36233360465340947,4662,8,0.37002435026222785,0.36504519782935096,2,,,
arousal_primary_6s,Eye_Pupil,classification,LSTM,20260908,0.3629902241646864,4662,8,0.3623577309224988,0.3514131563383595,4,,,
arousal_primary_6s,Eye_Pupil,classification,BiLSTM,20260907,0.37234273177692745,4662,8,0.3765347507704287,0.3661483733172431,2,,,
arousal_primary_6s,Eye_Pupil,classification,BiLSTM,20260908,0.36381630616879834,4662,8,0.37232982544135423,0.35449148411419723,3,,,
arousal_primary_6s,Eye_Pupil,regression,TCN,20260907,-1.001425922184497,4662,8,,,3,-0.0029551529832976264,0.6642790665319704,1.0029551526032165
arousal_primary_6s,Eye_Pupil,regression,TCN,20260908,-1.0023354282372319,4662,8,,,2,-0.002711988465620152,0.6691302262906902,1.0027119880856314
arousal_primary_6s,Eye_Pupil,regression,LSTM,20260907,-0.9943786590090105,4662,8,,,2,0.004966975324017353,0.6672775269001765,0.995033024298904
arousal_primary_6s,Eye_Pupil,regression,LSTM,20260908,-1.0044367431405061,4662,8,,,2,-0.0038782278693332284,0.665617984053558,1.0038782274889027
arousal_primary_6s,Eye_Pupil,regression,BiLSTM,20260907,-0.9994523941299738,4662,8,,,1,-0.0011924167243362316,0.6636581271779699,1.0011924163449233
arousal_primary_6s,Eye_Pupil,regression,BiLSTM,20260908,-0.9949049560065478,4662,8,,,1,0.003733759032711892,0.6619256740086186,0.9962662405897421
arousal_primary_6s,Pupil_no_quality,classification,TCN,20260907,0.3722492476066844,4662,8,0.37746587777672636,0.37527849871013114,6,,,
arousal_primary_6s,Pupil_no_quality,classification,TCN,20260908,0.3669218549849007,4662,8,0.36794127671519883,0.3515218606854142,12,,,
arousal_primary_6s,Pupil_no_quality,classification,LSTM,20260907,0.3802554469538806,4662,8,0.3823010601089427,0.3820403607403268,8,,,
arousal_primary_6s,Pupil_no_quality,classification,LSTM,20260908,0.38000647548293576,4662,8,0.38420009180033005,0.3829606503925154,4,,,
arousal_primary_6s,Pupil_no_quality,classification,BiLSTM,20260907,0.3906857353112961,4662,8,0.39202362656058815,0.3891405052136216,3,,,
arousal_primary_6s,Pupil_no_quality,classification,BiLSTM,20260908,0.3904194110168665,4662,8,0.39382386440526734,0.390674886916262,7,,,
arousal_primary_6s,Pupil_no_quality,regression,TCN,20260907,-0.9989064056911057,4662,8,,,1,0.0005478153466842439,0.6666138703978839,0.9994521842745624
arousal_primary_6s,Pupil_no_quality,regression,TCN,20260908,-1.0009175111215254,4662,8,,,5,-0.001494152144177363,0.6686016302615372,1.00149415176465
arousal_primary_6s,Pupil_no_quality,regression,LSTM,20260907,-1.0025338190699475,4662,8,,,2,-0.0029465444937128993,0.6724090880441331,1.0029465441136354
arousal_primary_6s,Pupil_no_quality,regression,LSTM,20260908,-0.9985508723622685,4662,8,,,1,0.0014303744905677096,0.6689809288973955,0.9985696251310133
arousal_primary_6s,Pupil_no_quality,regression,BiLSTM,20260907,-1.0013409571160266,4662,8,,,3,-0.0011833700592331908,0.6700709147936252,1.0011833696798238
arousal_primary_6s,Pupil_no_quality,regression,BiLSTM,20260908,-0.9988550982726703,4662,8,,,1,0.0012677434156804779,0.6679212136430152,0.9987322562058389
arousal_primary_6s,Eye_Pupil_no_quality,classification,TCN,20260907,0.37100383547193805,4662,8,0.38295016082695543,0.37621914725841626,3,,,
arousal_primary_6s,Eye_Pupil_no_quality,classification,TCN,20260908,0.3614007570688098,4662,8,0.36694751270651116,0.34518717363125834,4,,,
arousal_primary_6s,Eye_Pupil_no_quality,classification,LSTM,20260907,0.36919338029084786,4662,8,0.3773143102225629,0.3665080975539879,4,,,
