value,score,parameter
8.0,0.3459048738893847,context
32.0,0.3376834732207095,context
16.0,0.3401356989253978,hidden
32.0,0.3434526481846964,hidden
1.0,0.3429211684521805,layers
2.0,0.34066717865791374,layers
0.0003,0.34191370224429585,lr
0.001,0.3416746448657983,lr
0.1,0.34293444971699366,dropout
0.4,0.3406538973931006,dropout
2.0,0.34239099315190086,epoch
4.0,0.3412932778110329,epoch
8.0,0.3421218741435052,epoch
16.0,0.3413705491137494,epoch
1.0,0.3447144435187208,smoothing
8.0,0.3397192971537285,smoothing
32.0,0.3409487799926919,smoothing
