fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
1,Transformer,20260913,0.3815900921732708,2886,5,0.3839223839223839,0.35731519333639916
1,Transformer,20260914,0.3526817427070964,2886,5,0.3530838530838531,0.34117031124369573
1,repeat_current,20260913,0.37119465205064045,2886,5,0.3735273735273736,0.34640465145479626
1,repeat_current,20260914,0.34936451002469116,2886,5,0.34996534996534995,0.32814843114423237
2,Transformer,20260913,0.3257083586930286,2612,5,0.32598333860592643,0.2912081185993826
2,Transformer,20260914,0.3141567125828835,2612,5,0.3156139055854336,0.2965337013076434
2,repeat_current,20260913,0.3370263085555377,2612,5,0.339022461246441,0.29208590317619376
2,repeat_current,20260914,0.34141510499439637,2612,5,0.3420937467046294,0.30134876567222607
3,Transformer,20260913,0.3365080171578497,2659,5,0.3244324244576269,0.3226715769499278
3,Transformer,20260914,0.4030793305175018,2659,5,0.3989035514551176,0.39764919018616246
3,repeat_current,20260913,0.34530773513256674,2659,5,0.3297790429916647,0.32439051736872887
3,repeat_current,20260914,0.4235816613144478,2659,5,0.4075520959997941,0.40663044305912704
4,Transformer,20260913,0.3159897988273275,2660,5,0.3134813284097782,0.3034151660991503
4,Transformer,20260914,0.3306003232663664,2660,5,0.3326241513781119,0.26886280586700456
4,repeat_current,20260913,0.32828374800443727,2660,5,0.3273799374460797,0.31431412114439883
4,repeat_current,20260914,0.3368781327776598,2660,5,0.3378836347780794,0.27319720516833507
5,Transformer,20260913,0.3806897991726326,2707,5,0.3561779035026829,0.344500421115512
5,Transformer,20260914,0.3850051140496035,2707,5,0.36610219285576623,0.34566407071536087
5,repeat_current,20260913,0.3784893773723978,2707,5,0.35569132515614427,0.33763118492180905
5,repeat_current,20260914,0.3629653219873601,2707,5,0.35371419310935465,0.3227741569532874
