fold,scope,seed,participant,score
1,Transformer,20260913,P22,0.27591074069095306
1,Transformer,20260913,P24,0.4509454675807681
1,Transformer,20260913,P30,0.3664027206740775
1,Transformer,20260913,P43,0.4373649667767314
1,Transformer,20260913,P48,0.37732656514382407
1,Transformer,20260914,P22,0.28001075413362014
1,Transformer,20260914,P24,0.4277904736299682
1,Transformer,20260914,P30,0.32763988291626484
1,Transformer,20260914,P43,0.37094560623972384
1,Transformer,20260914,P48,0.3570219966159052
1,repeat_current,20260913,P22,0.25085136891159204
1,repeat_current,20260913,P24,0.4586301922301385
1,repeat_current,20260913,P30,0.34967768133597277
1,repeat_current,20260913,P43,0.4313317842729607
1,repeat_current,20260913,P48,0.36548223350253806
1,repeat_current,20260914,P22,0.2933750056011113
1,repeat_current,20260914,P24,0.41620737554330783
1,repeat_current,20260914,P30,0.2791313469705429
1,repeat_current,20260914,P43,0.3875504463739758
1,repeat_current,20260914,P48,0.3705583756345178
2,Transformer,20260913,P12,0.3240608853512079
2,Transformer,20260913,P19,0.4212657232704402
2,Transformer,20260913,P2,0.36287763529667466
2,Transformer,20260913,P35,0.24629629629629626
2,Transformer,20260913,P40,0.27404125325052386
2,Transformer,20260914,P12,0.23587487781036168
2,Transformer,20260914,P19,0.33113207547169815
2,Transformer,20260914,P2,0.34086792726218934
2,Transformer,20260914,P35,0.27592592592592596
2,Transformer,20260914,P40,0.38698275644424246
2,repeat_current,20260913,P12,0.3610110319787739
2,repeat_current,20260913,P19,0.37517033542976935
2,repeat_current,20260913,P2,0.4002680576686228
2,repeat_current,20260913,P35,0.26851851851851855
2,repeat_current,20260913,P40,0.28016359918200406
2,repeat_current,20260914,P12,0.2727272727272727
2,repeat_current,20260914,P19,0.4045335429769392
2,repeat_current,20260914,P2,0.35653843367383903
2,repeat_current,20260914,P35,0.31111111111111117
2,repeat_current,20260914,P40,0.3621651644828196
3,Transformer,20260913,P18,0.2335456475583864
3,Transformer,20260913,P27,0.49934366708560257
3,Transformer,20260913,P36,0.38104188420930507
3,Transformer,20260913,P46,0.3635204081632653
3,Transformer,20260913,P8,0.2050884787726893
3,Transformer,20260914,P18,0.28662420382165604
3,Transformer,20260914,P27,0.5356933389191454
3,Transformer,20260914,P36,0.38179603202227635
3,Transformer,20260914,P46,0.4846938775510204
3,Transformer,20260914,P8,0.3265892002734108
3,repeat_current,20260913,P18,0.24628450106157115
3,repeat_current,20260913,P27,0.443108504398827
3,repeat_current,20260913,P36,0.44370576633020065
3,repeat_current,20260913,P46,0.32780612244897955
3,repeat_current,20260913,P8,0.2656337814232551
3,repeat_current,20260914,P18,0.3036093418259023
3,repeat_current,20260914,P27,0.5488479262672811
3,repeat_current,20260914,P36,0.4147464903121012
3,repeat_current,20260914,P46,0.49362244897959184
3,repeat_current,20260914,P8,0.3570820991873624
4,Transformer,20260913,P20,0.28354978354978355
4,Transformer,20260913,P3,0.38509316770186336
4,Transformer,20260913,P33,0.2827772044490311
4,Transformer,20260913,P4,0.28758169934640526
4,Transformer,20260913,P9,0.340947139089554
4,Transformer,20260914,P20,0.3334763895108723
4,Transformer,20260914,P3,0.3436853002070393
4,Transformer,20260914,P33,0.3120628368306387
4,Transformer,20260914,P4,0.23093681917211328
4,Transformer,20260914,P9,0.4328402706111685
4,repeat_current,20260913,P20,0.3208874458874459
4,repeat_current,20260913,P3,0.3871635610766046
4,repeat_current,20260913,P33,0.2788900355463823
4,repeat_current,20260913,P4,0.3115468409586057
4,repeat_current,20260913,P9,0.34293085655314764
4,repeat_current,20260914,P20,0.3391924167786236
4,repeat_current,20260914,P3,0.3768115942028985
4,repeat_current,20260914,P33,0.30037839697282426
4,repeat_current,20260914,P4,0.27233115468409586
4,repeat_current,20260914,P9,0.3956771012498567
5,Transformer,20260913,P13,0.35932064661346436
5,Transformer,20260913,P21,0.2997868836578514
5,Transformer,20260913,P26,0.45714285714285713
5,Transformer,20260913,P34,0.3952972493345164
5,Transformer,20260913,P44,0.3919013591144738
5,Transformer,20260914,P13,0.3649171270718232
5,Transformer,20260914,P21,0.30349704543252926
5,Transformer,20260914,P26,0.4114285714285715
5,Transformer,20260914,P34,0.41668145519077193
5,Transformer,20260914,P44,0.42850137112432196
5,repeat_current,20260913,P13,0.3279107837118887
5,repeat_current,20260913,P21,0.2852174755400562
5,repeat_current,20260913,P26,0.45142857142857146
5,repeat_current,20260913,P34,0.41228926353149953
5,repeat_current,20260913,P44,0.41560079264997296
5,repeat_current,20260914,P13,0.33543073460200534
5,repeat_current,20260914,P21,0.2908553715005328
5,repeat_current,20260914,P26,0.4380952380952381
5,repeat_current,20260914,P34,0.34392191659272403
5,repeat_current,20260914,P44,0.4065233491463
