id,score,context,hidden,layers,lr,dropout,heads,ff_multiplier,decay,batch
g00,0.3916383418350981,8,16,1,0.0003,0.1,4,2,0.01,256
g01,0.3897753062340025,8,16,1,0.0003,0.4,4,2,0.01,256
g02,0.3810597882182177,8,16,1,0.001,0.1,4,2,0.01,256
g10,0.37243026840857246,8,32,1,0.001,0.1,4,2,0.01,256
g03,0.3701618618005042,8,16,1,0.001,0.4,4,2,0.01,256
g30,0.370095806342617,32,32,2,0.001,0.1,4,2,0.01,256
g06,0.3697711061089288,8,16,2,0.001,0.1,4,2,0.01,256
g31,0.36970057196860917,32,32,2,0.001,0.4,4,2,0.01,256
g08,0.3695005891785438,8,32,1,0.0003,0.1,4,2,0.01,256
g14,0.3688258219411047,8,32,2,0.001,0.1,4,2,0.01,256
g09,0.36818103256845713,8,32,1,0.0003,0.4,4,2,0.01,256
g04,0.367210949339822,8,16,2,0.0003,0.1,4,2,0.01,256
g26,0.366384502775671,32,32,1,0.001,0.1,4,2,0.01,256
g12,0.36550395056036705,8,32,2,0.0003,0.1,4,2,0.01,256
g15,0.36547272592666474,8,32,2,0.001,0.4,4,2,0.01,256
g13,0.36509658634569303,8,32,2,0.0003,0.4,4,2,0.01,256
g25,0.36483244411283994,32,32,1,0.0003,0.4,4,2,0.01,256
g29,0.3645504304254864,32,32,2,0.0003,0.4,4,2,0.01,256
g11,0.3644830218772558,8,32,1,0.001,0.4,4,2,0.01,256
g24,0.3630101309034525,32,32,1,0.0003,0.1,4,2,0.01,256
g22,0.36001897883420125,32,16,2,0.001,0.1,4,2,0.01,256
g07,0.3599004464741241,8,16,2,0.001,0.4,4,2,0.01,256
g21,0.35943163641401915,32,16,2,0.0003,0.4,4,2,0.01,256
g05,0.35921166607414357,8,16,2,0.0003,0.4,4,2,0.01,256
g18,0.35836005721606334,32,16,1,0.001,0.1,4,2,0.01,256
g19,0.3577523042740292,32,16,1,0.001,0.4,4,2,0.01,256
g28,0.35754721618023594,32,32,2,0.0003,0.1,4,2,0.01,256
g27,0.3570129404972202,32,32,1,0.001,0.4,4,2,0.01,256
g23,0.35455704004206456,32,16,2,0.001,0.4,4,2,0.01,256
g20,0.3526935161466377,32,16,2,0.0003,0.1,4,2,0.01,256
g16,0.3521147653648212,32,16,1,0.0003,0.1,4,2,0.01,256
g17,0.3466935679408889,32,16,1,0.0003,0.4,4,2,0.01,256
